Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3026	any of us who did half this shit would be locked the fuck up already .	any of us who did half of these actions would likely be incarcerated already.	en	1.0	1	1	1	1.0
3030	are they liars or just clueless ?	are they dishonest or simply unaware?	en	1.0	1	1	1	1.0
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	as someone from LA and an oilfield worker, I still say this guy is despicable.	en	1.0	1	1	1	0.8333333333333334
3042	calm the fuck down , cnn .	please calm down, CNN.	en	1.0	1	1	1	1.0
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	China and Russia will respond firmly to any reckless actions by those ships.	en	1.0	1	1	1	1.0
3047	cretins like this rarely care about facts .	people with such behavior rarely care about facts.	en	1.0	1	1	1	1.0
3056	do people actually believe this shit ? ? ?	do people actually believe this?	en	1.0	1	1	1	1.0
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	do not ever alter one of my edits, or there will be serious consequences.	en	1.0	1	1	1	1.0
3069	even bush knows he fucked up .	even bush knows he made mistakes.	en	1.0	1	1	1	1.0
3080	fuck popeyes for doing this in the first place .	I strongly disapprove of Popeyes for doing this in the first place.	en	1.0	1	1	1	1.0
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	being defeated by gre practice tests ensured that I never make the same mistake again.	en	1.0	1	1	1	1.0
3092	getting stronger every month yeah i fucking wish .	growing stronger every month, yeah I really wish.	en	1.0	1	1	1	1.0
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	have you ever been to r trees and seen all the negative comments people make about cannabis?	en	0.5	1	1	1	1.0
3122	holy shit , a cop got fired ? .	goodness gracious, a police officer was dismissed?	en	1.0	1	1	1	1.0
3131	how the fuck do you manage that ? .	how do you manage to do that?	en	1.0	1	1	1	1.0
3133	how the fuck do you think people afford houses and cars ?	how do you think people are able to afford houses and cars?	en	1.0	1	1	1	1.0
3136	i accidentally read the titling as laser machete and almost shit my pants .	I accidentally read the title as 'laser machete' and almost had a panic moment.	en	1.0	1	1	1	1.0
3140	i did not vandalize anything you dick .	I did not vandalize anything.	en	1.0	1	1	1	1.0
3146	i dont give a flying fuck about sides ! .	I don't care about the sides at all!	en	1.0	1	1	1	1.0
3149	i have toilet paper to wipe my ass and no shortage of food .	I have toilet paper to use and an abundance of food.	en	1.0	1	1	1	1.0
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	I mean it's great that the Pope is so cool and awesome, but seriously.	en	1.0	1	1	1	1.0
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	I sell quite a few items on there, and PayPal has actually helped me pay the bills.	en	1.0	1	1	1	1.0
3166	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	If he's found to have acted in cold blood, the authorities are going to vigorously prosecute him.	en	1.0	1	1	1	1.0
3176	it s a big deal because the school didn t give a shit until she was being bullied .	it's a big deal because the school didn't take action until she was being bullied.	en	1.0	1	1	1	1.0
3183	judging by the shit i ve seen in my number years , number of those spent with george w .	judging by my experiences over the years, some of those spent during George W.'s term.	en	1.0	1	1	1	1.0
3186	last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up	last warning: it takes me minutes to resolve a page, so please be considerate of others.	en	1.0	1	1	0	1.0
3188	liar , liar pants on fire justin .	liar, liar, your story is falling apart, Justin.	en	1.0	1	1	1	0.16666666666666666
