Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	መሰላቸት ሰው ነው፡፡ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል. ብዙ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈልግ	am	1.0	1.0	1	1	0.6666666666666666
4830	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	2 በዚ የሚሳለቅ ካለ ሌላ ማንነት ያሰከረው የፀናበት ማገናዘብ የማይችል ሰው ነው።	am	1.0	1.0	1	1	1.0
4834	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	አንተ ራስ ወዳድ ነህ፤ ለሌሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	am	1.0	1.0	1	1	1.0
4842	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ህዝብ ጠል ስለሆንክ	am	1.0	1.0	1	1	1.0
4844	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	ምንም የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው??	am	1.0	1.0	1	1	0.5
4847	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	እውነት ነው ዱሮም ባቱ ስንማር ጥሩ ያልሆነ ነገር በበታችነት የሚሰቃይ ነበር።	am	1.0	1.0	1	1	1.0
4856	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	ወቅቱን አለመጠበቁ ሊያነጋግር ይችላል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል??	am	1.0	1.0	1	1	1.0
4862	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	አንተ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	am	1.0	1.0	1	1	0.8333333333333334
4869	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	 ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ  ፖለቲካ ሳትወድ አካቲቪስት አደረገህ????	am	1.0	1.0	1	1	0.8333333333333334
4880	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	ያው  ያሳደገህ  ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ. የት ነበሩ? ብትል ኃሳብ የለንም	am	0.5	1.0	1	1	1.0
