Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	Que manera de cagarla wacho 😩👎🏼	Que manera de fallar 😩👎🏼	es	1.0	1.0	1	1	1.0
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	Bueno, también será porque nada enfurece más a un nacionalista que otro nacionalismo intente violar su integridad territorial.	es	1.0	1.0	1	1	1.0
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	La cagada de siempre retroceder la pelota pasado ya el medio, que frustración.	es	0.5	1.0	1	1	0.8333333333333334
4842	Nunca en mi puta vida me va a pasar	Nunca en mi vida me va a pasar	es	1.0	1.0	1	1	1.0
4844	Bueno nojoda que pasa aqui pues?	Bueno, ¿qué pasa aquí pues?	es	1.0	1.0	1	1	1.0
4847	dios podes hablar bien la concha de tu madre	Dios, puedes hablar bien.	es	1.0	1.0	1	1	1.0
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA MUJER.	es	1.0	1.0	1	1	0.8333333333333334
4862	Hoy m pongo empedo o ke?💃🏼	Hoy me pongo empeño, ¿qué?💃🏼	es	0.5	1.0	1	0	0.6666666666666666
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No!"""	es	1.0	1.0	1	1	1.0
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Te voy a elegir a vos siempre.	es	1.0	1.0	1	1	1.0
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen de CM al señor Mr Wonderful	es	0.5	1.0	1	1	0.8333333333333334
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	No os da como rabia que gente tenga pareja y vosotros no?	es	1.0	1.0	1	1	1.0
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	los que no entendéis la ironía y las bromas llevadas al extremo moláis 0 hermanus	es	0.5	0.5	1	1	0.8333333333333334
4922	La Corte y nada la misma huevonada	La Corte y nada más.	es	1.0	1.0	1	1	1.0
