Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1226	跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男	跑国外去了不就很好嘛,要是去非洲服务黑人那更是物尽	zh	0.5	1.0	1	0	1.0
1230	一位优秀的接盘侠????	一位优秀的接盘侠????	zh	1.0	1.0	1	1	0.5
1234	我媳妇也会打拳！??	我媳妇也会发表极端性别言论!??	zh	1.0	1.0	1	1	1.0
1242	丑的一批、呸	丑的一批、呸	zh	1.0	1.0	1	1	0.5
1244	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲	嫁给他,就跟他回非洲啊。黑人敢打我们的抗疫英雄	zh	1.0	1.0	1	0	0.8333333333333334
1247	是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢	是真的怕艾滋。一个女人私生活很乱,但是睡的全是中国人	zh	1.0	1.0	1	0	0.6666666666666666
1256	对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。	对,这洽洽是对所有中国人的歧视,所以排他们,他们活	zh	1.0	1.0	1	1	0.6666666666666666
1262	这男的也是啥pei给女的当狗活该	这男的也是啥pei给女的当狗活该	zh	0.5	0.5	1	1	0.5
1269	很快就能解封的，性取向变态患者搞得鬼	很快就能解封的,性取向变态患者搞得鬼	zh	1.0	1.0	1	1	0.3333333333333333
1280	好 不和牛马一般见识??	<extra_id_0> 好 不和牛马一般见识??	zh	1.0	0.5	0	1	0.5
1291	黑人的舔狗其实比黑人更可恨	黑人的单方面付出的卑微的讨好他人的人其实比黑人更	zh	1.0	0.5	0	0	1.0
1292	????肯定是国楠自己造成的呀，国楠不配娶她们	????肯定是国楠自己造成的呀,国楠不配娶她们????肯定是	zh	1.0	0.5	0	0	0.3333333333333333
1302	没见过基佬工程师	没见过男同性恋工程师	zh	1.0	1.0	1	1	1.0
1322	黑河南、黑北方的都是南满	黑河南、黑北方的都是南满	zh	1.0	1.0	1	1	0.5
1331	因为智商低，容易被女的pua,价值观都偏了	因为智商低,容易被女的pua,价值观都偏了	zh	1.0	0.5	0	1	0.5
1333	这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。	这个真没看清楚,只见到两人撕打,女的一边打一边骂	zh	1.0	1.0	1	0	0.8333333333333334
1336	兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲	兄弟我们完全可以放心这货必定会是下一个陈怡说不定这	zh	1.0	1.0	1	0	1.0
1340	这个鸡佬，喜欢精神胜利，是一个辣鸡	这个人,喜欢精神胜利,是一个辣鸡	zh	1.0	1.0	1	1	1.0
