Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1226	Que manera de cagarla wacho 😩👎🏼	Que manera de equivocarse, amigo 😩👎🏼	es	1.0	1	1	1	1.0
1230	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	bueno, también será porqué nada molesta más a un ultranacionalista que otro nacionalismo intente vulnerar su integridad territorial.	es	1.0	1	1	1	1.0
1234	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	El error de siempre de retroceder la pelota una vez pasado el medio, qué molesto.	es	0.5	1	1	1	1.0
1242	Nunca en mi puta vida me va a pasar	Nunca en mi vida me va a pasar.	es	1.0	1	1	1	1.0
1244	Bueno nojoda que pasa aqui pues?	Bueno ¿qué está sucediendo aquí, por favor?	es	1.0	1	1	1	1.0
1247	dios podes hablar bien la concha de tu madre	Dios, ¿podrías hablar de manera más respetuosa, por favor?	es	1.0	1	1	1	1.0
1256	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CANTANTE.	es	1.0	1	1	1	0.6666666666666666
1262	Hoy m pongo empedo o ke?💃🏼	Hoy me pongo alegre o qué? 💃🏼	es	0.5	1	1	0	0.8333333333333334
1269	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No amigo!"""	es	1.0	1	1	1	1.0
1280	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Te puedes equivocar en muchas cosas, pero siempre te elegiré a ti.	es	1.0	1	1	1	0.8333333333333334
1291	Tienen de CM al hioputa de Mr Wonderful	Tienen de CM al molesto de Mr Wonderful	es	0.5	1	1	1	1.0
1292	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	¿No os molesta que personas desagradables tengan pareja y vosotros no?	es	1.0	1	1	1	0.6666666666666666
1302	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	los que no entendéis la ironía y las bromas llevadas al extremo sois geniales 0 hermanos	es	0.5	1	1	1	0.8333333333333334
1322	La Corte y nada la misma huevonada	La Corte y nada es lo mismo tontería.	es	1.0	1	1	1	0.8333333333333334
