Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	de	1.0	1.0	1	1	0.6666666666666666
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	de	1.0	1.0	1	1	0.5
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Gauland hat recht!! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts! Fakt!	de	0.5	1.0	1	1	0.5
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	diese Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR	de	0.5	1.0	1	1	1.0
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	Auch hier ist ja mal wieder jemand am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	de	0.5	1.0	1	0	0.8333333333333334
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polizisten, die NICHT den MUSLIMISCHEN #Terror klar benennen?	de	0.5	0.5	1	1	1.0
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	#fasnacht in diesem #jahr geht in die geschichtsbücher ein- soviele #Refugees wie noch nie :(	de	1.0	1.0	1	0	1.0
2462	wo ist den Ober-Bastard Voßkuhle?	wo ist Ober Voßkuhle?	de	1.0	1.0	1	1	1.0
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	EU und dieses Land mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHWEISDRECK AN	de	1.0	1.0	1	1	0.8333333333333334
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	Ja man, viel Glück bei den Frauen 👍	de	1.0	1.0	1	1	1.0
2491	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	"#Charlottesville Wieso das #Establishment &amp; sein #MSM gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	de	0.5	1.0	1	1	1.0
2492	OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	Was für eine Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	de	1.0	1.0	1	1	1.0
