Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4226	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	ሰው ነው ፡፡ ስለሆንከው ብቻ ሁሉ ነገር ማድረግ ይችላል	am	1.0	1.0	1	0	0.8333333333333334
4230	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	በዚህ ሁኔታ ላይ ካለ ዘረኝነት ያለ ማንኛውም ሰው ሳይሳሳት ማገናዘብ ይችላል	am	1.0	1.0	1	1	1.0
4234	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	አንተ ነጫጭባ ሽማግሌ ሆይ ፣ ግልገሎቹን ለማስተኛት ጥረት አድርጉ	am	1.0	1.0	1	1	0.8333333333333334
4242	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	ከሁለት እስከ መቶዎች ድረስ ግድያዎች ሊኖሩ ይችላሉ ፡፡ ዘረኛ ህዝብ ጠል ስለሆንክ	am	1.0	1.0	1	1	0.5
4244	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	ምንም ነገር ቢሆን ፣ ውዥንብር ለመፍጠር የሚሞክሩ ሰዎች ሁሉ ዱሮውን ስርዓት ናፋቂዎች ናቸው	am	1.0	1.0	1	1	1.0
4247	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	እውነት ነው ፡፡ ዱሮ ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር	am	1.0	1.0	1	1	0.5
4256	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	ወቅቱን ማጠየቅ ሊያነጋግር ይችላል ፡፡ ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት ይቻላል	am	1.0	1.0	1	1	1.0
4262	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ዋጋው ከመከብድ ውጭ	am	1.0	1.0	1	1	0.5
4269	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	ዝም ብለህ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ፖለቲካ ሳትወድ ሆኖ ይሁን	am	1.0	1.0	1	1	0.8333333333333334
4280	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	ያሳደገህ ወሮበላ ስለሆንክ ፕሬዚደንታችንን ሳይሆን ሲሉ ብትል ወሮበላ ማን ነበሩ?	am	0.5	1.0	1	0	0.8333333333333334
4291	እንደዚያ በለው ያው ማን እንደሚቀበርበት አይታወቅም ለማለት ነው	የዚያ ማን እንደሚቀበርበት ለማለት ነው	am	1.0	1.0	1	0	0.8333333333333334
