Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	मेरा मतलब है, धर्म शक्ति है, शक्ति ने व्यापार बना दिया है।	hi	1	1.0	1	0	1.0
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	कौन थे वे लोग जिन्होंने कहा कि वह डर गया था?	hi	1	1.0	1	1	1.0
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	अगर आप बग ठीक नहीं करते हैं तो पानी बाहर आ जाएगा।	hi	1	1.0	1	0	1.0
642	भौसडीके शायरी ग़लत हो गयी  	भोसडी की कविता गलत थी	hi	1	1.0	1	1	0.5
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	आप खुद को पुजारी कहने में शर्मिंदा हैं।	hi	1	1.0	1	0	1.0
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	आज भी कांग्रेस में स्नैक्स खाने की परंपरा है।	hi	1	1.0	1	0	0.8333333333333334
656	ओर ये साली सुअर सरकार सो रही है	और यह सरकार सो रही है	hi	1	1.0	1	1	1.0
662	सबसे ज्यादा कमीना तू है	तुम बुरे हो	hi	1	1.0	1	0	1.0
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	क्या हम पाकिस्तान से इतनी नफरत करते हैं?	hi	1	1.0	1	0	1.0
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	हाँ, रैंडी पूरी रात नाचते रहे और कहा कि मैं थक गया था.	hi	1	0.5	0	0	0.5
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	Nige अभी भी उस महान आदमी के लिए देख रहा है.	hi	1	1.0	1	0	1.0
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	ये सभी सरकारें शक्तिहीन हैं, ये सभी नेता फर्जी हैं।	hi	1	1.0	1	0	1.0
