Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	إقرأ كتاباً أيها المعادي للسامية !	إقرأ كتاباً أيها من يختلف معي في الرأي!	ar	1.0	1.0	1	1	0.6666666666666666
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	لعنة الله عليكم يامن يهتمون بالمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	ar	1.0	1.0	1	1	1.0
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا شخصاً غير محترم	ar	0.5	1.0	1	1	1.0
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة من المجوس تتعارض مع القيم الإسلامية والثقافة العربية	ar	1.0	1.0	1	1	0.5
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	يلعن ابوك كيف خيانة الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	ar	1.0	1.0	1	1	0.6666666666666666
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت احتفلت معهم يا حكم الله يلعن مكرها	ar	1.0	1.0	1	1	1.0
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي مكان سلمي	ar	1.0	1.0	1	1	1.0
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	يا لكم من فساد في هذا الملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر	ar	1.0	1.0	1	1	1.0
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما الذي جلادة ارسم شجرة العيلة بزرة منشأ	ar	1.0	1.0	1	1	1.0
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا تحت حكم الاسد؟ عانوا السوريين من القتل والدمار والسرقة، ودمرو البلد، وعمرو من الشعب، ولهم من الله	ar	1.0	1.0	1	1	1.0
1891	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالقلق والاشمئزاز	ar	1.0	1.0	1	1	0.16666666666666666
1892	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	كيف فشلت؟ ما كان المطلوب لكي تكون ناجحة؟	ar	1.0	1.0	1	1	1.0
1902	بس نهى للحين ماتغيرت لحجية	بس نهى للحين لم يكن هناك تغيير في الحجية	ar	1.0	1.0	1	1	0.5
1922	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	Сhabbath, хозяина по своей стране, пирет на ленты для наказания.	ar	1.0	0.0	0	0	0.8333333333333334
1931	مو قادرين على دوري كله هبايل خخخخخ	مو قادرين على دوري كله بسبب الأوضاع الخخخخخ	ar	1.0	1.0	1	1	0.8333333333333334
1933	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وانتـي حكيتيها اخيكـ مو مثل شخص آخر ههههههههه	ar	1.0	0.5	0	0	1.0
1936	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الشخص غير محنك ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	ar	1.0	1.0	1	1	0.6666666666666666
1940	دوري زبايل زيك كعادتك دايما	دوري زبايل زيك كعادتك دائما	ar	1.0	1.0	1	1	0.5
1946	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	يا ويلي ويلاه عالفاضي و نفع أكثر منهم!!! أتمنى أن أقرأ المانجا ف عشان كذا.. المهم مابي اتحمس و أحرق خليني ساكته	ar	1.0	1.0	1	1	0.8333333333333334
1949	يلعن امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	يلوم امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	ar	1.0	1.0	1	1	1.0
1954	يلعن ابوك نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد الكلب ؟ كل ماصار شيء	ننصح ابوك نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد المخالف ؟ كل ماصار شيء	ar	1.0	0.5	0	1	1.0
1958	الاتراك موجودين غصبا عن بلحه واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي…	Етот человек он не ответил.	ar	1.0	0.0	0	0	0.6666666666666666
