Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	 Козлина! Может, он их еще в СБУ передаст?	ru	1.0	1.0	1	1	0.5
3630	от одной ебанашки избавились:d :d	От одной странности избавились :D	ru	1.0	1.0	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	Ага, прямо таки наблюдатели все это пропустили... как же пидорам поправки не по нутру.	ru	1.0	1.0	1	1	0.5
3642	пидорасы родители ,за счет детей падля пьют	 Родители плохие, за счет детей пьют.	ru	1.0	1.0	1	1	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	 Кто ты такая, и так врачей не хватает, тварь вонючая (((	ru	1.0	1.0	1	1	0.6666666666666666
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: разоблачает, исследует, воздействует на уязвимое и делает это со вкусом. У некоторых людей возникает негативная реакция, все по плану, лалки.	ru	1.0	1.0	1	1	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	Бедный ребёнок, родители не очень умные, как же ему с такими дальше жить	ru	1.0	1.0	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	Посмотрите независимое расследование Васильевой, а потом пишите разумные комментарии.	ru	1.0	1.0	1	0	1.0
3669	вот кому руки то отрубить то надо	 Вот кому руки то отрубить надо.	ru	1.0	1.0	1	1	0.3333333333333333
3680	это он, а не она , провокатор кастрюлеголовый	 Это он, а не она, провокатор с кастрюльной головой.	ru	1.0	1.0	1	1	0.5
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	Отстань, прилипчивый. Вернись к своей жене и подожди.	ru	1.0	1.0	1	1	1.0
3692	сколько же ебанутых в россии в месте с тобой	Сколько же странных людей в России, включая тебя.	ru	0.5	1.0	1	1	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	Если некоторое время не вносишь деньги, начинают хуярить.	ru	0.5	1.0	1	1	0.3333333333333333
3722	долбоеба кусок, слов нет одни эмоции.	Этот человек вызывает много эмоций, просто невероятно.	ru	1.0	1.0	1	1	1.0
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	Впереди шла также девочка-ребенок, они вместе вошли в подъезд, а за ними уже этот неприятный человек зашел.	ru	1.0	1.0	1	1	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	Зачем нужен этот человек? Бесполезная ерунда!	ru	1.0	1.0	1	1	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	 Еще и Живчик перестали возить, с эхинацеей, и Бiле, мое любимое.	ru	0.5	1.0	1	1	0.8333333333333334
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	 Адвокат трактует его по-своему. Лишить лицензии идиота навсегда.	ru	1.0	1.0	1	1	1.0
