Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	Может, он их еще передаст??	ru	1.0	1.0	1	0	1.0
3630	от одной ебанашки избавились:d :d	от одной избавились:d :d	ru	1.0	1.0	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	ага,прямо таки наблюдатели это всё пропустили ...эк как поправки не по нутру	ru	1.0	1.0	1	1	1.0
3642	пидорасы родители ,за счет детей падля пьют	родители,за счет детей пьют	ru	1.0	1.0	1	1	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	да кто ты такая!!! и так врачей не хватает (((	ru	1.0	1.0	1	1	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У людей нехило подгорает, just is planned.	ru	1.0	1.0	1	1	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребёнок, родители,как же ему с такими дальше жить	ru	1.0	1.0	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	Посмотрите независимое расследование васильевой, а потом всякую пишите.	ru	1.0	1.0	1	1	1.0
3669	вот кому руки то отрубить то надо	Вот кому руки то отрубить то надо	ru	1.0	1.0	1	1	0.5
3680	это он, а не она , провокатор кастрюлеголовый	это он, а не она	ru	1.0	1.0	1	0	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	отвянь. пристань к своей жене, и жди.	ru	1.0	1.0	1	1	1.0
3692	сколько же ебанутых в россии в месте с тобой	Сколько же в россии в месте с тобой	ru	0.5	0.5	1	0	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	, если некоторое время деньги не вносищь_ плохие люди	ru	0.5	0.5	1	1	1.0
3722	долбоеба кусок, слов нет одни эмоции.	Слов нет одни эмоции.	ru	1.0	1.0	1	1	1.0
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот человек зашел	ru	1.0	1.0	1	1	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	На кого нужен этот человек???	ru	1.0	1.0	1	0	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Еще и Живчик возить перестали, с эхинацеей, и Бiле, мое любимое.	ru	0.5	1.0	1	1	1.0
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	адвокат трактует его по своему.лишить лицензии человека навсегда.	ru	1.0	1.0	1	1	1.0
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	Сколько изворачиваться будешь никто уже не верит твоей плохости	ru	1.0	1.0	1	0	1.0
