Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3026	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	uk	1.0	1.0	1	1	0.5
3030	Хочеться бухати, читати хуйню і писати хуйню.	Хочеться бухати, читати дурницю і писати дурницю.	uk	1.0	1.0	1	1	1.0
3034	То мені психічна травма, блядьЗгадувати не хочу	То мені психічна травма, згадувати не хочу	uk	1.0	1.0	1	1	1.0
3042	Про перекладацтво і мудацтво | стрнґ	Про перекладацтво і  | стрнґ	uk	0.5	1.0	1	0	1.0
3044	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте мені таке нахабство, але Сократ дискутує як поганий хлопець.	uk	1.0	1.0	1	1	1.0
3047	Боже, бля, наші люди всьо фільтрують божими законами	Боже, наші люди всьо фільтрують божими законами	uk	1.0	1.0	1	1	1.0
3056	А ти потім ходи і думай, шо за хуйня відюувається навколо	А ти потім ходи і думай, що за нісенітницю відбувається навколо	uk	0.5	1.0	1	1	1.0
3062	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	'Боже, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	uk	1.0	1.0	1	1	1.0
3069	В мене завтра свіданка блять.	В мене завтра свіданка.	uk	1.0	1.0	1	1	1.0
3080	Довелося 15 хвилин чекати ту курву.	Довелося 15 хвилин чекати ту річ.	uk	1.0	1.0	1	0	1.0
3091	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що на мене пожалілись моєму стоматологу, що я багато займаюся	uk	1.0	1.0	1	0	1.0
3092	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але нічим не займаюсь, і так весь час дома, а там щось цікаве.	uk	1.0	1.0	1	1	1.0
3102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	uk	0.5	1.0	1	1	0.5
3122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	uk	1.0	1.0	1	1	1.0
3131	І що бля, це більшість жінок почувається — отак??	І що, це більшість жінок почувається — отак??	uk	1.0	1.0	1	1	1.0
3133	- ми про щось забулипро дитину, блять#НічІзКевіном	- ми про щось забулипро дитину, #НічІзКевіном	uk	0.5	1.0	1	1	1.0
3136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Не затягнете мене в свою цукрову секту.	uk	1.0	1.0	1	1	1.0
