Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4226	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	አሰልቺነት የሰው ልጅ ነው። አሰልቺ ስለሆንክ ብቻ የሆነ ነገር መጣል	am	1.0	1.0	1	1	0.6666666666666666
4230	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	2 ፌዝ ካለ ዘረኝነት ሊቆጣጠረው የማይችል አውሬ ነው።	am	1.0	1.0	1	1	0.6666666666666666
4234	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	ቁጣህን ማጣት አትፈልግም እንዴ?	am	1.0	1.0	1	0	1.0
4242	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	100 እና አንድ ወይም ሁለት ግድያዎች ለእናንተ ተመሳሳይ ናቸው: ይህ ግልጽ ነው: አንተ	am	1.0	1.0	1	1	0.8333333333333334
4244	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	ግራ መጋባት የለም፤ አብርሃም ጆይ የመሳሰሉ የድሮው ስርዓት አክራሪዎች	am	1.0	1.0	1	1	0.8333333333333334
4247	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	ዱሩም ባቱ ሲማር በነበረበት ወቅት በ	am	1.0	0.5	0	1	1.0
4256	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	ነገር ግን የጊዜ እጥረት መስተጋብር መፍጠር ይቻላል ማለት ይቻላል።	am	1.0	1.0	1	1	1.0
4262	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	አንተ ሠራተኛ ሆይ፣ ዝም በል፤ ነገ ግን የሸክሉ ዋጋ ይጨምር	am	1.0	0.5	0	1	1.0
4269	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	እኔ የምታውቀው ልጅ እያለህ ጨዋታዎችን እንደምትወድ ነገር ግን ፖለቲካን እንደማትወድ ብቻ ነው።	am	1.0	1.0	1	1	0.5
4280	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	እርስዎ ፕሬዚዳንት ነህ በማሰብ የት ነበር ይላሉ ከሆነ, ምክንያቱም	am	0.5	1.0	1	0	1.0
