Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Menschen, die so etwas tun, sollten sofort zur Rechenschaft gezogen werden. Unsere Jugend muss vor solchen Leuten geschützt werden.	de	1.0	0	1.0	1	1
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Und wieso wurde dieses etwas nicht verheiratet...?	de	1.0	1	0.3333333333333333	1	1
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Gauland hat recht! Warum sollte eine Person, die nicht zur allgemeinen Bevölkerung gehört, sich in Deutschland, vor allem in der Politik, aufhalten? Nichts! Fakt!	de	0.5	1	1.0	1	1
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	Diese Person Göhring-Eckhardt kann zurück in ihre Heimat, der DDR!	de	0.5	1	1.0	1	1
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	Hier ist mal wieder ein richtiger Haufen Leute dabei, die über die AfD debattieren. Politisch nicht allzu bewandert und nicht besonders auf dem intellektuellen Level.	de	0.0	1	0.6666666666666666	1	1
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	Wo sind jetzt die Artikel, die politische Verantwortungsträger kritisieren, die Gewaltakte nicht eindeutig verurteilen?	de	0.5	0	1.0	1	1
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	Das diesjährige Fasnachtsfest wird aufgrund der hohen Anzahl an Flüchtlingen in die Geschichtsbücher eingehen. Es wird diskutiert, ob eine Kastration für alle notwendig ist.	de	1.0	0	1.0	1	1
2462	wo ist den Ober-Bastard Voßkuhle?	Wo ist Herr Voßkuhle?	de	1.0	1	1.0	1	1
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	Die EU und Deutschland beteiligen sich erneut mit umstrittenen Darstellungen an der Innenpolitik Polens. Das ist nicht ihre Angelegenheit.	de	1.0	0	0.8333333333333334	1	1
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	Ja, viel Erfolg bei den Frauen. 👍	de	1.0	1	0.6666666666666666	1	1
2491	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	"Warum kritisieren das politische System und seine Mainstream-Medien Trump? Er hat die Wahrheit gesagt: ""Gewalt von beiden Seiten""."	de	0.5	0	1.0	1	1
2492	OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	Oh mein Gott... so eine unansehnliche Frau.. ihr Gesicht wäre besser auf einer Mülltonne..	de	1.0	0	0.6666666666666666	1	1
2502	Scheiss-Klimaschützer. Für Geschwindigkeitsbeschränkung, aber. die Flieger und die Kreuzfahrtschiffe blasen weiter die Umwelt voll.	Umweltschützer fordern Geschwindigkeitsbeschränkungen, aber Flugzeuge und Kreuzfahrtschiffe belasten weiterhin die Umwelt.	de	1.0	0	0.6666666666666666	1	1
2522	Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr Säcke. auch schon seinen Stuhlgang überprüft?	Grundsätzlich ist es fast übertrieben, wie Trump ständig überwacht wird. Habt ihr alle schon seine Gesundheit überprüft?	de	1.0	0	0.6666666666666666	1	1
2531	#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid. 13 Tote. Weitere werden folgen ihr deutschen Politidioten	Pegida hat alles vorausgesagt für Europa!. Islamischer Terror in Madrid. 13 Tote. Weitere werden folgen ihr deutschen Politikern.	de	0.5	1	0.6666666666666666	1	1
2533	Intergrierte werden Abgeschobenen und Nafris und die Neger dürfen bleiben ,siehe Geschehniss in Nürnberg!	Integrierte werden Abgeschobenen und Personen aus Nordafrika und die Menschen aus Afrika dürfen bleiben, siehe Ereignis in Nürnberg!	de	1.0	1	1.0	1	1
2536	"Wenn ich nachdenke,ist es schon erniedrigend im ""Lobbyisten.Babel"" Deutschland unter Führung der Finger kauenden Marionette leben zu müssen😜"	Wenn ich darüber nachdenke, ist es schon herausfordernd in Deutschland zu leben, unter der Führung einer Marionette	de	1.0	1	1.0	1	1
