Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	إقرأ كتاباً أيها المعادي للسامية !	إقرأ كتاباً أيها المعادي !	ar	1.0	1.0	1	1	0.6666666666666666
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	 حسبي الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غیرها طيب یاخرنق وملحقات المساجد واذا قد…	ar	1.0	1.0	1	1	0.6666666666666666
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	خلعتك ضربة ع وترك تا فعت هالفوعة؟؟؟ ههههه الله ي شفيك يا 	ar	0.5	0.5	1	1	1.0
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	بلد يسمح للإيرانيين أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من الإيرانيين اعداء الأسلام والمسلمين والعرب عمومًا	ar	1.0	1.0	1	1	0.6666666666666666
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	ar	1.0	1.0	1	1	1.0
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت احتفلت معهم يا حكم	ar	1.0	1.0	1	1	1.0
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	انشالله عن قريب لازم ينشد ويستفيد بشي زريبة	ar	1.0	1.0	1	1	0.8333333333333334
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر وهناك ملع	ar	1.0	1.0	1	1	1.0
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما الي جلادة ارسم شجرة العيلة😂	ar	1.0	1.0	1	1	1.0
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، حسبي الله عليكم	ar	1.0	1.0	1	1	1.0
1891	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي يجعلني أشعر بالسوء	ar	1.0	1.0	1	1	1.0
1892	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟	ar	1.0	1.0	1	1	1.0
1902	بس نهى للحين ماتغيرت لحجية	بس نهى للحين ماتغيرت بسيطة	ar	1.0	1.0	1	1	1.0
1922	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	صاحب الدراسه سمين ومايبي ينحف دراسه لايلعب عليكم	ar	1.0	1.0	1	1	0.8333333333333334
1931	مو قادرين على دوري كله هبايل خخخخخ	قادرين على دوري كله هبايل	ar	1.0	1.0	1	0	0.8333333333333334
1933	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وانتي حكيتيها اخيكي مثلک هههههههههههههههههه	ar	1.0	1.0	1	1	1.0
1936	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الرجل ساذجا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	ar	1.0	1.0	1	1	0.8333333333333334
1940	دوري زبايل زيك كعادتك دايما	دوري أيلا كعادتك دايما	ar	1.0	1.0	1	1	0.8333333333333334
1946	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أنا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	ar	1.0	1.0	1	1	0.8333333333333334
1949	يلعن امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	ar	1.0	1.0	1	1	1.0
1954	يلعن ابوك نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد الكلب ؟ كل ماصار شيء	نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد  ؟ كل ماصار شيء	ar	1.0	1.0	1	1	1.0
1958	الاتراك موجودين غصبا عن بلحه واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي…	الاتراك موجودين غصبا عن الترك واللي معاه لو فيهم رجل يقدر يطلعهم يورينا ي…	ar	1.0	1.0	1	1	0.6666666666666666
1966	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم يكلاب	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم يغلبون	ar	1.0	1.0	1	1	1.0
1976	لا شرطي روسي يا ابن الستين كلب	لا شرطي روسي يا محترم الستين	ar	1.0	1.0	1	1	1.0
1983	دي مش مشكله بالنسبة للدفعة عشان كلهم صعايدة	دي مش مشكله بالنسبة للدفعة عشان كلهم صغيرين	ar	1.0	1.0	1	0	0.8333333333333334
1986	ماطلعلكم صوت فوق السرقة كذابين تسئلون وش مشكلتك وبعدها تختفون ماتردون لعنة الله عليكم وعلى من جمعكم شركة نصب	ماطلعل كم صوت فوق السرقة كذابين تسئلون وش مشكلتك وبعدها تختفون ماتردون وعلى من جمعكم شركة نصب	ar	1.0	1.0	1	1	1.0
1988	خلاص واضحه الحكم ابن الزنوه رجع للفار عشان للهلال وحقت النصر مارجع عيال زنا جابو حكم زيهم ابن زنوه	خلاص واضحه الحكم رجع للفار عشان للهلال وحقت النصر مارجع مو محترم جابو حكم زيهم مو محترم	ar	1.0	1.0	1	1	1.0
2003	يمه فجاءه صارو كلهم صعايدة	يمه صحابه صارو كلهم صعايدة	ar	1.0	1.0	1	1	0.6666666666666666
2007	يا رجال دوري هبلان ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مصخرة😭😭	يا رجال دوري مبتدئين ضامن الدори تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مهزلة😭😭	ar	1.0	0.5	0	1	0.8333333333333334
2014	لعنة الله عليكم قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	ar	1.0	1.0	1	1	1.0
2015	كس أختك على أختو شهيد قال	على أختو شهيد قال	ar	1.0	1.0	1	1	1.0
2018	أولئك هم الجيل القادم من المشردين البائسين .	أولئك هم الجيل القادم من الناس البائسين .	ar	1.0	1.0	1	1	1.0
2022	يا عمي هيدا الزلمي جاهل	يا عمي هيدا جاهل	ar	1.0	1.0	1	1	0.5
2031	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر . هكذا هم العملاء وبائعي وطنهم لعنة الله عليكم ياخونة	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر . هكذا هم العملاء وبائعي وطنهم ياخونة	ar	1.0	1.0	1	1	0.6666666666666666
2033	أنا لم أصوت للكذاب	أنا لم أصوت للغبي	ar	1.0	1.0	1	1	0.3333333333333333
2036	تدري انك قاعد تتابع المباراة و انا ازغل عليك يا حمار	تدري انك قاعد تتابع المباراة و انا ازغل عليك يا رجل	ar	1.0	1.0	1	1	1.0
2046	امم جمال جد جد لبويتين شراميط واقفين مع بعض	أمم جمال جد جد لبويتين ناس مع بعض	ar	1.0	1.0	1	1	1.0
2047	الشرطة ليس لديها وقت لهذا الهراء	الشرطة ليس لديها وقت لمثل هذا مرة أخرى	ar	1.0	1.0	1	1	1.0
2049	* معنديش طاقة اجادل حد * - انتي صح - وانت صح - والأخ اللي ورا... ايوة انت يا حمار انت صح	*معنديش طاقة اجادل* - انتي صح - وانت صح - والأخ اللي ورا... ايوة انت يا رجل انت صح	ar	1.0	1.0	1	1	1.0
2053	هيلاري حرة، وأوامره التنفيذية فاشلة، وتعييناتها بها بعض المشاكل	هيلاري حرة، وأوامرها التنفيذية غير ناجحة، وتعييناتها بها بعض المشاكل	ar	1.0	1.0	1	1	1.0
2064	واحد متخلف معانا في الشغل كان مخالط لحال مشتبه فيها كورونا وجهه الشغل وهو قاعد حد اتصل بيه وقاله انه عمل مسحة و الن…	واحد ساذج معانا في الشغل كان مخالط لحال مشتبه فيها كورونا وجهه الشغل وهو قاعد حد اتصل بيه وقاله انه عمل مسحة و الن…	ar	1.0	1.0	1	1	1.0
2065	كيف بدك تحررها بمزيد من التطبيع مع الصهيونب والمباركة لذلك ..	كيف بدك تحررها بمزيد من التطبيع مع الدول الأخرى والمباركة لذلك ..	ar	1.0	1.0	1	1	1.0
2069	واو، تحدث عن تعليق جاهل.	تحدث عن تعليق بريء.	ar	1.0	1.0	1	0	1.0
2072	سينظرون إليه كمهرج طفولي يجب التعامل معه بحذر.	سينظرون إليه كطفل يجب التعامل معه بحذر.	ar	1.0	1.0	1	1	1.0
2075	اقسم بالله فريق بدون شخصيه لعنة الله عليكم	اقسم بالله فريق بدون شخصيه حسبي الله عليكم	ar	1.0	1.0	1	1	1.0
2078	فين مصر من المساعدات لضحايا تفجير بيروت؟ ولا احنا بس نبعت لايطاليا وامريكا وبريطانيا والصين؟ الله يلعن ابوك وابو	فين مصر من المساعدات لضحايا تفجير بيروت؟ ولا احنا بس نبعت لايطاليا وامريكا وبريطانيا والصين؟	ar	1.0	1.0	1	1	1.0
2106	الجدال الغبي الذي قرأته هنا يجعلني أهز رأسي	الجدال الذي قرأته هنا يجعلني أهز رأسي	ar	1.0	1.0	1	1	1.0
2111	يلعن امك يا كونتي من اول تنزله	يا رحم امك يا كونتي من اول تنزله	ar	1.0	1.0	1	1	0.8333333333333334
2113	مهي عشان كدة اسمها مخابرات يا غبي	مهي عشان كدة اسمها مخابرات يا فشلة	ar	1.0	1.0	1	1	0.5
2117	بتحب اذكرك بكلامي عليك وقتها ولا عارفه ي فلسطيزي ؟	بتحب اذكرك بكلامي عليك وقتها ولا عارفه يا صديقي؟	ar	1.0	1.0	1	1	1.0
2119	للاسف مغرر وملعوب عليهم واخرته كنب وسرير وزواج من زنجي وغسيل حمامات وانتي بكرامه. اللهم عافانا	للاسف مغرر وملعوب عليهم واخرته كنب وسرير وزواج وانتي بكرامه. اللهم عافانا	ar	1.0	1.0	1	1	0.8333333333333334
2123	لا تصير غبي ياسعد لو كان في اياب كان تراجع برشلونه ومافتح ملعبه	لا تصير ساذج ياساعد لو كان في اياب كان تراجع برشلونه ومافتح ملعبه	ar	1.0	1.0	1	1	1.0
2132	متى سيحين المستقبل القريب لهؤلاء المهرجون؟	متى سيحين المستقبل القريب لهؤلاء المنفذين؟	ar	1.0	1.0	1	1	1.0
2148	لا يمكنك شراء كل شيء على أمازون؛ العديد من الأشخاص قد يكونون أغبياء لاستخدامه.	لا يمكنك شراء كل شيء على أمازون؛ العديد من الأشخاص قد يكونون غير حكيمين لاستخدامه.	ar	1.0	1.0	1	1	1.0
2163	قل لهم جميعاً أن يحتفظوا به في مؤخراتهم .	قل لهم جميعاً أن يorgetه في مكان آمن.	ar	1.0	0.5	0	0	1.0
2172	الله يلعن أبوك فريق . لاعب يستلم من الجناح وياخذ الملعب اختراق ويسجل هدف والحارس ما يحتاج أكمل	الله رحمة أبوك فريق . لاعب يستلم من الجناح وياخذ الملعب اختراق ويسجل هدف والحارس ما يحتاج أكمل	ar	1.0	1.0	1	1	1.0
2173	طيب وخر لا ادعسك 😭😭😭😭😭😭🌚	طيب وخر افضلک 😭😭😭😭😭😭🌚	ar	1.0	1.0	1	1	1.0
2177	عايزين تنهبوا المقيمين وخلاص لعنة الله عليكم	عايزين تنهبوا المقيمين وخلاص حسبي الله عليكم	ar	1.0	1.0	1	1	1.0
2179	سلام عليكم وجمعة مباركة ونسأل الله العفو والمغفرة. بنظر هؤلاء الشيعي كافر وحلال الدم والمال،ولهذا ترك…	سلام عليكم وجمعة مباركة ونسأل الله العفو والمغفرة. بنظر هؤلاء كافر وحلال الدم والمال،ولهذا ترك…	ar	1.0	1.0	1	1	0.6666666666666666
2180	أنا لست بحاجة إلى ذكر كل كلمة غبية.	أنا لست بحاجة إلى ذكر كل كلمة خاطئة.	ar	1.0	1.0	1	1	0.6666666666666666
2185	إنه فاسق غير مألوف بالنسبة لعضو حزب الديمقراطيين.	إنه شخص غير مناسب بالنسبة لعضو حزب الديمقراطيين.	ar	1.0	1.0	1	1	1.0
2199	العرب اتقدمو وبقوا شراميط 😋 😋	العرب اتقدمو وبقوا 👍😊	ar	1.0	1.0	1	0	1.0
2200	اليس هم نفسهم الي ارسلهم قردوغان لليبيا واليس هم نفسهم من ارسلهم لقتل الاكراد والعراقيي…	اليس هم نفسهم الي ارسلهم أردوغان لليبيا واليس هم نفسهم من ارسلهم لقتل الاكراد والعراقيين…	ar	1.0	1.0	1	1	0.8333333333333334
2206	كل تبن بس يا لحجي	كل تبن يا بسيط	ar	1.0	1.0	1	1	1.0
2208	حسناً، تباً لك، أيها الأحمق، اتمنى موتك، سأقتلك.	حسناً، أيها، اتمنى، سأعلمك.	ar	1.0	1.0	1	0	1.0
2211	انت قلت شراميط شو بدي قول بعد في وصف تاني	انت قلت شيء ما بديقول بعد في وصف تاني	ar	1.0	1.0	1	1	1.0
2214	يلعن امك مو على اساس اكل للبسس كيف صارت نومه؟؟؟؟؟؟	على اساس اكل للبسس كيف صارت نومه؟؟؟؟؟	ar	1.0	1.0	1	1	1.0
2219	رزق الهبل عالمجانين آه يا هبيلة	رزق الهبل عالمجانين آه يا عالمجاني	ar	1.0	1.0	1	1	1.0
2220	الرئيس النرجسي السلبي بالنسبة لك!	الرئيس غير الملائم بالنسبة لك!	ar	1.0	1.0	1	1	1.0
2228	أنا أعلم، أنا متعصب فظيع، قاتل ظالم بالولادة.	أنا أعلم، أنا شخص غير منصف.	ar	1.0	1.0	1	0	1.0
2235	"حلوة كلمك ""مقارنتاً "" اعرف لغتك يا جاهل اولاً😂😂😂"	"حلوة كلمك ""مقارنتاً "" اعرف لغتك يا فهيم اولاً😂😂😂"	ar	1.0	1.0	1	1	1.0
2249	الليرة التركي بيتم اغتصابها وهتك عرضها قردوغان هيهجم على الخط الأحمر لانها المنقذ له ولاقتصاده الهش	الليرة التركي بيتم تحريرها وهتك عرضها أردوغان هيهجم على الخط الأحمر لانها المنقذ له ولاقتصاده الهش	ar	1.0	1.0	1	1	1.0
2250	شكرا لكم على إضاعة الوقت في الدنيا لتظهروا جهلكم الفائق .	شكرا لكم على إضاعة الوقت في الدنيا لتظهروا آرائكم الفائق .	ar	1.0	1.0	1	1	0.8333333333333334
2255	يا له من وجهة نظر بائسة وغير ناضجة لديك!	يا له من وجهة نظر غير ناضجة لديك!	ar	1.0	1.0	1	1	1.0
