Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	неприятная женщина! может, он их еще в СБУ передаст??	ru	1.0	1	1	0	1.0
3630	от одной ебанашки избавились:d :d	от одной неприятной женщины избавились	ru	1.0	1	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	ага, прямо таки наблюдатели это всё пропустили...эк как это не по нутру	ru	1.0	1	1	1	1.0
3642	пидорасы родители ,за счет детей падля пьют	плохие родители, за счет детей деньги тратят	ru	1.0	1	1	1	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	да кто ты такая?! и так врачей не хватает, это проблема!	ru	1.0	1	1	1	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У них нехило подгорает, just is planned, лалки.	ru	1.0	1	1	1	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребёнок, родители неадекваты,как же ему с такими дальше жить	ru	1.0	1	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	посмотрите независимое расследование васильевой, а потом делайте обоснованные выводы.	ru	1.0	1	1	0	1.0
3669	вот кому руки то отрубить то надо	вот кому наказание нужно	ru	1.0	1	1	1	1.0
3680	это он, а не она , провокатор кастрюлеголовый	это он, провокатор с ограниченными возможностями	ru	1.0	1	1	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	отвянь, неудачник прилипчивый. пристань к своей жене, и жди.	ru	1.0	1	1	1	1.0
3692	сколько же ебанутых в россии в месте с тобой	сколько же неадекватных людей в России вместе с тобой	ru	0.5	1	1	1	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	, если некоторое время деньги не вносишь_ начинают создавать проблемы	ru	0.5	1	1	1	1.0
3722	долбоеба кусок, слов нет одни эмоции.	неприятный человек, слов нет, одни эмоции.	ru	1.0	1	1	1	1.0
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	впереди шла тоже девочка ребенок они вместе вошли в подъезд а потом уже этот человек зашел	ru	1.0	1	1	1	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	на кой черт этот человек нужен??? бесполезный!!!	ru	1.0	1	1	1	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Еще и Живчик возить перестали, с эхинацеей, и Бiле, мое любимое.	ru	0.5	1	1	1	1.0
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	адвокат трактует его по своему.лишить лицензии неумелого навсегда.	ru	1.0	1	1	1	1.0
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	неприятный человек, сколько будете изворачиваться, никто уже не верит вашим словам, это вам мразь	ru	1.0	1	1	1	0.8333333333333334
3749	дай бог, если очередному дебилу это будет уроком-не срать соседу.	дай бог, если очередному неудачнику это будет уроком - не создавать проблемы соседу.	ru	1.0	1	1	1	1.0
3754	нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска	не нужно выдумывать дура глупая.пусть благодарит бога что ноги не сломала глупая ска	ru	0.5	1	1	1	1.0
3758	потому что жизнь долбоёбов ничему не учит	потому что жизнь некоторых людей ничему не учит	ru	1.0	1	1	1	1.0
3766	ты то блядь, ещё та)) иностранная))) японская- шлюха ты тупая)) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?	ты ещё та)) иностранная))) японская))) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?	ru	1.0	1	1	1	1.0
3776	Австралийские твари доберутся до всех материков!	Австралийские люди доберутся до всех материков!	ru	1.0	1	1	1	1.0
3783	а щас эти пидары забрали то каторе строили нашы деды.и снашают этим нас	а сейчас эти люди забрали то, что строили наши деды. и насмехаются над нами этим	ru	0.5	1	1	1	1.0
3786	пиздец ,мягко сказано,конца не виднои россии нет,всю почти продали,твари........	катастрофа, мягко сказано, конца не видно и России нет, всю почти продали, люди...	ru	0.5	1	1	1	1.0
3788	дело даже не в iq - просто хуесосам там не место	дело даже не в интеллекте - просто неадекватным людям там не место	ru	1.0	1	1	1	1.0
3803	сука! беззащитное животное избить, которое не может себя защитить	беспомощное животное избить, которое не может себя защитить	ru	1.0	1	1	1	1.0
3807	ты чудо если ты думаешь что я от фото шопа,стану хуже то ты точно лох	ты ошибаешься если ты думаешь что я от фото шопа, стану хуже то ты точно не прав	ru	1.0	1	1	1	0.8333333333333334
3814	нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?	нормальные люди от юмора смеются, а ты тут разводишь неукротимую критику! Может, тебе не здесь?	ru	1.0	1	1	1	0.8333333333333334
3815	как же я люблю свою родину!!! ибать её конём!!!	как же я люблю свою родину!!! и ценю ее!!!	ru	1.0	1	1	1	1.0
3818	жопу как раз ты свою рвешь	жалобы как раз ты свои выдвигаешь	ru	1.0	1	1	0	1.0
3822	полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.	полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его ошибки...ошибся так ошибся.	ru	1.0	1	1	1	1.0
3831	готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.	готовься к санкциям не проецируй, плохой человек. разрыва контракта не будет, платит - значит хорошо.	ru	1.0	1	1	1	1.0
3833	вы бы ещё сделали узнайте актера по жопе! вы совсем еб.нулись	вы бы ещё сделали узнайте актера по его работе! вы совсем потеряли голову	ru	1.0	1	1	1	1.0
3836	твой ельцын алкаш гребанный всю страну развалил гореть ему в аду пидору	твой ельцин развалил всю страну, пусть ему будет стыдно	ru	1.0	1	1	1	1.0
3846	долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а долбоебы на своих....	некомпетентный руководитель чем народ кормить собирается. умные люди учатся на чужих ошибках, а неудачники на своих....	ru	1.0	1	1	1	1.0
3847	придурок. как он надоел уже. когда посадят за решетку. придурки все.	неприятный человек. как он надоел уже. когда посадят за решетку. все неприятные люди.	ru	1.0	1	1	1	1.0
3849	мало их в войсках чмырили и пиздили.	мало их в войсках обманули и обидели.	ru	1.0	1	1	1	1.0
3853	если мы сами этим пидорам не скажем нет то так ибудет.	если мы сами этим людям не скажем нет то так и будет.	ru	0.5	1	1	1	1.0
3864	значит у этого дяди есть что терять? наворовал со школы у детишек.....ублюдок	значит у этого человека есть что терять? он обманул детей.....неприятный человек	ru	1.0	1	1	1	1.0
3865	ну может тебя вместо лукашенко, пиз бол?!	ну может тебя вместо лукашенко, остановит?!	ru	1.0	1	1	0	1.0
3869	для дебилов, которые ходят в масках и перчатках. пускай тогда скафандры покупают, дебилы:d	для людей, которые ходят в масках и перчатках. пускай тогда скафандры покупают	ru	1.0	1	1	1	1.0
3872	развалили суки такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат	развалили такую часть помню как прибыл в неё в 2005 сначала шмс а потом 4 бат	ru	1.0	1	1	1	1.0
3875	бабло надо отрабатывать..... а судь бы миллионов белорусов этих тварей-упырей не интерес уют	деньги надо отрабатывать..... а судьба миллионов белорусов этих людей не интересуется уютом	ru	1.0	1	1	1	1.0
3878	Всей толпой в церковь и свечки за его здравие. Или успокоится или вам похер станет	Всей толпой в церковь и свечки за его здоровье. Или успокоится или вам станет хуже	ru	1.0	1	1	1	1.0
3906	Среди умных людей -безусловно. Но стреляют то в в основном идиоты.	Среди умных людей - безусловно. Но стреляют то в основном необразованные люди.	ru	1.0	1	1	1	1.0
