Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	Может, он их еще в СБУ передаст?	ru	1.0	1.0	1	1	1.0
3630	от одной ебанашки избавились:d :d	От одной избавились:d :d	ru	1.0	1.0	1	0	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	Ага, прямо таки наблюдатели это все пропустили ...эк как нужно делать поправки.	ru	1.0	1.0	1	0	1.0
3642	пидорасы родители ,за счет детей падля пьют	Родители за счет детей платят.	ru	1.0	1.0	1	0	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	Врачей не хватает!	ru	1.0	1.0	1	0	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У людей нехило подгорает, это запланировано, разговоры.	ru	1.0	1.0	1	1	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	Бедный ребенок, родители неудачники, как ему с ними дальше жить	ru	1.0	1.0	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	Посмотрите независимое расследование Васильевой, а потом пишите.	ru	1.0	1.0	1	1	1.0
3669	вот кому руки то отрубить то надо	Вот кому руки то надо.	ru	1.0	1.0	1	0	1.0
3680	это он, а не она , провокатор кастрюлеголовый	Это он, а не она, провокатор.	ru	1.0	1.0	1	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	пристань к своей жене, и жди.	ru	1.0	1.0	1	1	1.0
3692	сколько же ебанутых в россии в месте с тобой	Сколько людей в России вместе с тобой?	ru	0.5	1.0	1	1	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	Денег не внеслись некоторое время.	ru	0.5	1.0	1	0	1.0
3722	долбоеба кусок, слов нет одни эмоции.	долбоеба кусок, слов нет одни эмоции.	ru	1.0	1.0	1	1	0.5
