Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4226	إقرأ كتاباً أيها المعادي للسامية !	إقرأ كتاباً أيها الرجل السامي!	ar	1.0	1.0	1	1	0.8333333333333334
4230	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	حسبي الله عليكم يا مفترس يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد...	ar	1.0	1.0	1	1	1.0
4234	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا 	ar	0.5	0.5	1	1	1.0
4242	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة من الإيرانيين اعداء الأسلام والمسلمون والعرب عمومًا	ar	1.0	1.0	1	1	1.0
4244	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	ar	1.0	1.0	1	1	1.0
4247	كانت احتفلت معهم يا حكم الله يلعن امك	كانت احتفلت معهم يا حكم الله يرحم امك	ar	1.0	1.0	1	1	1.0
4256	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	ar	1.0	1.0	1	1	0.5
4262	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	يا لك من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر	ar	1.0	1.0	1	1	1.0
4269	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما الي جلادة ارسم شجرة العيلة 😂 ة فاشلين	ar	1.0	0.5	0	1	1.0
4280	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، حسبي الله عليكم	ar	1.0	1.0	1	1	0.8333333333333334
4291	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي يجعلني أشعر بالسوء	ar	1.0	1.0	1	1	0.8333333333333334
4292	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟	ar	1.0	1.0	1	1	1.0
4302	بس نهى للحين ماتغيرت لحجية	 نهاية للحين ماتغيرت 	ar	1.0	1.0	1	1	0.6666666666666666
4322	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	صاحب الدراسة مايبي ينحف دراسه كذبيه لايلعب عليكم	ar	1.0	1.0	1	1	1.0
4331	مو قادرين على دوري كله هبايل خخخخخ	 قادرين على دوري كله مبتدئين خخخخخ	ar	1.0	1.0	1	1	1.0
4333	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وانتـي حكيتيها اخيكـ   مثلكـ ههههههههههههههههههه	ar	1.0	0.5	0	1	1.0
4336	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الرجل غير قادر على إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	ar	1.0	1.0	1	0	1.0
4340	دوري زبايل زيك كعادتك دايما	دوري مبتدئين زيك كعادتك دايما	ar	1.0	1.0	1	1	1.0
4346	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	يا ويلي ويلاه عالفاضي و نفع أكثر منهم!!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا.. المهم مابي اتحمس و أحرق خليني ساكته	ar	1.0	1.0	1	1	0.5
4349	يلعن امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	يرحم امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	ar	1.0	1.0	1	1	1.0
4354	يلعن ابوك نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد الكلب ؟ كل ماصار شيء	نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد  ؟ كل ماصار شيء	ar	1.0	1.0	1	1	1.0
4358	الاتراك موجودين غصبا عن بلحه واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي…	الاتراك موجودين غصبا عن  واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي...	ar	1.0	1.0	1	1	0.8333333333333334
4366	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم يكلاب	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم يكلاب	ar	1.0	1.0	1	1	0.5
4376	لا شرطي روسي يا ابن الستين كلب	لا شرطي روسي يا  الستين	ar	1.0	1.0	1	1	1.0
4383	دي مش مشكله بالنسبة للدفعة عشان كلهم صعايدة	دي مش مشكله بالنسبة للدفعة عشان كلهم فاشلين	ar	1.0	1.0	1	1	0.5
4386	ماطلعلكم صوت فوق السرقة كذابين تسئلون وش مشكلتك وبعدها تختفون ماتردون لعنة الله عليكم وعلى من جمعكم شركة نصب	ماطلعلكم صوت فوق السرقة كذابين تسئلون وش مشكلتك وبعدها تختفون ماتردون	ar	1.0	1.0	1	1	1.0
4388	خلاص واضحه الحكم ابن الزنوه رجع للفار عشان للهلال وحقت النصر مارجع عيال زنا جابو حكم زيهم ابن زنوه	خلاص واضحه الحكم  الزنوه رجع للفار عشان للهلال وحقت النصر مارجع   جابو حكم زيهم  محترم	ar	1.0	1.0	1	1	0.8333333333333334
4403	يمه فجاءه صارو كلهم صعايدة	يمه فجاءه صارو كلهم بسطين	ar	1.0	1.0	1	0	1.0
4407	يا رجال دوري هبلان ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مصخرة😭😭	يا رجال دوري مبتدئين ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مصخرة😭😭	ar	1.0	1.0	1	1	0.8333333333333334
4414	لعنة الله عليكم قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	ar	1.0	1.0	1	1	1.0
4415	كس أختك على أختو شهيد قال	أسكت لك على أختو شهيد قال	ar	1.0	1.0	1	1	1.0
4418	أولئك هم الجيل القادم من المشردين البائسين .	أولئك هم الجيل القادم من المشردين البائسين.	ar	1.0	1.0	1	1	0.5
4422	يا عمي هيدا الزلمي جاهل	يا عمي هيدا الزلمي ليس صادق	ar	1.0	1.0	1	0	1.0
4431	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر . هكذا هم العملاء وبائعي وطنهم لعنة الله عليكم ياخونة	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر. هكذا هم العملاء وبائعي وطنهم	ar	1.0	1.0	1	1	1.0
4433	أنا لم أصوت للكذاب	أنا لم أصوت للكذاب	ar	1.0	1.0	1	1	0.5
4436	تدري انك قاعد تتابع المباراة و انا ازغل عليك يا حمار	تدري انك قاعد تتابع المباراة و انا ازغل عليك	ar	1.0	1.0	1	0	1.0
4446	امم جمال جد جد لبويتين شراميط واقفين مع بعض	امم جمال جد جد لبويتين ساقطات واقفين مع بعض	ar	1.0	1.0	1	1	1.0
4447	الشرطة ليس لديها وقت لهذا الهراء	الشرطة ليس لديها وقت لهذا الهراء	ar	1.0	1.0	1	1	0.5
4449	* معنديش طاقة اجادل حد * - انتي صح - وانت صح - والأخ اللي ورا... ايوة انت يا حمار انت صح	معنديش طاقة اجادل  * - انتي صح - وانت صح - والأخ اللي ورا... ايوة انت يا صح	ar	1.0	1.0	1	1	1.0
4453	هيلاري حرة، وأوامره التنفيذية فاشلة، وتعييناتها بها بعض المشاكل	هيلاري حرة، وأوامره التنفيذية فاشلة، وتعييناتها بها بعض المشاكل	ar	1.0	1.0	1	1	0.5
