Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	Якщо трохи подряпати тих терористів-смертників, які підривають людей у Європі, то	uk	1.0	1.0	1	0	0.8333333333333334
30	Хочеться бухати, читати хуйню і писати хуйню.	Я хочу бухати, читати і писати	uk	1.0	1.0	1	1	1.0
34	То мені психічна травма, блядьЗгадувати не хочу	У мене психічна травма, я не хочу про це згадувати	uk	1.0	1.0	1	1	1.0
42	Про перекладацтво і мудацтво | стрнґ	Про переклад і поезію strng	uk	0.5	1.0	1	0	1.0
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Вибачте за мою зухвалість, але Сократ так багато дискутує.	uk	1.0	1.0	1	0	1.0
47	Боже, бля, наші люди всьо фільтрують божими законами	Господи, наші люди все фільтрують за Божими законами	uk	1.0	1.0	1	1	1.0
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А потім йдеш і думаєш про те, що відбувається навколо	uk	0.5	1.0	1	1	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	Чому ви не можете просто зобов’язати всіх людей, які контактують з іноземцями, вчитися	uk	1.0	1.0	1	0	1.0
69	В мене завтра свіданка блять.	У мене завтра побачення.	uk	1.0	1.0	1	1	1.0
80	Довелося 15 хвилин чекати ту курву.	Мені довелося чекати 15 хвилин на цю людину.	uk	1.0	1.0	1	1	1.0
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Здається, мій стоматолог скаржився на мене, тому що я багато пукаю.	uk	1.0	1.0	1	0	1.0
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	І я теж, але так весь час вдома, і там щось цікаве	uk	1.0	1.0	1	1	1.0
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Я їду у відпустку, куплю собі смаколиків і я	uk	0.5	1.0	1	0	1.0
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	коли ти будеш нормально розставляти коми. соромно дивитись на твою	uk	1.0	1.0	1	0	1.0
131	І що бля, це більшість жінок почувається — отак??	І що таке відчуття більшості жінок?	uk	1.0	1.0	1	1	1.0
133	- ми про щось забулипро дитину, блять#НічІзКевіном	ми щось забули про дитину, #NightWithKevin	uk	0.5	1.0	1	1	1.0
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	не втягуй мене в свою цукрову секту.	uk	1.0	1.0	1	1	1.0
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	Про всяк випадок вивчіть фразу «куди ти йдеш?» кількома мовами	uk	1.0	1.0	1	1	1.0
146	і хтось це ябо я не пизджу чуже	а хтось тому, що я не плутаю чужі речі	uk	1.0	1.0	1	0	1.0
149	Хто рано встає - той більше хуйні встигає натвітити.	У тих, хто рано встає, є більше часу для твітів.	uk	1.0	1.0	1	1	1.0
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб мені було добре, мені потрібен лише секс, а дівчата померли.	uk	1.0	1.0	1	0	1.0
158	 можеш послати мене нахуй, якшо хочеш.	ти можеш зіпсувати мене скільки хочеш.	uk	1.0	1.0	1	0	1.0
166	 в мене на минулому тижні було замовлення, одразу нахуй послав.	У мене було замовлення минулого тижня, я його відразу відправив.	uk	1.0	1.0	1	0	1.0
176	Поки я спала та мочила жопу в морі, ви пиздякали про айфон.	Поки я спав і кидався в море, ти говорив про iPhone	uk	1.0	1.0	1	0	1.0
183	Я хочу вивчити ще багато мов, але ж блядь.	Я хочу вивчити ще багато мов, але не можу.	uk	1.0	1.0	1	1	1.0
186	Хвала небесам, що мені похуй на укладку	Слава небесам, що в мене погана зачіска	uk	1.0	1.0	1	0	1.0
188	'Я ахуєла і не вихуїлаЯк видалити пам''ять'	Наплутав і не наплутав Як видалити пам'ять	uk	0.5	1.0	1	0	1.0
203	 блядь, жінко, там і тридцятник недалеко.	Ого, жінко, до тридцятих не далеко.	uk	1.0	1.0	1	1	1.0
