Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3026	any of us who did half this shit would be locked the fuck up already .	any of us who did half this would face severe consequences already.	en	1.0	1.0	1	1	1.0
3030	are they liars or just clueless ?	are they uninformed or simply lacking in understanding?	en	1.0	1.0	1	1	1.0
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	as someone from la and an oilfield worker, I still believe this individual's actions are unacceptable and unprofessional.	en	1.0	1.0	1	1	1.0
3042	calm the fuck down , cnn .	Please refrain from being overly agitated, CNN.	en	1.0	1.0	1	1	1.0
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	China and Russia may take decisive action if the ships engage in any reckless behavior, as a means of maintaining regional stability and security.	en	1.0	1.0	1	1	1.0
3047	cretins like this rarely care about facts .	People with limited understanding of facts often show little concern for factual accuracy.	en	1.0	1.0	1	1	1.0
3056	do people actually believe this shit ? ? ?	do people actually find this surprising???	en	1.0	1.0	1	0	1.0
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	I would appreciate it if you didn't alter any of my edits, as I would like to maintain the integrity of our collaboration. If you do make changes, I would prefer to discuss the matter with you in a respectful manner.	en	1.0	1.0	1	0	1.0
3069	even bush knows he fucked up .	even bush acknowledges that he made a mistake.	en	1.0	1.0	1	1	1.0
3080	fuck popeyes for doing this in the first place .	Popeyes is being criticized for their initial actions in this matter.	en	1.0	1.0	1	1	1.0
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	I learned a valuable lesson from struggling with practice tests, ensuring that I won't repeat the same mistake in the future.	en	1.0	1.0	1	1	1.0
3092	getting stronger every month yeah i fucking wish .	getting stronger every month, I wish that were the case.	en	1.0	1.0	1	1	1.0
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	have you ever visited R trees and seen the various opinions about the effects of weed that people share?	en	0.5	1.0	1	1	1.0
3122	holy shit , a cop got fired ? .	It appears that a police officer has been terminated from their position.	en	1.0	1.0	1	1	1.0
3131	how the fuck do you manage that ? .	how do you accomplish that?	en	1.0	1.0	1	1	1.0
3133	how the fuck do you think people afford houses and cars ?	how do people think they can afford houses and cars?	en	1.0	1.0	1	1	1.0
3136	i accidentally read the titling as laser machete and almost shit my pants .	"I accidentally misread the title as ""laser machete"" and almost had a startling reaction."	en	1.0	1.0	1	1	1.0
3140	i did not vandalize anything you dick .	I did not engage in any destructive behavior, and I'm not responsible for any damage that may have occurred.	en	1.0	1.0	1	1	1.0
3146	i dont give a flying fuck about sides ! .	I'm not invested in taking sides on this issue.	en	1.0	1.0	1	1	1.0
3149	i have toilet paper to wipe my ass and no shortage of food .	i have toilet paper to wipe him and no shortage of food.	en	1.0	1.0	1	0	1.0
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	I mean it's awesome that the Pope is all cool like this and impressive, but seriously.	en	1.0	1.0	1	1	1.0
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	I sell a significant amount of products on there, and PayPal has assisted me in paying my bills.	en	1.0	1.0	1	1	0.6666666666666666
3166	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	if he is found to have acted in cold blood, the authorities will take appropriate legal action against him.	en	1.0	1.0	1	1	1.0
3176	it s a big deal because the school didn t give a shit until she was being bullied .	it's a significant issue because the school didn't take action until she was being bullied.	en	1.0	1.0	1	1	1.0
