Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	إقرأ كتاباً أيها المعادي للسامية !	إقرأ كتاباً !	ar	1.0	1.0	1	1	0.8333333333333334
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد	ar	1.0	1.0	1	1	1.0
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	تركت الحساس حتى فعله الفوعة؟؟؟	ar	0.5	1.0	1	0	1.0
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	بلد يسمح للمجوس الإيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	ar	1.0	1.0	1	1	0.6666666666666666
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	قدمت لهم دعم عن طريق الهلال الأحمر الكويتي	ar	1.0	1.0	1	1	1.0
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت احتفلت معهم	ar	1.0	1.0	1	0	1.0
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	ان شاء الله عن قريب لازم بقى ينشد هالفار.	ar	1.0	1.0	1	1	1.0
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	يا لكم من فسدة هذا الملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر	ar	1.0	1.0	1	1	1.0
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما جلادة ارسم شجرة العيلة بزرة	ar	1.0	1.0	1	1	1.0
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا الاسد؟ لماذا دمروا البلد، ما هو المستقبل الذي ينتظرون؟	ar	1.0	1.0	1	0	1.0
1891	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	حقيقة أنناجميعا سندفع ثمن هذا الحزب الليبرالي يجعلني أشعر بالغثيان	ar	1.0	1.0	1	1	1.0
1892	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	كيف فشلت؟ ما كان المطلوب لكي تكون ناجحة؟	ar	1.0	1.0	1	1	1.0
1902	بس نهى للحين ماتغيرت لحجية	بس نهى للحين ماتغيرت لحجية → بس نهى للحين ماتغيرت	ar	1.0	0.5	0	1	0.5
1922	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	صاحب الدراسه سمين ومايبي ينحف دراسه لايلعب عليكم	ar	1.0	1.0	1	1	0.8333333333333334
1931	مو قادرين على دوري كله هبايل خخخخخ	مو قادرين على دوري كله	ar	1.0	1.0	1	1	1.0
1933	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وانتي حكيتيها أخيك مو مثلک	ar	1.0	1.0	1	0	1.0
1936	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بائعًا قانونيًا؟	ar	1.0	1.0	1	1	0.6666666666666666
1940	دوري زبايل زيك كعادتك دايما	دوري كعادتك دайما	ar	1.0	0.5	0	0	1.0
1946	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	يا ويلي ويلاه عالفاضي ونفع أكثر منهم !!! انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس وخليني ساكتة	ar	1.0	1.0	1	0	0.8333333333333334
1949	يلعن امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	قسم بالله الدوري وخلاص	ar	1.0	1.0	1	0	1.0
1954	يلعن ابوك نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد الكلب ؟ كل ماصار شيء	نحن نتمى لكم أنكم بخير ومحد يصير له شيء هذا جزاتنا	ar	1.0	1.0	1	1	1.0
1958	الاتراك موجودين غصبا عن بلحه واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي…	الاتراك موجودين عن بلحتهم واللي معاهم لو فيهم رجل يقدر يطلعهم يورينا ي…	ar	1.0	1.0	1	1	0.8333333333333334
1966	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم يكلاب	ارجع اصاحبي كانوا معي اكتر منكم	ar	1.0	1.0	1	0	1.0
1976	لا شرطي روسي يا ابن الستين كلب	لا شرطيا روسيا	ar	1.0	1.0	1	0	1.0
1983	دي مش مشكله بالنسبة للدفعة عشان كلهم صعايدة	دي مش مشكلة بالنسبة للدفعة عشان كلهم	ar	1.0	1.0	1	1	1.0
1986	ماطلعلكم صوت فوق السرقة كذابين تسئلون وش مشكلتك وبعدها تختفون ماتردون لعنة الله عليكم وعلى من جمعكم شركة نصب	ماطلعلكم صوت فوق السرقة تسئلون وش مشكلتك وبعدها تختفون ماتردون	ar	1.0	1.0	1	1	1.0
1988	خلاص واضحه الحكم ابن الزنوه رجع للفار عشان للهلال وحقت النصر مارجع عيال زنا جابو حكم زيهم ابن زنوه	الحكم رجع للفار عشان للهلال وحقت النصر مارجع	ar	1.0	1.0	1	0	1.0
2003	يمه فجاءه صارو كلهم صعايدة	يمه فجاءه صارو كلهم	ar	1.0	1.0	1	0	0.6666666666666666
2007	يا رجال دوري هبلان ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مصخرة😭😭	يا رجال دوري هبلان ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك	ar	1.0	1.0	1	1	0.8333333333333334
2014	لعنة الله عليكم قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	خسرتو تونس أعوام وغرقتونا في ترهاتكم	ar	1.0	1.0	1	1	1.0
2015	كس أختك على أختو شهيد قال	علي أختك قال شهيد	ar	1.0	1.0	1	1	1.0
2018	أولئك هم الجيل القادم من المشردين البائسين .	أولئك هم الجيل القادم من المشردين.	ar	1.0	1.0	1	1	0.8333333333333334
2022	يا عمي هيدا الزلمي جاهل	يا عمي جاهل	ar	1.0	1.0	1	1	0.5
2031	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر . هكذا هم العملاء وبائعي وطنهم لعنة الله عليكم ياخونة	بالامس تحتفلون بالاستقلال واليوم تستقبلون . هكذا هم العملاء وبائعي وطنهم	ar	1.0	1.0	1	1	1.0
2033	أنا لم أصوت للكذاب	أنا لم أ SAY لشيء	ar	1.0	0.5	0	0	1.0
2036	تدري انك قاعد تتابع المباراة و انا ازغل عليك يا حمار	تدري أنك قاعد تتابع المباراة	ar	1.0	1.0	1	1	1.0
