Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	Якщо трохи пощипати тих злочинців, що шкодять людям в Європі, обов'язково виявиться сутність.	uk	1.0	0	0.6666666666666666	1.0	1
30	Хочеться бухати, читати хуйню і писати хуйню.	Хочеться гуляти, читати цікаві речі і писати свої думки.	uk	1.0	0	1.0	1.0	1
34	То мені психічна травма, блядьЗгадувати не хочу	То мені психічна травма, Згадувати не хочу.	uk	1.0	1	1.0	1.0	1
42	Про перекладацтво і мудацтво | стрнґ	Про перекладання | странг	uk	0.5	0	1.0	1.0	1
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте мені, але Сократ дискутує як некультурна людина.	uk	1.0	1	1.0	1.0	1
47	Боже, бля, наші люди всьо фільтрують божими законами	Вибач, наші люди все фільтрують відповідно до закону.	uk	1.0	0	1.0	1.0	1
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	Ти потім ходи і думай, що відбувається навколо.	uk	0.5	1	1.0	1.0	1
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	'Боже, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	uk	1.0	1	1.0	1.0	1
69	В мене завтра свіданка блять.	В мене завтра свідання.	uk	1.0	1	1.0	1.0	1
80	Довелося 15 хвилин чекати ту курву.	Довелося 15 хвилин чекати ту жінку.	uk	1.0	1	1.0	1.0	1
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що на мене пожалілись моєму стоматологу, що я багато.	uk	1.0	0	1.0	1.0	1
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але, і так весь час дома, а там щось цікаве.	uk	1.0	1	1.0	1.0	1
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Іду відпочивати, куплю собі смачненьке і спокійно відпочину.	uk	0.5	1	1.0	1.0	1
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	коли ти правильно форматуватимеш. на твої твіти переглядати.	uk	1.0	0	1.0	1.0	1
131	І що бля, це більшість жінок почувається — отак??	І що, це більшість жінок почувається — отак?	uk	1.0	1	1.0	1.0	1
133	- ми про щось забулипро дитину, блять#НічІзКевіном	ми про щось забули про дитину	uk	0.0	1	1.0	1.0	1
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Прошу відійти, не втягуйте мене у вашу спілку.	uk	1.0	0	1.0	1.0	1
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	"Alternative 3 - З метою безпеки вивчай фразу ""куди преш?"" на кількох мовах."	uk	1.0	1	1.0	1.0	1
146	і хтось це ябо я не пизджу чуже	і хтось це ябо я не чуже	uk	1.0	0	1.0	1.0	1
149	Хто рано встає - той більше хуйні встигає натвітити.	Хто рано встає - той більше робить.	uk	1.0	1	1.0	1.0	1
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб у мене все було добре, треба просто займатися справами, агресії сприймати не треба.	uk	1.0	0	1.0	1.0	1
