Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3026	any of us who did half this shit would be locked the fuck up already .	any of us who did half of this would already be locked up.	en	1.0	1.0	1	1	1.0
3030	are they liars or just clueless ?	are they dishonest or just unaware?	en	1.0	1.0	1	1	0.8333333333333334
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	As someone from LA and an oilfield worker, I still think this guy is not a good person.	en	1.0	1.0	1	1	1.0
3042	calm the fuck down , cnn .	please calm down, CNN.	en	1.0	1.0	1	1	1.0
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	China and Russia will use strong measures to handle Trump if those ships do anything foolish.	en	1.0	1.0	1	1	0.8333333333333334
3047	cretins like this rarely care about facts .	 individuals like this rarely care about facts.	en	1.0	1.0	1	1	0.8333333333333334
3056	do people actually believe this shit ? ? ?	do people actually believe this?	en	1.0	1.0	1	1	1.0
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	Please do not change any of my edits, or I will be very upset.	en	1.0	1.0	1	1	1.0
3069	even bush knows he fucked up .	even bush knows he made a mistake.	en	1.0	1.0	1	1	1.0
3080	fuck popeyes for doing this in the first place .	I'm upset with Popeyes for doing this in the first place.	en	1.0	1.0	1	1	1.0
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	getting my butt kicked by GRE practice tests made sure that I never make this same mistake again.	en	1.0	1.0	1	1	0.6666666666666666
3092	getting stronger every month yeah i fucking wish .	getting stronger every month, I wish.	en	1.0	1.0	1	1	1.0
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	have you ever been to r trees and seen all the things people claim weed can do?	en	0.5	0.5	1	1	1.0
3122	holy shit , a cop got fired ? .	wow, a cop got fired?	en	1.0	1.0	1	1	1.0
3131	how the fuck do you manage that ? .	how do you manage that?	en	1.0	1.0	1	1	1.0
3133	how the fuck do you think people afford houses and cars ?	how do you think people afford houses and cars?	en	1.0	1.0	1	1	1.0
3136	i accidentally read the titling as laser machete and almost shit my pants .	I accidentally read the title as laser machete and was really surprised.	en	1.0	1.0	1	1	1.0
3140	i did not vandalize anything you dick .	I did not vandalize anything, you jerk.	en	1.0	1.0	1	1	0.8333333333333334
3146	i dont give a flying fuck about sides ! .	I don't care about sides!	en	1.0	1.0	1	1	1.0
3149	i have toilet paper to wipe my ass and no shortage of food .	I have toilet paper to wipe myself and no shortage of food.	en	1.0	1.0	1	1	1.0
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	I mean, it's great that the pope is so cool and all, but seriously.	en	1.0	1.0	1	1	1.0
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	I sell quite a bit of items on there, and PayPal has actually helped me pay the bills.	en	1.0	1.0	1	1	0.8333333333333334
3166	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	if he's found to have acted in cold blood, the authorities are going to prosecute him heavily.	en	1.0	1.0	1	1	1.0
3176	it s a big deal because the school didn t give a shit until she was being bullied .	it's a big deal because the school didn't care until she was being bullied.	en	1.0	1.0	1	1	1.0
3183	judging by the shit i ve seen in my number years , number of those spent with george w .	judging by the things I've seen in my years, some of which were spent with George W.	en	1.0	1.0	1	1	1.0
3186	last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up	last warning you annoying person, it takes minutes to fix a page so people like you don't mess up Wikipedia.	en	1.0	1.0	1	1	1.0
3188	liar , liar pants on fire justin .	liar, liar pants on fire justin.	en	1.0	1.0	1	1	0.5
3203	my thoughts are that our new guy might be an even bigger dirt bag .	I think our new guy might be an even bigger dirt bag.	en	1.0	1.0	1	1	0.6666666666666666
3207	no fucking way number bricks fits in a car , this is bs .	There's no way that number bricks fit in a car, this is not true.	en	1.0	1.0	1	1	1.0
3214	noones asking you to invade shit .	No one is asking you to invade anything.	en	0.5	1.0	1	1	1.0
3215	not fucking around in foreign matters that we cannot do anything about .	not messing around in foreign matters that we cannot do anything about.	en	1.0	1.0	1	1	1.0
3218	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady as fuck .	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look suspicious.	en	1.0	1.0	1	1	1.0
3222	number will solve alot of fucking problems if it comes down to it .	number will solve a lot of problems if it comes down to it.	en	0.5	1.0	1	1	1.0
3231	org there s wikipedia articles for all sorts of random shit like this .	org there are Wikipedia articles for all sorts of random topics like this.	en	1.0	0.5	0	1	1.0
3233	ouch man , them swedes were dicks to norway =\	ouch man, those Swedes were mean to Norway =\	en	0.5	0.5	1	1	1.0
3236	people are idiots for wasting emergency call time on crap like this .	people are not using emergency call time wisely on things like this.	en	1.0	1.0	1	1	1.0
3246	quite a few saints are canonized because they opposed some idiot hierarch , even unto being killed , like st .	quite a few saints are canonized because they opposed some foolish leader, even to the point of being killed, like St.	en	1.0	1.0	1	1	0.5
3247	read your own fucking link .	read your own link.	en	1.0	1.0	1	1	1.0
3249	same crap going on in the pnw too .	same thing happening in the Pacific Northwest too.	en	0.5	1.0	1	1	1.0
3253	shit , i d love an number pm sunset .	Wow, I would love a sunset at that time.	en	0.5	1.0	1	1	1.0
3264	some poor guy robs a liquor store for $400 and goes to prison to get raped in the ass .	some unfortunate individual robs a liquor store for $400 and ends up in prison facing serious consequences.	en	1.0	1.0	1	1	1.0
3265	someone says no , and they say fuck off we need vets only for free housing ? .	someone says no, and they say we only need veterans for free housing?	en	1.0	1.0	1	1	1.0
3269	still standing up for your lying crazy leader who loves himself and nobody else .	still supporting your leader who is dishonest and self-centered.	en	1.0	1.0	1	1	1.0
3272	sucked like nothings ever sucked before .	was really bad, worse than anything before.	en	1.0	1.0	1	1	1.0
3275	taking a stand with either party is equally retarded .	Taking a stand with either party is equally foolish.	en	1.0	1.0	1	1	0.16666666666666666
3278	that almost never happens excepts rarely in shit hole countries .	that almost never happens except rarely in less developed countries.	en	1.0	1.0	1	1	1.0
3306	their shit is cheap but its of such awful quality that you re better off getting the more expensive item .	their products are affordable, but the quality is so poor that it's better to invest in a more expensive option.	en	1.0	1.0	1	1	1.0
3311	they need stop tratening people like morons .	they need to stop treating people like morons.	en	1.0	1.0	1	0	0.5
3313	they re both fucked up .	they're both messed up.	en	1.0	1.0	1	1	1.0
3317	this guy is a total sellout with no brains for business and lacks the ability of forward thinking .	This guy lacks business acumen and forward thinking, making him a total sellout.	en	1.0	1.0	1	1	1.0
3319	this is a joke , are you all fucking retards ? .	this is a joke, are you all acting silly?	en	1.0	1.0	1	1	1.0
3323	this is some twilight zone shit	this is some twilight zone stuff	en	1.0	1.0	1	1	1.0
3332	this shit is overwhelming to think about .	this situation is overwhelming to think about.	en	1.0	1.0	1	1	1.0
3348	what an arse hole you are !	what a jerk you are!	en	1.0	1.0	1	1	0.3333333333333333
3363	whats the title of this report , no shit ? .	What is the title of this report, seriously?	en	1.0	1.0	1	1	1.0
3372	why the fuck does everyone hate syria so much ? .	why does everyone hate Syria so much?	en	1.0	1.0	1	1	1.0
3373	why the fuck haven 't they condemned north korea ?	why haven't they condemned North Korea?	en	1.0	1.0	1	1	1.0
3377	yeah , comparitively fuck all because they have loads of offshore hidden bank accounts and smart accountants ? .	yeah, comparatively very little because they have many offshore hidden bank accounts and smart accountants?	en	1.0	1.0	1	0	1.0
3379	yeah they don t give a fuck .	yeah, they don't care.	en	1.0	1.0	1	1	1.0
3380	yeh well ban me fukkers fuck you morons	Yes, well ban me, you idiots.	en	0.5	1.0	1	1	1.0
3385	you have got to be insane .	you must be crazy.	en	1.0	1.0	1	1	1.0
3399	Goths listen to Gothic rock, not to baby pop. If you want you can find sources for every shit.	Goths listen to Gothic rock, not to pop music for children. If you want, you can find sources for everything.	en	1.0	1.0	1	1	1.0
3400	I hate free speech it is shit.	I dislike free speech, it is not good.	en	1.0	1.0	1	1	1.0
3406	Minority Breeder Breeder is a significant person and you went and deleted the page started for him, nice job dipshit.	Minority Breeder is an important figure and you deleted the page that was created for him, well done.	en	1.0	1.0	1	1	1.0
3408	This bot is seriously driving us crazy This image exists, I must kill it!	This bot is really frustrating us. This image is out there, I need to delete it!	en	1.0	1.0	1	1	1.0
3411	Have you been fucking living under a rock?	Have you been living under a rock?	en	1.0	1.0	1	1	1.0
3414	I will do Whatever i want and it is my right, what is both of yous Problem Asshole.	I will do whatever I want and it is my right, what is both of your problem, asshole.	en	1.0	1.0	1	1	0.5
3419	How the hell are you going to block me from editting?	How are you going to block me from editing?	en	1.0	1.0	1	1	1.0
3420	WTF How The Fuck Does This Person Merit A Page On Wikipedia.	How does this person merit a page on Wikipedia?	en	1.0	1.0	1	1	1.0
3428	I'm retired, fuckers, leave me alone.	I'm retired, please leave me alone.	en	1.0	1.0	1	1	1.0
3435	This profile has protected Bermender since day fukkin ONE.	This profile has protected Bermender since day one.	en	0.5	1.0	1	1	1.0
3449	Please carry on, so everyone can see what an ignorant arse you are.	Please continue, so everyone can see your ignorance.	en	1.0	1.0	1	1	1.0
3450	I drive a Subaru Legacy and I'm a conservative But I still think you're an idiot.	I drive a Subaru Legacy and I'm a conservative, but I still think you're foolish.	en	1.0	1.0	1	1	1.0
3455	Dear Greenman, As usual you have proven to be an arse hole	Dear Greenman, As usual you have proven to be difficult.	en	1.0	1.0	1	1	1.0
3457	You're not an admin, so shut the fuck up faggot.	You're not an admin, so please stop talking.	en	1.0	1.0	1	1	1.0
