Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	'Якщо трішки поскребти тіх смертників, що підри	uk	1.0	1.0	1	0	0.3333333333333333
30	Хочеться бухати, читати хуйню і писати хуйню.	Хочеться бухати, читати погане і писати погане.	uk	1.0	1.0	1	1	1.0
34	То мені психічна травма, блядьЗгадувати не хочу	То мені психічна травма, Згадувати не хочу	uk	1.0	1.0	1	1	1.0
42	Про перекладацтво і мудацтво | стрнґ	Про перекладацтво і погане | стрнґ	uk	0.5	0.5	1	1	1.0
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте мені таке нахабство, але Сократ дискутує як му	uk	1.0	1.0	1	0	1.0
47	Боже, бля, наші люди всьо фільтрують божими законами	Боже, наші люди всьо фільтрують божими законами	uk	1.0	1.0	1	1	1.0
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А ти потім ходи і думай, що за жахливо відюувається	uk	0.5	0.5	1	1	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	'Боже, чому просто не можна зобов''язати вчити англ	uk	1.0	1.0	1	0	1.0
69	В мене завтра свіданка блять.	В мене завтра свіданка.	uk	1.0	1.0	1	1	1.0
80	Довелося 15 хвилин чекати ту курву.	Довелося 15 хвилин чекати ту штуку.	uk	1.0	1.0	1	1	1.0
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що на мене пожалілись моєму стоматологу, що 	uk	1.0	1.0	1	0	1.0
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але і так весь час дома, а там що	uk	1.0	1.0	1	0	1.0
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Йду відпочину, куплю собі вкуснях і буду єблувати	uk	0.5	1.0	1	1	0.6666666666666666
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	ско, коли ти нормально коми ставити будеш. на твої твіти див	uk	1.0	0.5	0	0	1.0
131	І що бля, це більшість жінок почувається — отак??	І що це більшість жінок почувається — отак??	uk	1.0	1.0	1	1	1.0
133	- ми про щось забулипро дитину, блять#НічІзКевіном	- ми про щось забулипро дитину, блін#НічІз	uk	0.5	0.5	1	0	1.0
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Ідіть, не затягнете мене в свою цукрову секту.	uk	1.0	1.0	1	1	1.0
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	"Про всяк випадок вивчи фразу ""куда преш?"" кількома мовами"	uk	1.0	1.0	1	1	0.6666666666666666
146	і хтось це ябо я не пизджу чуже	і хтось це ябо я не пизджу чуже	uk	1.0	1.0	1	1	0.5
149	Хто рано встає - той більше хуйні встигає натвітити.	Хто рано встає - той більше дурниці встигає нат	uk	1.0	1.0	1	0	1.0
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб у мене все було добре, тре лиш секс і шоб мудобл	uk	1.0	0.5	0	0	0.8333333333333334
158	 можеш послати мене нахуй, якшо хочеш.	можеш послати мене кудись, якшо хочеш.	uk	1.0	1.0	1	1	1.0
166	 в мене на минулому тижні було замовлення, одразу нахуй послав.	в мене на минулому тижні було замовлення, одразу відправив	uk	1.0	1.0	1	0	1.0
176	Поки я спала та мочила жопу в морі, ви пиздякали про айфон.	Поки я спала та мочила жопу в морі, ви говорили	uk	1.0	1.0	1	0	0.8333333333333334
183	Я хочу вивчити ще багато мов, але ж блядь.	Я хочу вивчити ще багато мов, але ж	uk	1.0	1.0	1	1	1.0
186	Хвала небесам, що мені похуй на укладку	Хвала небесам, що мені байдуже на укладку	uk	1.0	1.0	1	1	1.0
188	'Я ахуєла і не вихуїлаЯк видалити пам''ять'	Я ахуєла і не вихуїлаЯк видалити пам''ять'	uk	0.5	0.5	1	1	0.5
203	 блядь, жінко, там і тридцятник недалеко.	жінко, там і тридцятник недалеко.	uk	1.0	1.0	1	1	1.0
207	Тому унилоє гавно залишається в КП, а я відправляюсь в путь.	Тому залишається в КП, а я відправляюсь в путь.	uk	1.0	1.0	1	0	1.0
214	Бісять гуманітарії, бісять технарі, усі бісять блять, ідіть нахуй	Бісять гуманітарії, бісять технарі, усі біс	uk	1.0	1.0	1	0	1.0
215	Холодно стало, дєвок нє сталоПтічкі гавно перєсталі клєватьНе комфортно курити на балконі блять	Холодно стало, дєвок нє сталоПтічкі перестали кл	uk	1.0	0.5	0	0	1.0
218	Боже як скучно, нормальна людина вже пішла б спать, НО НЄТ, Віка ж спала півдня і тепер хуй засне	Боже як скучно, нормальна людина вже пішла б спать,	uk	1.0	1.0	1	0	1.0
222	І рибку, і на хуй, та?	І рибку, і куди, та?	uk	1.0	1.0	1	0	1.0
231	Я знаю, дякуюЩе мудака забула...ну і послати мене нахуй	Я знаю, дякуюЩе мудака забула...ну і посла	uk	1.0	1.0	1	0	0.8333333333333334
233	От вам моя експертна думка: ніхуя англійці не розуміють в революціях!	От вам моя експертна думка: нічого англійці не розуміють	uk	1.0	1.0	1	0	1.0
236	"почуте днями біля екс-тудора: ""бог триєдиний, блядь"""	"почуте днями біля екс-тубі: ""бог триєдиний, "	uk	1.0	1.0	1	0	1.0
246	пиздуйте в вк ті дєла обговорювати	<extra_id_0> ідіть в вк ті дєла обговорювати	uk	1.0	1.0	1	1	1.0
247	Що це твоя, блять, хата, а отже ти можеш хоч і бомжа привести.	Що це твоя хата, а отже ти можеш хоч і	uk	1.0	1.0	1	0	1.0
249	На скільки справ ще не покладено хуй!	На скільки справ ще не покладено нічого	uk	1.0	1.0	1	1	1.0
253	блять як сенс життя с:	як сенс життя с:	uk	1.0	1.0	1	1	1.0
264	 предмет не важливий, тож похуй.	предмет не важливий, тож байдуже.	uk	1.0	1.0	1	1	1.0
265	Потягів без орущих піздюків не існує.	Потягів без орущих людей не існує.	uk	1.0	1.0	1	1	1.0
269	Блять, ви такі кумедні що пізда.	Блін, ви такі кумедні що пізда.	uk	1.0	1.0	1	1	0.5
272	Замовила, відправили....сукаааа чого ж в найкращих забирають життя...	Замовила, відправили.... чого ж в найкращих забирають житт	uk	1.0	1.0	1	1	1.0
275	Ні, не розумієте(Відсилка до хуйової реклами)	Ні, не розумієте(Відсилка до поганої реклами)	uk	1.0	1.0	1	1	1.0
278	пиздуй спати, бо подзвоню в 5 і ніхуя ти ващж не виспишся	йди спати, бо подзвоню в 5 і нічого ти ващ	uk	0.5	0.5	1	0	1.0
306	На хуй зранку краще заходить	зранку краще заходить	uk	1.0	1.0	1	1	1.0
311	"Ната, ти пізда""Або просто бесіда з Натою і Владом."	"Ната, ти погана""Або просто бесіда з Натою і Влад"	uk	1.0	0.5	0	1	1.0
313	мене і так ніхто не трахне.	Мене і так ніхто не трахне.	uk	1.0	1.0	1	1	0.5
317	Може кинути все нахуй і вступити на театральний?	Може кинути все і вступити на театральний?	uk	1.0	1.0	1	1	1.0
319	Не зря, ой сука не зря зробив шенген на 5 років	Не зря зробив шенген на 5 років	uk	1.0	1.0	1	1	1.0
323	так, блять, де вічний двигун	так так, блін, де вічний двигун	uk	1.0	1.0	1	1	1.0
332	"експертний висновок роботи Фоменка від : ""Міг би тоді і Бойка випустити. мудак"" #UKRPOL"	"висновок роботи Фоменка від : ""Міг би тоді і"	uk	1.0	1.0	1	0	1.0
348	Не думала, що боляче намагатись бути поряд коли людині похуй,або ж кохати її 	Не думала, що боляче намагатись бути поряд коли людині байдуже,	uk	1.0	1.0	1	0	1.0
363	ох, тримайся. в мене теж зараз період пиздеця, хай стане краще.	ох, тримайся. в мене теж зараз період пиздеця,	uk	1.0	1.0	1	0	0.5
372	Усе хуйня, а красива білизна - то святе.	Усе нісенітниця, а красива білизна - то свят	uk	1.0	1.0	1	1	1.0
373	'жопа. навіть я колись це ім''я вживав) але я не дописав ту річ)'	навіть я колись це ім''я вживав) але я не доп	uk	1.0	1.0	1	0	1.0
377	Я і не квжу, що йому похуй, чи зющо він неякісно зробив роботу.	Я і не квжу, що йому байдуже, чи зющо він	uk	0.5	0.5	1	0	1.0
379	Усвідомити всю їбанутість власних вчинків.	Усвідомити всю безглуздість власних вчинків.	uk	1.0	1.0	1	1	1.0
380	"Дайте мені мужика, котрий не доводитиме мене до сліз, і я скажу ""Що це за хуйня?"	Дайте мені мужика, котрий не доведе мене до сліз, і	uk	1.0	1.0	1	0	1.0
385	та блять ноги витирають, а я терпіти маю	ноги витирають, а я терпіти маю	uk	1.0	1.0	1	1	1.0
399	Просто зберігаю картинки і хуярю :D	Просто зберігаю картинки і нічого не роблю :D	uk	1.0	1.0	1	0	1.0
400	похуй. я офіційно на 4 курсі і в мене є стипендія. все решта - похуй	я офіційно на 4 курсі і в мене є стипендія. все	uk	1.0	1.0	1	0	1.0
406	чомусь є купа адекватних людей, які після дємбєля не бухають в формі і не розказуютб як трахали когось під Луганськом	чомусь є купа адекватних людей, які після дємб	uk	1.0	1.0	1	0	1.0
408	 я теж, але бля, той, кого хочу, або в іншій країні, або не хоче мене.	Той, кого хочу, або в іншій країні, або не 	uk	1.0	1.0	1	0	1.0
411	ну бо воно годне було хоть і хуйня	Ну бо воно годне було хоть і погано	uk	1.0	1.0	1	1	1.0
414	не лижіть один одному тут сраки	не лижіть один одному тут плохо	uk	1.0	1.0	1	0	1.0
419	А шукати програмістів в твітері, це як шукати шлюх в супермаркеті.	А шукати програмістів в твітері, це як шукати шлюх в 	uk	1.0	1.0	1	0	0.5
420	В мене так мало грьобаних друзів у цьому сраному житті, реально, як пальців на одній руці.	В мене так мало друзів у цьому житті, реально, як пальців	uk	1.0	1.0	1	0	1.0
428	Зранку як прокинусь вже ж буде готове?	Зранку як прокинусь вже ж буде готове?	uk	1.0	1.0	1	1	0.5
435	"Я бачу,  фавить усе, де фігурують слова ""хуй"", ""мудак"" і ""підор""."	"Я бачу, мені все одно, що фігурують слова ""негідник"""	uk	1.0	1.0	1	0	1.0
449	Самі дрочите , то явно не злизуєте потім, а як дівчина, то всьооооо, ти мене не любиш.	Самі дрочите, то явно не злизуєте потім, а як	uk	1.0	1.0	1	0	0.5
450	бля( ні, ну як так можна!	ні, ну як так можна!	uk	1.0	1.0	1	1	1.0
455	Може це для різноманітності перестати поводитися як мудак і ображати людей?	Може це для різноманітності перестати поводитися погано і обража	uk	1.0	1.0	1	0	1.0
457	Досі так незручно, це просто пиздець, вчасно я в Карму прийшов канєшн	Досі так незручно, це просто пиздець, вчасно я в	uk	0.5	1.0	1	0	0.6666666666666666
460	та я нарешті ту шарагу блядську закінчу і від липня я вся твоя)	та я нарешті ту шарагу закінчу і від липня я 	uk	1.0	1.0	1	0	0.8333333333333334
461	ну 7 +-, поки ще дойшовтака хуйня	Ну 7 +-, поки ще дойшовтака штука	uk	0.5	0.5	1	1	1.0
475	а в Львові, то ж блять вважай БігТвіттор із вочінг ю)))	а в Львові, то ж вважай БігТвіттор із в	uk	1.0	1.0	1	0	1.0
479	от шо значіть стараться, коли дєлаєш хуйню.	от шо значіть стараться, коли дєлаєш дурість.	uk	1.0	1.0	1	1	1.0
485	Твою на ліво, я так кожного сранку прокидаюся і без жахіть.	Твою на ліво, я так кожного сранку прокидаюся 	uk	1.0	1.0	1	0	0.5
491	Уявляю, у якому пиздеці ми б жили, якби у нас корупції не було.	Уявляю, у якому жахі ми б жили, якби у нас	uk	1.0	1.0	1	0	1.0
500	надвігающійся, як жопа, дедлайн, знаєтє-лі, стимулює...	<extra_id_0>, дедлайн, знаєтє-лі, стимулює...	uk	1.0	0.5	0	1	1.0
502	Блять, да заїбали обертатись на мене в маршрутці.	Блін, да заїбали обертатись на мене в маршрутці.	uk	1.0	1.0	1	1	0.5
506	Ну привіт вечір, зараз я тебе бездарно проїбу.	Ну привіт вечір, зараз я тебе бездарно проїбу.	uk	1.0	1.0	1	1	0.5
507	Я: АХАХАХАХАХАХАХАХ * і ще довго істерично ржу, ібо дофіга всякого*	Я: АХАХАХАХАХАХАХАХАХ * і ще довго 	uk	1.0	1.0	1	0	0.6666666666666666
508	Читаєш, і ніби це ти сдихаєш від незрозумілої хуйні, а не головний герой.	Читаєш, і ніби це ти сдихаєш від незрозумілої 	uk	1.0	1.0	1	0	1.0
518	Напевно, потрібно починати забивати хуй на нихЩо я, власне, і буду намагатись робити	Напевно, потрібно починати бити їх, що я, власн	uk	1.0	1.0	1	0	1.0
521	В смислі блять не хоче?	В смислі не хоче?	uk	1.0	1.0	1	1	1.0
535	Зараз згадую та відчуваю неабиякий сором: співаю-то я хуйово.	Зараз згадую та відчуваю неабиякий сором: співаю-то	uk	1.0	1.0	1	0	1.0
536	Знову купила нові - а вони теж хуйня.	Знову купила нові - а вони теж погані.	uk	1.0	1.0	1	1	1.0
557	вуахаха іба нєхуй мене кусати скотина!	вуахаха іба нєху мене кусати!	uk	1.0	1.0	1	1	0.8333333333333334
564	Слухайте музику в навушниках, А НЕ ЧЕРЕЗ ДИНАМІК БЛЯТЬ!	Слушайте музыку в навушниках, А НЕ ЧЕРЕЗ ДИНАМІК	uk	1.0	1.0	1	1	1.0
565	Бля,такк ти поводишся так же як ті курви,що зайшли до кімнати Джанк...	Блін,такк ти поводишся так же як ті курви,що зайшли	uk	0.5	0.5	1	1	0.3333333333333333
574	Ссала на їбало того, хто думав, що комусь цікаво, що там лайкають інші.	Ссала на їбало того, хто думав, що комусь цікав	uk	1.0	1.0	1	0	0.5
578	Україна таки трошк крутить педалі (доки нє накідалі гг) але до цивілізованого світу ще срать і срать.	Україна таки трошк крутить педалі (доки нє накідалі	uk	0.5	0.5	1	0	1.0
588	Я увесь вечір стібав накшталт: дали субсидію? малаццьі. хуйня ето, главноє, щто Порох в офшори вьівєл тобі тьіщщі доляров.	Я увесь вечір стібав накшталт: дали субсидію?	uk	0.5	1.0	1	0	1.0
589	какова хуя?! нічо што я тут?	нічо що я тут?	uk	1.0	1.0	1	1	1.0
591	Як би так смішно шуткануть, щоб усі зрозуміли як мені хуйово цього грьобаного ранку?	Як би так смішно шуткануть, щоб усі зрозуміли як 	uk	1.0	1.0	1	0	1.0
594	 блять, ти тупо мої думки читаєш :)	блін, ти тупо мої думки читаєш :)	uk	1.0	1.0	1	1	1.0
599	Як людина, в якої від спеки піт скоро почне крапати з очей, прошу грози, просто блять дощу з блискавками.	Як людина, в якої від спеки піт скоро почне крапати з оч	uk	1.0	1.0	1	0	1.0
