Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4226	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	መሰላቸት ሰው ነው ፡፡ አንተ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አንተ ብቻ ስለሆንክ ቢያንስ አንድ ነገር	am	1.0	1.0	1	1	0.8333333333333334
4230	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	am	1.0	1.0	1	1	0.3333333333333333
4234	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	አንተ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	am	1.0	1.0	1	1	1.0
4242	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : የዘረኛ ህዝብ ጠል ስለሆንክ	am	1.0	1.0	1	1	0.5
4244	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	ምንም አታጋባ ነገር የለም። እንደዚህ አይነት ነገር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የድሮውን ስርዓት ናፋቂዎች ናቸው 	am	1.0	1.0	1	1	0.5
4247	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	እውነት ነው ዱሮም ባቱ ስንማር ትልቅ የበታችነት ስሜት ነበረው።	am	1.0	1.0	1	1	1.0
4256	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃ	am	1.0	0.5	0	1	1.0
4262	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	ዝምብለህ ተግበር ነገ ግን ዋጋዉ እንዳይከብድህ	am	1.0	1.0	1	1	1.0
4269	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	am	1.0	1.0	1	1	0.5
4280	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	ያው ያሳደገህ ጥሩ ያልሆነ ሰው ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ?	am	0.5	1.0	1	1	1.0
