Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	Может, он их еще передаст в спецслужбы??	ru	1.0	1	1	1	1.0
3630	от одной ебанашки избавились:d :d	от одной непотребности избавились:d :d	ru	1.0	1	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	Ага, прямо таки наблюдатели это всё пропустили... как неправильно поправки не по факту	ru	1.0	1	1	0	1.0
3642	пидорасы родители ,за счет детей падля пьют	Родители, которые пьют за счет своих детей	ru	1.0	1	1	1	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	Кто ты такой, что говоришь такое! Итак, врачей не хватает, человек с негативной энергией	ru	1.0	1	1	1	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, травит, давит на больное и делает это со вкусом. У некоторых нехило подгорает, все спланировано, люди.	ru	1.0	1	1	1	0.8333333333333334
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребенок, родители неадекватны, как же ему дальше жить с такими?	ru	1.0	1	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	посмотрите независимое расследование Васильевой, а потом любую информацию пишите.	ru	1.0	1	1	1	1.0
3669	вот кому руки то отрубить то надо	Вот кому наказать, это необходимо	ru	1.0	1	1	0	1.0
3680	это он, а не она , провокатор кастрюлеголовый	Это он, а не она, провокатор с характером	ru	1.0	1	1	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	Отойди, прилипчивый человек. Вернись к своей жене и подожди.	ru	1.0	1	1	1	1.0
3692	сколько же ебанутых в россии в месте с тобой	Сколько же ненормальных людей в России на твоем месте	ru	0.5	1	1	1	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	Если некоторое время деньги не вносятся, будут проблемы.	ru	0.5	1	1	1	1.0
3722	долбоеба кусок, слов нет одни эмоции.	Человек, которого не описывают словами, потому что нет эмоций.	ru	1.0	1	1	0	1.0
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	Впереди шла маленькая девочка, они вместе вошли в подъезд, а затем за ним зашел этот человек.	ru	1.0	1	1	1	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	Зачем этот человек? Понятия не имею, кажется бесполезно.	ru	1.0	1	1	1	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Теперь перестали возить Живчика, это мое любимое, вместе с эхинацеей и Билей.	ru	0.5	1	1	1	1.0
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	Чужак адвокат трактует это по своему. Отобрать лицензию у этого человека навсегда.	ru	1.0	1	1	1	1.0
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	Лукас, сколько еще будете манипулировать ситуацией? Никто уже не верит вашим словам, достаточно.	ru	1.0	1	1	1	1.0
3749	дай бог, если очередному дебилу это будет уроком-не срать соседу.	Если бы это был урок для следующего человека - не мешать соседу.	ru	1.0	1	1	1	1.0
3754	нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска	Какая глупая женщина. Пусть благодарит Бога, что она не смогла показать свою тупость.	ru	0.5	1	1	0	1.0
3758	потому что жизнь долбоёбов ничему не учит	Потому что жизнь неучит людей.	ru	1.0	1	1	1	1.0
