Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	धर्म है तो धंधा है! मेरा मतलब धर्म है तो सत्ता है!!	hi	1	1.0	1	1	1.0
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	वो कौन थे जो कह रहे थे कि वह डरा हु	hi	1	0.5	0	1	1.0
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	सुधार जाओ नहीं तो जलजला आएगा ठीक है	hi	1	1.0	1	1	0.6666666666666666
642	भौसडीके शायरी ग़लत हो गयी  	शायरी ग़लत हो गयी |	hi	1	1.0	1	1	1.0
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	तुझे इमाम बोलने में शर्म आती है	hi	1	1.0	1	1	1.0
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	कांग्रेसियों मे आज भी टंच माल के सेवन की परम्परा है.	hi	1	1.0	1	1	0.6666666666666666
656	ओर ये साली सुअर सरकार सो रही है	ओर ये सरकार सो रही है	hi	1	1.0	1	1	1.0
662	सबसे ज्यादा कमीना तू है	तू सबसे ज्यादा बुरा आदमी है	hi	1	1.0	1	1	1.0
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत कर	hi	1	1.0	1	1	0.6666666666666666
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	ईस बुरी औरत ने रात भर नाचकर बोला कि मै	hi	1	1.0	1	0	1.0
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	उस महान आदमी को आज भी ढुंढ रही है...	hi	1	1.0	1	0	1.0
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	ये सरकारें नेता सब बेकार ह, ये सरकारें नेता सब बेकार ह	hi	1	1.0	1	0	1.0
702	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	यहाँ क्या तमाशा कर रहे हो?	hi	1	1.0	1	0	1.0
722	अरे ओ महबूबा रंडी की रानी तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा	hi	1	1.0	1	0	1.0
731	अपना नाम रंडी रख ले ज़्यादा अच्छा लगेगा.	अपना नाम रंडी रख ले ज़्यादा अच्छा लगेगा.	hi	1	1.0	1	1	0.16666666666666666
733	भड़वों ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नोकरी छीन ली	उसकी नौकरी छीन ली |	hi	1	1.0	1	0	1.0
736	लेकिन यह भी साफ है रंडी कि धोनी कोहली से बेहतर है 	यह भी साफ है धोनी कोहली से बेहतर है लेकिन	hi	1	1.0	1	1	1.0
740	धमकी किसे दे रहा है बे. सूअर की औलाद.	धमकी किसे दे रहा है बे.	hi	1	1.0	1	1	1.0
746	इन भोसडी वालों को कोई बताओ कितने अकाउंट हैं	इन बेकार लोगों को कोई बताओ कितने अकाउंट हैं	hi	1	1.0	1	1	1.0
749	कमीने, दुश्मन से गले मिल गये?	दुश्मन से गले मिल गये?	hi	1	1.0	1	1	1.0
754	धोनी के लास्ट बाल पे सिक्स मारते ही  भोसडीके पागलों की तरह चिल्ला रहे थे || देखो सालों भेनचोद को	धोनी के लास्ट बाल पे सिक्स मारते ही पागलों की तर	hi	1	1.0	1	1	1.0
758	भोसडीके ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा	ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो	hi	1	1.0	1	0	1.0
766	भोसडीके थोड़ा सा तो शर्म कर	थोड़ा सा तो शर्म कर	hi	1	1.0	1	1	1.0
776	अबे कटे लंड के औलाद, रंडी  सुन, अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्पणी करो।	अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्प	hi	1	1.0	1	1	1.0
783	भैनचोद आत्महत्या की तैयारी कर रहा है ?	आत्महत्या की तैयारी कर रहा है?	hi	1	1.0	1	1	1.0
786	भेनचोद झोपड़ियाँ वालो को IPhone और विमान की टिकट कौन देता है |	झोपड़ियाँ वालो को IPhone और विमान की टिकट कौन	hi	1	1.0	1	1	1.0
788	भोसड़ीके अपनी टीम को खेलना नही आता और हमे गुरु ज्ञान दे रहा है।	अपनी टीम को खेलना नही आता और हमे गुरु ज्ञान दे 	hi	1	1.0	1	1	1.0
803	दलाल मीडिया पालतू कुत्तो की तरह भोंकना स्टार्ट कर देती है?	मीडिया क्यों अपने ही लोगों को भोंकना स्टार्ट कर दे	hi	1	1.0	1	0	1.0
807	भडवे सूअर कभी तो गलत का विरोध करा करो 	कभी तो गलत का विरोध करा करो	hi	1	1.0	1	1	0.8333333333333334
814	मोदी क्या तेरा फूफा है भेनचोद ?	मोदी क्या तेरा फूफा है?	hi	1	1.0	1	1	1.0
815	गुजरात के ग़द्दार निष्काशित क़ातिल IPS संजीव भट्ट को उम्र केद...!!	गुजरात के ग़द्दार निष्काशित क़ातिल IPS संजीव भ	hi	1	1.0	1	1	0.6666666666666666
818	अपनी ट्रेनों को भी कभी चेक कर लिया करो ।।ट्रेनों के ऊपर सुअर के लिये गाली लिखते है |	अपनी ट्रेनों को भी कभी चेक कर लिया करो ।।ट्रे	hi	1	1.0	1	1	0.8333333333333334
