Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	может, он их еще в сбу передаст??	ru	1.0	1.0	1	1	1.0
3630	от одной ебанашки избавились:d :d	от одной ерундучки избавились:d :d	ru	1.0	1.0	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	ага,прямо таки наблюдатели это всё пропустили...эк как им поправки	ru	1.0	1.0	1	0	1.0
3642	пидорасы родители ,за счет детей падля пьют	родители,за счет детей падля пьют	ru	1.0	0.5	0	0	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	и так врачей не хватает	ru	1.0	1.0	1	0	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, тралит, давит на больное	ru	1.0	1.0	1	1	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребёнок, родители плохие, как же ему с такими	ru	1.0	1.0	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	посмотрите независимое расследование васильевой, а потом всякую чу	ru	1.0	0.5	0	0	1.0
3669	вот кому руки то отрубить то надо	вот кому руки то отрубить то надо	ru	1.0	1.0	1	1	0.5
3680	это он, а не она , провокатор кастрюлеголовый	Это он, а не она, провокатор	ru	1.0	1.0	1	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	иди к своей жене, и жди.	ru	1.0	1.0	1	0	1.0
3692	сколько же ебанутых в россии в месте с тобой	Сколько же неадекватных людей в россии в месте с тобой?	ru	0.5	1.0	1	1	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	если некоторое время деньги не вносищь_ обманывают	ru	0.5	0.5	1	0	1.0
3722	долбоеба кусок, слов нет одни эмоции.	Мне очень не понятно, что за человек, слов нет одни эмоции.	ru	1.0	1.0	1	0	1.0
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	впереди шла тоже девочка ребенок они вместе вошли в под	ru	1.0	1.0	1	0	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	на что этот человек нужен??? ничего не может быть полезным!!!	ru	1.0	1.0	1	1	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Еще и Живчик возить перестали, с эхинацеей, и	ru	0.5	1.0	1	0	1.0
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	адвокат трактует его по своему.лишить лицензии навсегда.	ru	1.0	1.0	1	1	1.0
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	Сколько будешь изворачиваться будешь никто уже не верит твоей	ru	1.0	1.0	1	0	1.0
3749	дай бог, если очередному дебилу это будет уроком-не срать соседу.	Дай бог, если очередному человеку это будет уроком-	ru	1.0	1.0	1	0	1.0
3754	нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска	хватит выебываца.пусть благодарит бога что ноги низ	ru	0.5	1.0	1	0	0.8333333333333334
3758	потому что жизнь долбоёбов ничему не учит	ничему не учит, потому что жизнь глупцов ничему не учит,	ru	1.0	1.0	1	1	1.0
3766	ты то блядь, ещё та)) иностранная))) японская- шлюха ты тупая)) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?	тебе вопрос задали: что плохого написано о мусульманах?	ru	1.0	1.0	1	1	1.0
3776	Австралийские твари доберутся до всех материков!	Австралийские доберутся до всех материков!	ru	1.0	1.0	1	0	1.0
3783	а щас эти пидары забрали то каторе строили нашы деды.и снашают этим нас	а щас эти люди забрали то, что строили нашы дедушки и	ru	0.5	1.0	1	0	1.0
3786	пиздец ,мягко сказано,конца не виднои россии нет,всю почти продали,твари........	плохо,мягко сказано,конца не виднои россии нет,	ru	0.5	0.5	1	0	1.0
3788	дело даже не в iq - просто хуесосам там не место	дело даже не в iq - просто глупцам там не место	ru	1.0	1.0	1	1	1.0
3803	сука! беззащитное животное избить, которое не может себя защитить	беззащитное животное избить, которое не может себя защитить	ru	1.0	1.0	1	1	1.0
3807	ты чудо если ты думаешь что я от фото шопа,стану хуже то ты точно лох	если ты думаешь что я от фото шопа,стану хуже то ты	ru	1.0	1.0	1	0	1.0
3814	нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?	Может, тебе не здесь?	ru	1.0	1.0	1	0	1.0
3815	как же я люблю свою родину!!! ибать её конём!!!	Как же я люблю свою родину!!! ибать её конём	ru	1.0	0.5	0	1	0.6666666666666666
3818	жопу как раз ты свою рвешь	как раз ты свою рвешь	ru	1.0	1.0	1	0	1.0
3822	полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.	я полностью солидарен. всё уважение к карелину как к велик	ru	1.0	1.0	1	0	1.0
3831	готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.	Не проецируй. Разрыва контракта не будет, россия, платит	ru	1.0	1.0	1	0	1.0
3833	вы бы ещё сделали узнайте актера по жопе! вы совсем еб.нулись	вы бы ещё сделали узнайте актера по жопе! вы совсем	ru	1.0	1.0	1	1	1.0
3836	твой ельцын алкаш гребанный всю страну развалил гореть ему в аду пидору	ельцын всю страну развалил гореть ему в аду	ru	1.0	1.0	1	1	1.0
3846	долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а долбоебы на своих....	чем народ кормить собирается. умные люди учатся на чужих ошибках,	ru	1.0	1.0	1	0	1.0
3847	придурок. как он надоел уже. когда посадят за решетку. придурки все.	Как он надоел уже. когда посадят за решетку.	ru	1.0	1.0	1	1	1.0
3849	мало их в войсках чмырили и пиздили.	мало их в войсках обманывали и обманывали.	ru	1.0	1.0	1	0	1.0
3853	если мы сами этим пидорам не скажем нет то так ибудет.	Если мы сами этим людям не скажем нет то так ибудет	ru	0.5	0.5	1	1	1.0
3864	значит у этого дяди есть что терять? наворовал со школы у детишек.....ублюдок	значит у этого дяди есть что терять? наворовал со школы у	ru	1.0	1.0	1	0	1.0
3865	ну может тебя вместо лукашенко, пиз бол?!	Ну может тебя вместо лукашенко?!	ru	1.0	1.0	1	1	1.0
3869	для дебилов, которые ходят в масках и перчатках. пускай тогда скафандры покупают, дебилы:d	для людей, которые ходят в масках и перчатках.	ru	1.0	1.0	1	0	1.0
3872	развалили суки такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат	я помню как прибыл в неё в 2005 с начало шмс	ru	1.0	1.0	1	0	1.0
3875	бабло надо отрабатывать..... а судь бы миллионов белорусов этих тварей-упырей не интерес уют	а судь бы миллионов белорусов этих людей не интерес уют	ru	1.0	0.5	0	0	1.0
3878	Всей толпой в церковь и свечки за его здравие. Или успокоится или вам похер станет	Всей толпой в церковь и свечки за его здравие.	ru	1.0	1.0	1	0	1.0
3906	Среди умных людей -безусловно. Но стреляют то в в основном идиоты.	Среди умных людей -безусловно. Но стреляют то в в основ	ru	1.0	1.0	1	0	1.0
3911	вот если бы обрубал руки своим подчененым за воровство, цены бы ему не было	вот если бы он наказал своих подчененых за воровство,	ru	1.0	1.0	1	0	1.0
3913	пи-доры придёт время отвечать придётся перед народом	придёт время отвечать придётся перед народом	ru	1.0	1.0	1	1	1.0
3917	так ты просто обманываешь гаденыш людей	так ты просто обманываешь людей, а люди не верят тебе, так	ru	1.0	1.0	1	0	1.0
3919	урода посадить без суда и следствия. алкаш	его надо посадить без суда и следствия.	ru	1.0	1.0	1	1	1.0
3923	русня снимает видосики и бугуртит. Русский бунт. Рашковане as is.	Русский бунт. Рашковане as is.	ru	0.5	0.5	1	0	1.0
3932	ебал я всех в рот кто тут старается себя превознести. непути знайте это флаг казахстана.	ебал я всех кто тут старается себя превознести. не	ru	0.5	1.0	1	0	0.8333333333333334
3948	у кого нибудь есть домашний адрес этого дебила? опубликуйте...	у кого нибудь есть домашний адрес этого человека? опубликуйте	ru	1.0	1.0	1	1	0.6666666666666666
3963	о рабочих профессиях надо фильмы снимать и везде агитировать, а не о пидорасах и предателях по всем программам	о рабочих профессиях надо фильмы снимать и везде агитировать	ru	1.0	1.0	1	1	1.0
3972	а вот при нынешнеем образовании молодежь тупая.	а вот при нынешнеем образовании молодежь тупая.	ru	1.0	1.0	1	1	0.5
3973	откуда у алкашей-свиней оружие? ведь даже не рабам спидоранам оружие не дают :(	откуда у алкашей оружие? ведь даже не рабам спидор	ru	1.0	1.0	1	0	1.0
3977	С квадратиками на морде тяжело жить.	С квадратиками на морде тяжело жить.	ru	1.0	1.0	1	1	0.5
3979	а вы упрямые бараны, не хочу, не буду	а вы упрямые, не хочу, не буду	ru	1.0	1.0	1	1	1.0
3980	И от такой хуйни можно много до чего договориться	И от такой глупости можно много до чего договориться	ru	1.0	1.0	1	1	1.0
3985	говорит--моя бл..ь(жена)предложила прогуляться к метро, посмотреть	говорит--моя жена предложила прогуляться к метро, посмотреть что там есть	ru	1.0	1.0	1	1	1.0
3999	тебя там чпокнули, что ты такое утверждаешь?	Что ты такое утверждаешь?	ru	1.0	1.0	1	0	1.0
4000	К тому же вальва уже давно не геймдевелоперская контора, а занимается хуй знает чем	К тому же вальва уже давно не геймдевелоперская контора	ru	1.0	1.0	1	0	1.0
4006	эта сраная фишка в западных околонаучных передачах так же часто встречается	Эта фишка в западных околонаучных передачах так же часто встреча	ru	1.0	1.0	1	1	1.0
4008	которые всегда и во во всем видят только дерьмо	которые всегда и во во всем видят только плохое	ru	1.0	1.0	1	1	1.0
4011	из-за вас козлов- настроение ноль и поведение ,ну никакое.....	из-за вас козлов- настроение ноль и поведение,ну	ru	1.0	1.0	1	1	0.6666666666666666
4014	Я вот хуйню бы творить не стал и если надо, то изменился бы ради общественного блага	Я вот ничего бы творить не стал и если надо, то измен	ru	1.0	1.0	1	0	1.0
4019	Это у вас такой мемчик локальный на пораше?	Это у вас такой мемчик локальный на пораше?	ru	1.0	1.0	1	1	0.5
4020	враг не пройдет.победа будет за нами.все народы хотят мира.а этим тварям неймется.перемен захотели!!!браво батьке!!!!!!	враг не пройдет.победа будет за нами.все народы хотят	ru	1.0	1.0	1	0	1.0
4028	два идиота, что отец,что сын.два авантюриста.	два человека, что отец, что сын.два авантюриста.	ru	1.0	1.0	1	0	1.0
4035	сявка никак не может сойти с этого цыкличного круга, скоро новый х.й нарисуется	сявка никак не может сойти с этого круга, скоро	ru	1.0	1.0	1	0	0.8333333333333334
4049	ну что поделаешь ,согласна что дура	Ну что поделаешь,согласна что глупая	ru	1.0	1.0	1	1	1.0
4050	люди выходили чтобы убрать вора януковичя такого бандита как путин	люди выходили чтобы убрать януковичя такого человека как путин люди выход	ru	0.5	0.5	1	0	1.0
4055	Особенно, если сам ничего не можешь, кроме как говном в интернете кидаться	Особенно, если сам ничего не можешь, кроме как ничего	ru	1.0	1.0	1	0	1.0
4057	прежде чем признаться в своей ошибке оглянись не окружают ли тебя идиоты	Прежде чем признаться в своей ошибке оглянись не окружают ли теб	ru	1.0	1.0	1	0	1.0
4060	кое как с пробуксовкой , с ебуками находишь этот дом( хорошо еще если на нем номер есть)	кое как с пробуксовкой, с пробуксовкой находишь этот	ru	1.0	1.0	1	0	0.8333333333333334
4061	А если и посмотрят то просто скажут, что он дурак	А если и посмотрят то просто скажут, что он глупец.	ru	1.0	1.0	1	1	1.0
4075	фирсофу с филатовым позвоню, скажу, что такую херню пишите!	фирсофу с филатовым позвоню, скажу, что такую глупость	ru	1.0	1.0	1	0	1.0
4079	у людей давление зашкаливает, от масок у многих аллергия, чихают и кашляют, а эта сволочь со своим ужесточением	у людей давление зашкаливает, от масок у многих аллергия	ru	1.0	1.0	1	0	1.0
4085	Что-то мне кажется, гинеколог не будет своему коллеге говорить дурак .	Что-то мне кажется, гинеколог не будет своему коллеге говорит	ru	1.0	1.0	1	0	0.8333333333333334
4091	да какие ему могут быть оправдания ? ведь погиб человек из-за этого ублюдка	да какие ему могут быть оправдания? ведь погиб человек из	ru	1.0	1.0	1	0	1.0
4100	послушай быдло,я не смотря на свои 62 года до сих пор на летной работе,врачи пока допускают	Я не смотря на свои 62 года до сих пор на летной работе,	ru	1.0	1.0	1	0	1.0
4102	но вам то наверное достаточно дерьма льющегося с экрана путиновизора.	но вам то наверное достаточно льющегося с экрана путиновизора.	ru	1.0	1.0	1	0	1.0
4106	Кланятьcя вcем, кто предcтавляет опаcноcть и cмаковать мучения более cлабых попутно выcирая на них доноcы.	Кланятьcя вcем, кто предcтавляет опаcноcть	ru	1.0	1.0	1	0	0.6666666666666666
4107	пыль в глоза фуфлыжники гнать таких из страны	Гнать таких из страны	ru	1.0	1.0	1	0	1.0
4108	найти по телефону скотину и наказать по всей строгости!	найти по телефону женщину и наказать по всей строгости!	ru	1.0	1.0	1	0	1.0
4118	дожили, бляди учат как надо жить и что делать !	дожили, они учат как надо жить и что делать!	ru	1.0	1.0	1	1	1.0
4121	мало вам пиздюкам, чтобы страну не продавали	мало вам, чтобы страну не продавали	ru	1.0	1.0	1	1	1.0
4135	такие сволочи не должны жить на руси.	Такие люди не должны жить на руси.	ru	1.0	1.0	1	1	1.0
4136	повезло белой легковушке что этот еблан в нее не влетел	повезло белой легковушке что этот человек в нее не влетел	ru	1.0	1.0	1	1	1.0
4157	он все больше и больше походит на старого потрепанного жизнью,пидора	Он все больше и больше походит на старого потрепанного жизнью человека.	ru	1.0	1.0	1	1	1.0
4164	он защищает только своих детей , анавсех остальных ему насрать , трибунал ему и всем его пидорам	ему все равно, трибунал ему и всем его слуга	ru	1.0	1.0	1	0	1.0
4165	да ебанутые люди только такое могли сделать!	да люди только такое могли сделать!	ru	1.0	1.0	1	0	1.0
4174	в этой группе обязательно найдётся тупой недоёбок с тёмной аватаркой и заданием нахамить.	в этой группе обязательно найдётся человек с тёмной аватаркой	ru	1.0	1.0	1	1	1.0
4178	что ж ты сука прячешься, гавкаешь за чужой спиной?	Что ж ты прячешься, гавкаешь за чужой спиной?	ru	1.0	1.0	1	1	1.0
4188	я потерял маму, а после сорока дней жена ушла... вот и вся ваша блядская верность!	я потерял маму, а после сорока дней жена ушла...	ru	1.0	1.0	1	0	1.0
4189	а не ебанутых из дома 2 показывать.',	а не из дома 2 показывать.', ', '	ru	1.0	0.5	0	1	1.0
4191	но, сука, зря он так про бессмертный полк...	но, зря он так про бессмертный полк...	ru	1.0	1.0	1	1	1.0
4194	да гнать этого пидрюгу надо,гандона	да гнать этого человека надо,гандона	ru	1.0	1.0	1	1	0.6666666666666666
