Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	any of us who did half this shit would be locked the fuck up already .	Any of us who did half this would be locked up already.	en	1.0	1.0	1	1	1.0
2430	are they liars or just clueless ?	Are they just clueless?	en	1.0	1.0	1	1	0.8333333333333334
2434	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	as someone from la and an oilfield worker, i still say this guy is not	en	1.0	0.5	0	0	1.0
2442	calm the fuck down , cnn .	Calm down, cnn.	en	1.0	0.5	0	1	1.0
2444	china and russia will use a big stick to smack trump around if those ships do anything foolish .	china and russia will use a big stick to  trump around if those ships	en	1.0	1.0	1	0	1.0
2447	cretins like this rarely care about facts .	People like this rarely care about facts.	en	1.0	1.0	1	1	1.0
2456	do people actually believe this shit ? ? ?	Do people actually believe this?	en	1.0	1.0	1	1	1.0
2462	dont you ever change one of my edits , or i will come to your house , and i will cut you .	dont you ever change one of my edits, or i will come to your house	en	1.0	1.0	1	0	1.0
2469	even bush knows he fucked up .	Even Bush knows that he made a mistake.	en	1.0	1.0	1	1	1.0
2480	fuck popeyes for doing this in the first place .	I don't like popeyes for doing this in the first place.	en	1.0	1.0	1	1	1.0
2491	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	getting myself kicked by gre practice tests made sure that i never make this same mistake again	en	1.0	1.0	1	1	1.0
2492	getting stronger every month yeah i fucking wish .	getting stronger every month yeah i wish.	en	1.0	1.0	1	1	1.0
2502	have you ever been to r trees and seen all the shit people say weed can do ? .	Have you ever been to r trees and seen all the things people say  can do	en	0.5	1.0	1	0	1.0
2522	holy shit , a cop got fired ? .	A police officer got fired?	en	1.0	1.0	1	1	1.0
2531	how the fuck do you manage that ? .	How do you manage that?	en	1.0	1.0	1	1	1.0
2533	how the fuck do you think people afford houses and cars ?	How do you think people afford houses and cars?	en	1.0	1.0	1	1	1.0
2536	i accidentally read the titling as laser machete and almost shit my pants .	I accidentally read the titling as laser machete and almost panicked.	en	1.0	1.0	1	1	1.0
2540	i did not vandalize anything you dick .	I did not vandalize anything.	en	1.0	1.0	1	1	1.0
2546	i dont give a flying fuck about sides ! .	I don't care about sides!	en	1.0	1.0	1	1	1.0
2549	i have toilet paper to wipe my ass and no shortage of food .	i have toilet paper to wipe my behind and no shortage of food.	en	1.0	1.0	1	1	1.0
2554	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	i mean it's awesome that the pope is all cool like this and awesome and	en	1.0	1.0	1	0	1.0
2558	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	I sell quite a bit of stuff on there, and paypal has actually helped me	en	1.0	1.0	1	1	1.0
2566	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	if hes found to have acted in cold blood, the feds are going to c	en	1.0	1.0	1	0	1.0
2576	it s a big deal because the school didn t give a shit until she was being bullied .	it's a big deal because the school didn't care until she was being bullied	en	1.0	1.0	1	1	1.0
2583	judging by the shit i ve seen in my number years , number of those spent with george w .	judging by the things i ve seen in my number years, number of those spent	en	1.0	1.0	1	0	0.8333333333333334
2586	last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up	last warning you, it takes meminutes to resolve a page so people like you	en	1.0	0.5	0	0	1.0
2588	liar , liar pants on fire justin .	liar is on fire justin	en	1.0	1.0	1	0	1.0
2603	my thoughts are that our new guy might be an even bigger dirt bag .	My thoughts are that our new guy might be an even bigger unpleasant person.	en	1.0	1.0	1	1	1.0
2607	no fucking way number bricks fits in a car , this is bs .	no way number bricks fits in a car, this is bs.	en	1.0	1.0	1	1	1.0
2614	noones asking you to invade shit .	noones asking you to invade.	en	0.5	0.5	1	1	1.0
2615	not fucking around in foreign matters that we cannot do anything about .	not interfering in foreign matters that we cannot do anything about.	en	1.0	1.0	1	1	1.0
2618	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady as fuck .	nothing but missing footage is sure going to make whatever happened during that unaccounted for time	en	1.0	1.0	1	1	1.0
2622	number will solve alot of fucking problems if it comes down to it .	number will solve alot of problems if it comes down to it.	en	0.5	1.0	1	1	1.0
2631	org there s wikipedia articles for all sorts of random shit like this .	org there s wikipedia articles for all sorts of random things like this.	en	1.0	0.5	0	1	1.0
2633	ouch man , them swedes were dicks to norway =\	Oh man, those swedes were not good to Norway.	en	0.5	1.0	1	1	1.0
2636	people are idiots for wasting emergency call time on crap like this .	people are not wise for wasting emergency call time on stuff like this.	en	1.0	1.0	1	1	1.0
2646	quite a few saints are canonized because they opposed some idiot hierarch , even unto being killed , like st .	quite a few saints are canonized because they opposed some hierarch, even unto being killed	en	1.0	1.0	1	1	1.0
2647	read your own fucking link .	Read your own link.	en	1.0	1.0	1	1	1.0
2649	same crap going on in the pnw too .	same thing going on in the pnw too.	en	0.5	1.0	1	1	1.0
2653	shit , i d love an number pm sunset .	i d love an number pm sunset	en	0.5	0.5	1	1	1.0
2664	some poor guy robs a liquor store for $400 and goes to prison to get raped in the ass .	Some r guy robs a liquor store for $400 and goes to prison to get	en	1.0	0.5	0	0	1.0
2665	someone says no , and they say fuck off we need vets only for free housing ? .	someone says no, and they say we need vets only for free housing?.	en	1.0	1.0	1	1	1.0
2669	still standing up for your lying crazy leader who loves himself and nobody else .	still standing up for your lying leader who loves himself and nobody else.	en	1.0	1.0	1	1	1.0
2672	sucked like nothings ever sucked before .	Sucked like nothings ever worse before	en	1.0	1.0	1	0	0.6666666666666666
2675	taking a stand with either party is equally retarded .	Taking a stand with either party is equally .	en	1.0	1.0	1	0	1.0
2678	that almost never happens excepts rarely in shit hole countries .	that almost never happens excepts rarely in countries.	en	1.0	1.0	1	0	1.0
2706	their shit is cheap but its of such awful quality that you re better off getting the more expensive item .	their stuff is cheap but its of such awful quality that you re better off getting the	en	1.0	1.0	1	0	1.0
2711	they need stop tratening people like morons .	They need to stop treating people badly.	en	1.0	1.0	1	1	0.8333333333333334
2713	they re both fucked up .	They're both failed.	en	1.0	1.0	1	1	1.0
2717	this guy is a total sellout with no brains for business and lacks the ability of forward thinking .	this guy lacks the skills for business and lacks the ability of forward thinking.	en	1.0	1.0	1	1	1.0
2719	this is a joke , are you all fucking retards ? .	This is a joke, are you all naive?	en	1.0	1.0	1	1	1.0
2723	this is some twilight zone shit	this is some twilight zone stuff	en	1.0	1.0	1	1	1.0
2732	this shit is overwhelming to think about .	This is too much to think about	en	1.0	1.0	1	1	1.0
2748	what an arse hole you are !	You are a bad person.	en	1.0	1.0	1	1	0.6666666666666666
2763	whats the title of this report , no shit ? .	whats the title of this report?	en	1.0	1.0	1	0	1.0
2772	why the fuck does everyone hate syria so much ? .	Why does everyone hate syria so much?	en	1.0	1.0	1	1	1.0
2773	why the fuck haven 't they condemned north korea ?	why haven 't they condemned north korea?	en	1.0	1.0	1	1	1.0
2777	yeah , comparitively fuck all because they have loads of offshore hidden bank accounts and smart accountants ? .	yeah, comparitively not all because they have loads of offshore hidden bank accounts and	en	1.0	1.0	1	0	1.0
2779	yeah they don t give a fuck .	Yes they don't care.	en	1.0	1.0	1	1	1.0
2780	yeh well ban me fukkers fuck you morons	Yes, ban me.	en	0.5	1.0	1	1	1.0
2785	you have got to be insane .	you have got to be insane	en	1.0	1.0	1	1	0.5
2799	Goths listen to Gothic rock, not to baby pop. If you want you can find sources for every shit.	Goths listen to Gothic rock, not to baby pop. If you want you can	en	1.0	1.0	1	0	1.0
2800	I hate free speech it is shit.	I hate free speech.	en	1.0	1.0	1	1	1.0
2806	Minority Breeder Breeder is a significant person and you went and deleted the page started for him, nice job dipshit.	Minority Breeder Breeder is a significant person and you went and deleted the page	en	1.0	1.0	1	1	1.0
2808	This bot is seriously driving us crazy This image exists, I must kill it!	This bot is seriously driving us crazy This image exists, I must kill it!	en	1.0	1.0	1	1	0.5
2811	Have you been fucking living under a rock?	Have you been living under a rock?	en	1.0	1.0	1	1	1.0
2814	I will do Whatever i want and it is my right, what is both of yous Problem Asshole.	I will do whatever i want and it is my right, what is both of you	en	1.0	1.0	1	0	1.0
2819	How the hell are you going to block me from editting?	How are you going to block me from editting?	en	1.0	1.0	1	1	1.0
2820	WTF How The Fuck Does This Person Merit A Page On Wikipedia.	How does this person Merit A Page On Wikipedia.	en	1.0	1.0	1	1	1.0
2828	I'm retired, fuckers, leave me alone.	I'm retired, leave me alone.	en	1.0	1.0	1	1	1.0
2835	This profile has protected Bermender since day fukkin ONE.	This profile has protected Bermender since day ONE.	en	0.5	1.0	1	1	1.0
2849	Please carry on, so everyone can see what an ignorant arse you are.	Please carry on, so everyone can see what an ignorant person you are.	en	1.0	1.0	1	1	0.8333333333333334
2850	I drive a Subaru Legacy and I'm a conservative But I still think you're an idiot.	I drive a Subaru Legacy and I'm a conservative But I still think you're wrong	en	1.0	1.0	1	1	1.0
2855	Dear Greenman, As usual you have proven to be an arse hole	Dear Greenman, As usual you have proven to be a bad person.	en	1.0	1.0	1	1	1.0
2857	You're not an admin, so shut the fuck up faggot.	You're not an admin, so keep quiet.	en	1.0	1.0	1	1	1.0
