Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
3026	any of us who did half this shit would be locked the fuck up already .	Any of us who did half this stuff would be locked up already.	en	1.0	1	1.0	1.0	1
3030	are they liars or just clueless ?	Are they misinformed or lacking knowledge?	en	1.0	1	1.0	1.0	1
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	As someone from LA and an oilfield worker, I still say this guy is unpleasant.	en	1.0	1	1.0	1.0	1
3042	calm the fuck down , cnn .	Calm down, CNN.	en	1.0	1	1.0	1.0	1
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	China and Russia will take action if those ships behave recklessly.	en	1.0	1	1.0	1.0	1
3047	cretins like this rarely care about facts .	People like this often disregard facts.	en	1.0	1	0.6666666666666666	1.0	1
3056	do people actually believe this shit ? ? ?	do people actually believe this nonsense?	en	1.0	1	0.8333333333333334	1.0	1
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	Please do not alter any of my edits, or there will be consequences.	en	1.0	1	1.0	1.0	1
3069	even bush knows he fucked up .	even Bush knows he messed up.	en	1.0	1	1.0	1.0	1
3080	fuck popeyes for doing this in the first place .	Forget Popeyes for doing this in the first place.	en	1.0	1	1.0	1.0	1
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	Being challenged by GRE practice tests made sure I never make this same mistake again.	en	1.0	1	1.0	1.0	1
3092	getting stronger every month yeah i fucking wish .	I hope to get stronger with each passing month.	en	1.0	1	1.0	1.0	1
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	Have you ever been to r/trees and seen all the claims people make about cannabis?	en	0.5	1	1.0	0.5	1
3122	holy shit , a cop got fired ? .	Wow, a cop got fired?	en	1.0	1	1.0	1.0	1
3131	how the fuck do you manage that ? .	how on earth do you manage that?	en	1.0	1	1.0	1.0	1
3133	how the fuck do you think people afford houses and cars ?	How do you think people afford houses and cars?	en	1.0	1	1.0	1.0	1
3136	i accidentally read the titling as laser machete and almost shit my pants .	"I misread the title as ""laser machete"" and got a fright."	en	1.0	1	1.0	1.0	1
3140	i did not vandalize anything you dick .	I did not damage anything.	en	1.0	1	1.0	1.0	1
3146	i dont give a flying fuck about sides ! .	I don't give importance to sides!	en	1.0	1	1.0	1.0	1
3149	i have toilet paper to wipe my ass and no shortage of food .	I have supplies to take care of myself and an abundance of food.	en	1.0	1	1.0	1.0	1
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	I mean it's great that the pope is all cool like this and great and stuff but seriously.	en	1.0	1	1.0	1.0	1
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	I sell quite a bit of items on there, and PayPal has actually helped me pay the bills.	en	1.0	1	1.0	1.0	1
3166	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	If it's determined that he acted with premeditation and without emotion, law enforcement will thoroughly pursue legal action.	en	1.0	1	0.8333333333333334	1.0	1
3176	it s a big deal because the school didn t give a shit until she was being bullied .	it's a big deal because the school didn't care until she was being bullied.	en	1.0	1	1.0	1.0	1
3183	judging by the shit i ve seen in my number years , number of those spent with george w .	Based on my experiences over the years, including some spent with George W.	en	1.0	1	1.0	1.0	1
3186	last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up	Last warning, it takes a few minutes to resolve a page so people like you can disrupt Wikipedia.	en	1.0	1	1.0	1.0	1
3188	liar , liar pants on fire justin .	Justin, please stop spreading false information.	en	1.0	1	0.8333333333333334	1.0	1
3203	my thoughts are that our new guy might be an even bigger dirt bag .	I believe our new colleague may have limited experience.	en	1.0	0	1.0	1.0	1
3207	no fucking way number bricks fits in a car , this is bs .	No way number bricks fits in a car, this is nonsense.	en	1.0	1	1.0	1.0	1
3214	noones asking you to invade shit .	No one is asking you to invade.	en	0.5	1	1.0	1.0	1
3215	not fucking around in foreign matters that we cannot do anything about .	not messing around in foreign matters that we cannot do anything about.	en	1.0	1	1.0	1.0	1
3218	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady as fuck .	Only the absence of footage will cast doubt on whatever occurred during that unaccounted for time.	en	1.0	1	1.0	1.0	1
3222	number will solve alot of fucking problems if it comes down to it .	Number will solve a lot of problems if it comes down to it.	en	0.5	1	1.0	1.0	1
3231	org there s wikipedia articles for all sorts of random shit like this .	There are Wikipedia articles on all kinds of random topics like this.	en	1.0	1	1.0	1.0	1
3233	ouch man , them swedes were dicks to norway =\	Ouch man, those Swedes were unkind to Norway.	en	0.5	1	1.0	1.0	1
3236	people are idiots for wasting emergency call time on crap like this .	People are utilizing emergency call time for matters like this.	en	1.0	0	1.0	1.0	1
3246	quite a few saints are canonized because they opposed some idiot hierarch , even unto being killed , like st .	Several saints are recognized for standing up against a misguided religious leader, even to the extent of losing their lives, like St.	en	1.0	1	0.6666666666666666	1.0	1
3247	read your own fucking link .	Please read the link provided.	en	1.0	1	1.0	1.0	1
3249	same crap going on in the pnw too .	similar things are happening in the Pacific Northwest too.	en	0.5	1	1.0	1.0	1
3253	shit , i d love an number pm sunset .	I would appreciate it if I could get a phone number for sunset.	en	0.5	0	1.0	1.0	1
3264	some poor guy robs a liquor store for $400 and goes to prison to get raped in the ass .	A financially struggling individual commits theft at a liquor store to obtain $400 and is incarcerated.	en	1.0	1	0.8333333333333334	1.0	1
3265	someone says no , and they say fuck off we need vets only for free housing ? .	Someone says no, and they say we need vets only for free housing?	en	1.0	1	1.0	1.0	1
3269	still standing up for your lying crazy leader who loves himself and nobody else .	still supporting your leader.	en	1.0	1	1.0	1.0	1
