Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	козлина! может, он их еще передаст??	ru	1.0	1.0	1	0	0.8333333333333334
3630	от одной ебанашки избавились:d :d	от одной проблемы избавились	ru	1.0	1.0	1	0	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	ага,прямо таки наблюдатели это всё пропустили...эк как неправильные поправки не по нутру	ru	1.0	1.0	1	1	0.6666666666666666
3642	пидорасы родители ,за счет детей падля пьют	падители за счет детей пьют	ru	1.0	0.5	0	1	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	да кто ты такая! и так врачей не хватает (((	ru	1.0	1.0	1	1	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, тралит, давит на больное.	ru	1.0	1.0	1	0	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребёнок, как ему с такими дальше жить	ru	1.0	1.0	1	0	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	посмотрите независимое расследование, а потом пишите.	ru	1.0	1.0	1	0	1.0
3669	вот кому руки то отрубить то надо	вот кому помочь то нужно	ru	1.0	1.0	1	0	0.8333333333333334
3680	это он, а не она , провокатор кастрюлеголовый	это он, а не она, провокатор агрессивный	ru	1.0	1.0	1	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	отвянь, человек прилипчивый. пристань к своей жизни, и жди.	ru	1.0	1.0	1	0	0.8333333333333334
3692	сколько же ебанутых в россии в месте с тобой	сколько же людей в России с тобой	ru	0.5	1.0	1	0	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	, если некоторое время деньги не вносишь - это нехорошо.	ru	0.5	1.0	1	0	1.0
3722	долбоеба кусок, слов нет одни эмоции.	долбоеба кусок, не могу найти слова одни эмоции.	ru	1.0	1.0	1	1	0.5
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	впереди шла девочка, ребенок они вместе вошли в подъезд.	ru	1.0	1.0	1	0	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	на кой черт это нужно??? это бесполезно!!!	ru	1.0	1.0	1	0	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Еще и Живчик возить перестали, и Бiле, мое любимое.	ru	0.5	1.0	1	1	1.0
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	чурка адвокат трактует его по своему. лишить лицензии навсегда.	ru	1.0	1.0	1	1	0.8333333333333334
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	пидор лука сколько изворачиваться будешь никто уже не верит твоей пиздежи	ru	1.0	0.5	0	1	0.6666666666666666
3749	дай бог, если очередному дебилу это будет уроком-не срать соседу.	дай бог, если этому человеку это будет уроком-не срывать соседа.	ru	1.0	1.0	1	0	1.0
3754	нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска	нехуй выебываца дура тупая. пусть благодарит за счастье.	ru	0.5	1.0	1	1	0.8333333333333334
3758	потому что жизнь долбоёбов ничему не учит	потому что жизнь не учит ничего.	ru	1.0	1.0	1	0	1.0
3766	ты то блядь, ещё та)) иностранная))) японская- шлюха ты тупая)) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?	ты то человек, ещё та)) иностранная))) японская- женщина ты не понятная)) тебе вопрос задали: что плохого написано о мусульманах?	ru	1.0	1.0	1	1	1.0
3776	Австралийские твари доберутся до всех материков!	Австралийские твари доберутся до всех материков!	ru	1.0	1.0	1	1	0.6666666666666666
3783	а щас эти пидары забрали то каторе строили нашы деды.и снашают этим нас	а щас эти люди забрали то что строили наши деды.и продолжают этим заниматься	ru	0.5	1.0	1	0	1.0
3786	пиздец ,мягко сказано,конца не виднои россии нет,всю почти продали,твари........	пиздец,мягко сказано,конца не видно,всю почти продали,твари........	ru	0.5	1.0	1	0	0.5
3788	дело даже не в iq - просто хуесосам там не место	дело даже не в интеллекте - просто там не место	ru	1.0	1.0	1	0	1.0
3803	сука! беззащитное животное избить, которое не может себя защитить	беззащитное животное избить, которое не может себя защитить	ru	1.0	1.0	1	0	1.0
3807	ты чудо если ты думаешь что я от фото шопа,стану хуже то ты точно лох	ты чудо если ты думаешь что я от фото шопа,стану хуже	ru	1.0	1.0	1	1	1.0
3814	нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?	нормальные люди от юмора смеются, а ты тут разводишь необычное поведение!	ru	1.0	1.0	1	1	0.8333333333333334
3815	как же я люблю свою родину!!! ибать её конём!!!	как же я люблю свою родину!!!	ru	1.0	1.0	1	1	1.0
3818	жопу как раз ты свою рвешь	ты рвешь свою репутацию	ru	1.0	1.0	1	0	1.0
3822	полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.	полностью солидарен. всё уважение к Карелину как к великому спортсмену пропало после его поведения...он сделал ошибку.	ru	1.0	1.0	1	1	1.0
3831	готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.	готовься к санкциям Не проецируй, не понимают. Разрыва контракта не будет, платит - значит заинтересован.	ru	1.0	1.0	1	0	1.0
3833	вы бы ещё сделали узнайте актера по жопе! вы совсем еб.нулись	вы бы ещё сделали узнайте актера по его работе! вы совсем не понимаете.	ru	1.0	1.0	1	0	1.0
3836	твой ельцын алкаш гребанный всю страну развалил гореть ему в аду пидору	твой Ельцин развалил страну гореть ему в аду	ru	1.0	1.0	1	1	1.0
3846	долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а долбоебы на своих....	долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а на своих опытах.	ru	1.0	1.0	1	1	0.8333333333333334
3847	придурок. как он надоел уже. когда посадят за решетку. придурки все.	придурок. как он надоел уже. когда он уйдет. придурки все.	ru	1.0	1.0	1	1	0.5
3849	мало их в войсках чмырили и пиздили.	мало их в войсках работало.	ru	1.0	1.0	1	0	1.0
3853	если мы сами этим пидорам не скажем нет то так ибудет.	если мы сами этим людям не скажем нет то так и будет.	ru	0.5	1.0	1	1	1.0
3864	значит у этого дяди есть что терять? наворовал со школы у детишек.....ублюдок	значит у этого человека есть что терять? он нечестен.	ru	1.0	1.0	1	0	1.0
3865	ну может тебя вместо лукашенко, пиз бол?!	ну может тебя вместо кого-то, пиз бол?!	ru	1.0	0.5	0	0	0.6666666666666666
3869	для дебилов, которые ходят в масках и перчатках. пускай тогда скафандры покупают, дебилы:d	для тех, кто ходит в масках и перчатках. пускай они покупают скафандры.	ru	1.0	1.0	1	1	1.0
3872	развалили суки такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат	развалили такую часть помню как прибыл в неё в 2005 с началом работы а потом 4 года	ru	1.0	1.0	1	0	1.0
3875	бабло надо отрабатывать..... а судь бы миллионов белорусов этих тварей-упырей не интерес уют	бабло надо отрабатывать..... а судьба многих людей не интересует	ru	1.0	1.0	1	1	1.0
3878	Всей толпой в церковь и свечки за его здравие. Или успокоится или вам похер станет	Всей толпой в церковь и свечки за его здоровье. Или успокоится или вам станет плохо.	ru	1.0	1.0	1	1	1.0
3906	Среди умных людей -безусловно. Но стреляют то в в основном идиоты.	Среди умных людей -безусловно. Но стреляют в основном люди с неправильными убеждениями.	ru	1.0	1.0	1	1	1.0
3911	вот если бы обрубал руки своим подчененым за воровство, цены бы ему не было	вот если бы наказывал своих подчиненных за воровство, цены бы не было	ru	1.0	1.0	1	1	0.8333333333333334
3913	пи-доры придёт время отвечать придётся перед народом	пи-доры придёт время отвечать придётся перед народом	ru	1.0	1.0	1	1	0.6666666666666666
3917	так ты просто обманываешь гаденыш людей	так ты просто обманываешь людей	ru	1.0	1.0	1	1	1.0
3919	урода посадить без суда и следствия. алкаш	урода посадить без суда и следствия. человек с проблемами.	ru	1.0	1.0	1	1	0.8333333333333334
3923	русня снимает видосики и бугуртит. Русский бунт. Рашковане as is.	русня снимает видео и создает контент. Русский бунт.	ru	0.5	1.0	1	0	1.0
3932	ебал я всех в рот кто тут старается себя превознести. непути знайте это флаг казахстана.	Я всех в рот кто тут старается себя преувеличить. Непути знайте это флаг Казахстана.	ru	0.5	0.5	1	1	1.0
3948	у кого нибудь есть домашний адрес этого дебила? опубликуйте...	у кого нибудь есть информация о этом человеке? опубликуйте...	ru	1.0	1.0	1	0	1.0
3963	о рабочих профессиях надо фильмы снимать и везде агитировать, а не о пидорасах и предателях по всем программам	о рабочих профессиях надо фильмы снимать и везде агитировать, а не о предателях по всем программам	ru	1.0	1.0	1	1	1.0
3972	а вот при нынешнеем образовании молодежь тупая.	а вот при нынешнем образовании молодежь не получает достаточной информации.	ru	1.0	1.0	1	0	1.0
3973	откуда у алкашей-свиней оружие? ведь даже не рабам спидоранам оружие не дают :(	откуда у них оружие? ведь даже не всем оружие дают :(	ru	1.0	1.0	1	0	1.0
3977	С квадратиками на морде тяжело жить.	С квадратиками на морде тяжело жить.	ru	1.0	1.0	1	1	0.5
3979	а вы упрямые бараны, не хочу, не буду	а вы упрямые, не хочу, не буду	ru	1.0	1.0	1	1	1.0
3980	И от такой хуйни можно много до чего договориться	И от таких ситуаций можно много до чего договориться	ru	1.0	1.0	1	1	1.0
3985	говорит--моя бл..ь(жена)предложила прогуляться к метро, посмотреть	говорит--моя жена предложила прогуляться к метро, посмотреть	ru	1.0	1.0	1	1	1.0
