Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	إقرأ كتاباً أيها المعادي للسامية !	اقرأ كتاباً	ar	1.0	1.0	1	1	0.8333333333333334
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	أعني، المراتب التي يضعونها على المساجد، لا شيء آخر، ولكن، حسنا	ar	1.0	1.0	1	0	1.0
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	لقد ضربتك وتركتك تشعرين بهذا السوء؟	ar	0.5	1.0	1	0	1.0
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	بلد يسمح لساحر إيراني بالبقاء على أرضه في خطر كبير لأن	ar	1.0	1.0	1	0	1.0
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	والدك كيف كذب الكويت لهم مدعوم من قبل الهلال الأحمر الكويتي	ar	1.0	1.0	1	1	1.0
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت تحتفل معهم	ar	1.0	1.0	1	1	1.0
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	سيكون مريضاً قريباً، لابد أنه يبحث عن (هالفر)	ar	1.0	1.0	1	0	1.0
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	هذا ملعب حيث يلعب اللاعبون بالمال والإقامة ونفقات السفر	ar	1.0	1.0	1	0	1.0
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما هو الجلاد؟ ارسم شجرة عائلة مع ثعبان صرصر.	ar	1.0	1.0	1	0	1.0
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا الأسد؟ لقد قتلتم السوريين، دمرتم البلاد،	ar	1.0	1.0	1	1	1.0
