Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	Que manera de cagarla wacho 😩👎🏼	Qué manera de arruinarlo 😩👎🏼	es	1.0	1.0	1	1	1.0
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	Bueno, también será porque nada irrita más a un ultranacionalista que otro nacionalismo intentando violar su integridad territorial.	es	1.0	1.0	1	1	1.0
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	El jugador que siempre retrocede la pelota pasada el medio, qué frustrante.	es	0.5	1.0	1	1	1.0
4842	Nunca en mi puta vida me va a pasar	Nunca en mi vida me va a pasar.	es	1.0	1.0	1	1	1.0
4844	Bueno nojoda que pasa aqui pues?	Bueno, ¿qué está pasando aquí?	es	1.0	1.0	1	1	1.0
4847	dios podes hablar bien la concha de tu madre	Dios, podrías hablar con respeto.	es	1.0	1.0	1	1	0.6666666666666666
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	ERA PARA QUE FUERAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	es	1.0	1.0	1	1	0.3333333333333333
4862	Hoy m pongo empedo o ke?💃🏼	¿Qué hago hoy, me pongo de buen humor o qué?💃🏼	es	0.5	1.0	1	0	0.8333333333333334
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No, tonto!"""	es	1.0	1.0	1	1	0.3333333333333333
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Pueden enviarte todos los problemas del mundo, pero siempre te elegiré a ti.	es	1.0	1.0	1	0	1.0
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen un gran respeto por Mr. Wonderful.	es	0.5	1.0	1	0	1.0
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	¿No os da rabia que personas desagradables tengan pareja y vosotros no?	es	1.0	1.0	1	1	1.0
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	Aquellos que no entienden la ironía y el sarcasmo extremo, no les hace gracia en absoluto.	es	0.5	1.0	1	0	1.0
4922	La Corte y nada la misma huevonada	La Corte sigue sin cambios, sigue siendo igual de problemática.	es	1.0	1.0	1	1	1.0
