Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
3626	козлина! может, он их еще в сбу передаст??	возможно, он их еще передаст??	ru	1.0	0	1.0	1.0	1
3630	от одной ебанашки избавились:d :d	от одной проблемы избавились	ru	1.0	1	0.6666666666666666	1.0	1
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	ага, прямо таки наблюдатели это всё пропустили ...как изменения не по нутру	ru	1.0	1	1.0	1.0	1
3642	пидорасы родители ,за счет детей падля пьют	родители, за счет детей употребляют алкоголь	ru	1.0	1	1.0	1.0	1
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	да кто ты такая!!!	ru	1.0	0	1.0	1.0	1
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Прекрасный аноним: раскрывает информацию, высказывает мнение, дает объективную оценку и делает это профессионально. У людей вызывает негативные эмоции, всё просто остаётся на поверхности.	ru	1.0	1	1.0	1.0	1
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребёнок, родители, как же ему с такими продолжить жизнь	ru	1.0	1	1.0	1.0	1
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	Посмотрите независимое расследование, а потом пишите.	ru	1.0	1	1.0	1.0	1
3669	вот кому руки то отрубить то надо	вот кому нужно помочь	ru	1.0	0	1.0	1.0	1
3680	это он, а не она , провокатор кастрюлеголовый	это мужчина, а не женщина, человек, провоцирующий	ru	1.0	1	1.0	1.0	1
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	перестань, будь прилипчивым. прилепись к своей жене, и жди.	ru	1.0	1	1.0	1.0	1
3692	сколько же ебанутых в россии в месте с тобой	сколько же интересных людей в России рядом с тобой	ru	0.5	0	0.6666666666666666	1.0	1
3702	, если некоторое время деньги не вносищь_ хуярят	если некоторое время деньги не вносятся.	ru	0.5	0	0.6666666666666666	1.0	1
3722	долбоеба кусок, слов нет одни эмоции.	Кусок, слов нет одни эмоции.	ru	1.0	0	1.0	1.0	1
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	впереди шла тоже девочка и ребенок, они вместе вошли в подъезд, а после их зашел этот человек	ru	1.0	1	1.0	1.0	1
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	на кой этот человек нужен??? вещь бесполезная!!!	ru	1.0	1	1.0	1.0	1
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Еще и Живчик возить перестали с экстрасенсорной помощью, и Беле, что я так люблю.	ru	0.5	0	1.0	1.0	1
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	Точно, ты, ничего не смог как следует объяснить свои мысли, кто бы мог подумать... возьми перерыв!	ru	1.0	0	1.0	1.0	1
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	Вот так и обсуждаем, а вы за эту партию голоса отдали.	ru	1.0	0	1.0	1.0	1
3749	дай бог, если очередному дебилу это будет уроком-не срать соседу.	дай бог, если очередному человеку это будет уроком-не мешать соседу.	ru	1.0	1	1.0	1.0	1
3754	нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска	Не стоит над собой издеваться, дорогая. Пусть радуется, что ноги у нее на месте, дорогая.	ru	0.5	1	1.0	1.0	1
3758	потому что жизнь долбоёбов ничему не учит	потому что жизнь людей ничему не учит	ru	1.0	1	1.0	1.0	1
3766	ты то блядь, ещё та)) иностранная))) японская- шлюха ты тупая)) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?	Ты такая, хорошая иностранка, не очень умная, тебе задали вопрос: о чем написано в негативном ключе о мусульманах?	ru	1.0	1	1.0	1.0	1
3776	Австралийские твари доберутся до всех материков!	Австралийские животные доберутся до всех материков!	ru	1.0	1	0.8333333333333334	1.0	1
3783	а щас эти пидары забрали то каторе строили нашы деды.и снашают этим нас	и сейчас они забрали то, что строили наши предки. и сейчас это нас	ru	0.5	1	1.0	1.0	1
3786	пиздец ,мягко сказано,конца не виднои россии нет,всю почти продали,твари........	конца не видно и России нет, всю почти продали.	ru	0.5	1	1.0	1.0	1
3788	дело даже не в iq - просто хуесосам там не место	дело даже не в iq - просто неуместные люди там	ru	1.0	0	1.0	1.0	1
3803	сука! беззащитное животное избить, которое не может себя защитить	Беззащитное животное избить, которое не может себя защитить.	ru	1.0	1	1.0	1.0	1
3807	ты чудо если ты думаешь что я от фото шопа,стану хуже то ты точно лох	"ты -> ты, чудо -> человек, от -> из, то -> это, ты -> ты, лох -> дурак
Final neutral text: Если ты думаешь, что я из фотошопа, стану хуже, ты точно дурак."	ru	1.0	0	0.5	0.5	0
3814	нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?	Нормальные люди от юмора смеются, а ты тут не в теме. Может, тебе не здесь?	ru	1.0	1	0.8333333333333334	1.0	1
3815	как же я люблю свою родину!!! ибать её конём!!!	так приятно чувствовать любовь к своей стране!!!	ru	1.0	1	1.0	1.0	1
3818	жопу как раз ты свою рвешь	Ты сломал свою задницу.	ru	1.0	0	0.6666666666666666	1.0	1
3822	полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.	Полностью согласен. Вся моя уважение к Карелину как к великому спортсмену пропало после его высказывания...обсудил и перешёл к другой теме.	ru	1.0	0	1.0	1.0	1
3831	готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.	Надо быть готовым к ограничениям. Не передергивай, неадекват. Расторжения контракта не будет, товарищ, платит - значит отлично.	ru	1.0	1	1.0	1.0	1
3833	вы бы ещё сделали узнайте актера по жопе! вы совсем еб.нулись	вы бы ещё сделали узнайте актера по задней части! вы совсем потеряли рассудок	ru	1.0	1	1.0	1.0	1
3836	твой ельцын алкаш гребанный всю страну развалил гореть ему в аду пидору	твой ельцын алкаш всю страну развалил гореть ему в аду	ru	1.0	1	0.8333333333333334	1.0	1
3846	долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а долбоебы на своих....	хозяйка решается, что купить для своей семьи. умные люди берут уроки из чужих ошибок, а неопытные из собственных...	ru	1.0	1	1.0	1.0	1
3847	придурок. как он надоел уже. когда посадят за решетку. придурки все.	человек. как он укачал уже. когда посадят за решетку. люди все.	ru	1.0	1	1.0	1.0	1
3849	мало их в войсках чмырили и пиздили.	мало их в войсках насмехались и раздражали.	ru	1.0	1	1.0	1.0	1
