Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	भोंसड़ी के धर्म है तो धंधा है! मेरा मतलब धर्म है तो सत्ता है!! सत्ता ही धंधा बना दिया है!!!	hi	1	1	1	1	0.5
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	वो कौन थे जो कह रहे थे कि वह डरा हुआ है?	hi	1	1	1	1	1.0
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	hi	1	1	1	1	0.5
642	भौसडीके शायरी ग़लत हो गयी  	भौसडीके शायरी ग़लत हो गयी 	hi	1	1	1	1	0.5
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	hi	1	1	1	1	0.5
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	hi	1	1	1	1	0.5
656	ओर ये साली सुअर सरकार सो रही है	ओर ये सुअर सरकार सो रही है	hi	1	1	1	1	0.5
662	सबसे ज्यादा कमीना तू है	सबसे ज्यादा तू है	hi	1	1	1	1	1.0
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	hi	1	1	1	1	0.3333333333333333
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	ईस ने रात भर नाचकर बोला कि मैं थक गई ..	hi	1	1	1	1	1.0
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	निगाहे आज भी ढुंढ रही है... उस महान को 	hi	1	1	1	1	1.0
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	hi	1	1	1	1	0.5
702	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	तो जेल भेजो ना। यहाँ क्या रोना रो रहे हो?	hi	1	1	1	1	0.8333333333333334
