Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	إقرأ كتاباً أيها المعادي للسامية !	يرجى القراءة أي كتاب، لزيادة المعرفة	ar	1.0	1.0	1	0	1.0
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	ماذا تعني أن الفرش يوضع فقط في المساجد وغير ذلك؟ هناك具体用途 للمواد ال不相同ة.	ar	1.0	0.5	0	0	1.0
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	لقد تلقيت ضربة وتركت الحساس حتى تعاني من الألم؟ ههههه، ماذا حدث؟	ar	0.5	1.0	1	0	1.0
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	السماح للأشخاص الغير محترمين بإقامة في البلاد يشكل خطرًا، ويجب التعامل معهم بجدية	ar	1.0	1.0	1	0	0.8333333333333334
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	الكويت قدمت لهم الدعم من خلال هيئة الحمراء الكويتية	ar	1.0	1.0	1	1	1.0
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت تشارك في الحفلة معهم	ar	1.0	1.0	1	0	1.0
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	من المفترض أن يكون هناك تحسين في الأداء وتحسين النتائج	ar	1.0	1.0	1	0	1.0
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	هذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر، وهذه ال莽behavior غير مقبولة	ar	1.0	0.5	0	0	1.0
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ماذا لو أرسم شجرة العيلة بزرة	ar	1.0	1.0	1	0	1.0
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف استمرت سوريا تحت حكم الاسد؟ تعرضت المدنيين و البلاد لدمار و تعرضت للاستغلال	ar	1.0	1.0	1	1	1.0
1891	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	الحزب الليبرالي الفاشل سيؤثر على الجميع، وهذه الوضعية غير مرضية	ar	1.0	1.0	1	1	0.8333333333333334
1892	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	كيف يمكننا التعرف على الأخطاء والعمل على تحسين ال下一次؟	ar	1.0	1.0	1	0	1.0
1902	بس نهى للحين ماتغيرت لحجية	لكن حتى الآن لم تتغير لشخص أكثر ذكاء	ar	1.0	1.0	1	0	0.8333333333333334
1922	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	صاحب الدراسة سمين ومايبي ينحف دراسته غير حقيقية لا تثقوا بمعلوماتهم	ar	1.0	1.0	1	1	1.0
1931	مو قادرين على دوري كله هبايل خخخخخ	مو قادرين على跟上 دوري كامل	ar	1.0	0.5	0	0	1.0
1933	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وانتـي حكيتيها اخيكـ، مو مثلك	ar	1.0	1.0	1	1	1.0
1936	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الرجل مستعدًا لل rischio لإنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	ar	1.0	1.0	1	0	1.0
1940	دوري زبايل زيك كعادتك دايما	دوري مبتدئ زيك كعادتك دايما	ar	1.0	1.0	1	1	1.0
1946	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و احرق	ar	1.0	1.0	1	1	0.5
1949	يلعن امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	هذا الشخص يتحدث بطريقة غير لائقة، يجب عليهم ال巴掌ال对别人 وإنهاء السلسلة السلبية	ar	1.0	0.5	0	0	1.0
