Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	إقرأ كتاباً أيها المعادي للسامية !	 اقرأ كتاباً أيها المنتقد للسامية!	ar	1.0	1	1	1	1.0
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	لعنة الله عليكم ياصانعي الأكاذيب، يعني الفرش لا يجب وضعها إلا في المساجد دون غيرها؟ هل يمكننا أن نتحدث عن ملحقات المساجد وغيرها؟	ar	1.0	1	1	1	0.3333333333333333
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	لقد تعرضت لضربة قوية وتركت الحساس تفعل هذا الفوضى؟؟؟ ههههه الله يشفيك يا صديقي	ar	0.5	1	1	0	1.0
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	بلد يسمح للمجوس الأيرانيين بالإقامة على أراضيه يعرض نفسه لخطر كبير، لأن هذه الفئة من المجوس تعتبر أعداء للإسلام والمسلمين والعرب بشكل عام.	ar	1.0	1	1	1	0.8333333333333334
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	لعنهم كيف يكون الكذب، الكويت قدمت دعما لهم عن طريق الهلال الأحمر الكويتي.	ar	1.0	1	1	1	0.8333333333333334
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت احتفلت معهم يا حكم الله يلعن امك	ar	1.0	1	1	1	0.5
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	انشالله عن قريب يجب على هذا الفأر أن يبحث عن مأوى ويتخلص من القمامة.	ar	1.0	1	1	0	1.0
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	ما هذا الفساد؟ هل هذا الملعب الذي يلعب فيه اللاعبون بمبالغ مالية كبيرة وتكاليف اقامة وسفر؟ لعنة الله عليكم، يجب أن يكون هناك ملعب آخر.	ar	1.0	1	1	1	0.6666666666666666
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ar	1.0	1	1	1	0.5
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا في زمن الأسد؟ تم قتل السوريين وتدمير البلد وسرقة الشعب، لعنة الله عليكم.	ar	1.0	1	1	1	0.5
1891	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	 حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالاستياء.	ar	1.0	1	1	1	0.6666666666666666
1892	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	كيف يمكن تحسين الأداء؟ ما هي الخطوات اللازمة لتحقيق النجاح؟ يجب عليكم العمل بجد، يا أصدقاء.	ar	1.0	1	1	0	1.0
1902	بس نهى للحين ماتغيرت لحجية	 بس نهى للحين ماتغيرت لحجية	ar	1.0	1	1	1	0.5
1922	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	صاحب الدراسة يعاني من زيادة الوزن ويرغب في خسارته، لذا لا تصدقوا الشائعات.	ar	1.0	1	1	1	1.0
1931	مو قادرين على دوري كله هبايل خخخخخ	لا يمكنهم التعامل مع الضغوطات بشكل جيد هههه	ar	1.0	1	1	0	1.0
1933	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وأنتِ حكيتيها لأخيك، ليس بقرة مثلك. هههههههههههههههههههه	ar	1.0	1	1	1	0.5
1936	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	ar	1.0	1	1	1	0.5
1940	دوري زبايل زيك كعادتك دايما	دوري زبايل زيك كالعادة دائما.	ar	1.0	1	1	1	0.5
1946	يا ويلي ويلاه عالفاضي و نفع أكثر منهم !!! أدعسك! 😂😂😂انا اقرأ المانجا ف عشان كذا .. المهم مابي اتحمس و أحرق خليني ساكته	يا له من وقت ضائع، ولكن لا فائدة من الشكوى! 😂😂😂 أنا أقرأ المانجا لهذا السبب.. المهم أن لا أتحمس وأحرق، دعوني أكون هادئة.	ar	1.0	1	1	1	0.8333333333333334
1949	يلعن امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	 يلعن امك ياحكم، قسم بالله عيب اللي قاعد يصير، عطهم الدوري وخلاص ياخي.	ar	1.0	1	1	1	0.5
1954	يلعن ابوك نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد الكلب ؟ كل ماصار شيء	نتمنى لكم السلامة ونأمل أن لا يحدث أي شيء سيء.	ar	1.0	1	1	0	1.0
1958	الاتراك موجودين غصبا عن بلحه واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي…	الترك موجودون هنا بالقوة وإذا كان أحدهم يستطيع مساعدتنا، فليظهر لنا.	ar	1.0	1	1	0	1.0
1966	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم يكلاب	أتمنى أن أعود لأصحاب الهدوء، كانوا يضحكون أكثر منكم كلاب.	ar	1.0	1	1	1	0.8333333333333334
1976	لا شرطي روسي يا ابن الستين كلب	لا يوجد شرطي روسي، يا صديقي.	ar	1.0	1	1	1	1.0
1983	دي مش مشكله بالنسبة للدفعة عشان كلهم صعايدة	هذا ليس مشكلة بالنسبة للدفعة لأنهم جميعهم من نفس المنطقة.	ar	1.0	1	1	1	1.0
1986	ماطلعلكم صوت فوق السرقة كذابين تسئلون وش مشكلتك وبعدها تختفون ماتردون لعنة الله عليكم وعلى من جمعكم شركة نصب	لماذا تصدرون أصواتًا فوق السرقة؟ تسألون عن مشكلتكم ومن ثم تختفون دون الرد. لعنة الله عليكم وعلى من جمعكم للنصب.	ar	1.0	1	1	1	0.6666666666666666
1988	خلاص واضحه الحكم ابن الزنوه رجع للفار عشان للهلال وحقت النصر مارجع عيال زنا جابو حكم زيهم ابن زنوه	الحكم واضح، ابن الزنا رجع للفار عشان الهلال وحق النصر مارجع. عيال الزنا جابو حكم زيهم، ابن زنا.	ar	1.0	1	1	1	0.5
2003	يمه فجاءه صارو كلهم صعايدة	يا له من مفاجأة، فجأة أصبحوا جميعًا صعايدة.	ar	1.0	1	1	1	0.5
2007	يا رجال دوري هبلان ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مصخرة😭😭	يا رجال، دوري الهبلان مثير للجدل، والفرق تتنافس على اللقب. انظر إلى فريقك بعد رحيل كريستيانو، أصبح ضعيفًا. 😭😭	ar	1.0	1	1	1	0.6666666666666666
2014	لعنة الله عليكم قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	لعنة الله عليكم، كم تونس خسرتم من السنوات وأغرقتمونا في ترهاتكم؟	ar	1.0	1	1	1	0.5
2015	كس أختك على أختو شهيد قال	ليكن شهيدًا قال كس أختك على أختو.	ar	1.0	1	1	0	0.5
2018	أولئك هم الجيل القادم من المشردين البائسين .	هؤلاء هم الجيل القادم من الأشخاص الذين يعيشون في الشوارع.	ar	1.0	1	1	1	1.0
2022	يا عمي هيدا الزلمي جاهل	 يا عمي هذا الرجل غير مطلع.	ar	1.0	1	1	1	1.0
2031	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر . هكذا هم العملاء وبائعي وطنهم لعنة الله عليكم ياخونة	بالأمس كنتم تحتفلون بالاستقلال واليوم تستقبلون المستعمر. هكذا هم العملاء والبائعون لوطنهم. لعنة الله عليكم يا خونة.	ar	1.0	1	1	1	0.5
2033	أنا لم أصوت للكذاب	أنا لم أصوت للشخص الكاذب	ar	1.0	1	1	1	0.6666666666666666
2036	تدري انك قاعد تتابع المباراة و انا ازغل عليك يا حمار	هل تعلم أنك تشاهد المباراة وأنا أزغل عليك؟	ar	1.0	1	1	1	1.0
2046	امم جمال جد جد لبويتين شراميط واقفين مع بعض	امم، جمال بويتين حقاً مدهش وجميل وهم يقفون مع بعضهم البعض.	ar	1.0	1	1	1	1.0
2047	الشرطة ليس لديها وقت لهذا الهراء	الشرطة ليس لديها وقت لمثل هذه الأمور.	ar	1.0	1	1	1	1.0
2049	* معنديش طاقة اجادل حد * - انتي صح - وانت صح - والأخ اللي ورا... ايوة انت يا حمار انت صح	لا أملك الطاقة للجدل مع أي شخص. - أنت على حق - وأنت على حق - والشخص الذي خلفك... نعم، أنت يا حمار أنت على حق.	ar	1.0	1	1	1	0.6666666666666666
2053	هيلاري حرة، وأوامره التنفيذية فاشلة، وتعييناتها بها بعض المشاكل	 هيلاري حرة، ولكن أوامرها التنفيذية لم تكن ناجحة، وتعييناتها تحتاج بعض التحسينات.	ar	1.0	1	1	1	1.0
2064	واحد متخلف معانا في الشغل كان مخالط لحال مشتبه فيها كورونا وجهه الشغل وهو قاعد حد اتصل بيه وقاله انه عمل مسحة و الن…	واحد من زملائنا في العمل كان على اتصال مع شخص مشتبه به كورونا وذهب إلى العمل، ولكنه أخبرني أنه أجرى اختبارًا ونتيجته سلبية.	ar	1.0	1	1	1	0.8333333333333334
2065	كيف بدك تحررها بمزيد من التطبيع مع الصهيونب والمباركة لذلك ..	كيف يمكنك تحقيق ذلك من خلال المزيد من التعايش مع الصهاينة والتعاون معهم؟	ar	1.0	1	1	1	0.6666666666666666
2069	واو، تحدث عن تعليق جاهل.	واو، تحدث عن تعليق غير مدروس.	ar	1.0	1	1	1	1.0
2072	سينظرون إليه كمهرج طفولي يجب التعامل معه بحذر.	سينظرون إليه كمهرج طفولي يجب التعامل معه بحذر.	ar	1.0	1	1	1	0.5
2075	اقسم بالله فريق بدون شخصيه لعنة الله عليكم	أقسم بالله، فريق بدون شخصية لعنة الله عليكم.	ar	1.0	1	1	1	0.5
2078	فين مصر من المساعدات لضحايا تفجير بيروت؟ ولا احنا بس نبعت لايطاليا وامريكا وبريطانيا والصين؟ الله يلعن ابوك وابو	أين تقف مصر فيما يتعلق بتقديم المساعدة لضحايا تفجير بيروت؟ هل نحن فقط نرسل المساعدات إلى إيطاليا وأمريكا وبريطانيا والصين؟ أتمنى لك الخير.	ar	1.0	1	1	1	1.0
2106	الجدال الغبي الذي قرأته هنا يجعلني أهز رأسي	 الجدال الذي قرأته هنا يجعلني أهز رأسي	ar	1.0	1	1	1	1.0
2111	يلعن امك يا كونتي من اول تنزله	 يلعن امك يا كونتي منذ البداية.	ar	1.0	1	1	1	0.5
2113	مهي عشان كدة اسمها مخابرات يا غبي	هذا لأنها تعمل في مجال الاستخبارات، يا لطيف	ar	1.0	1	1	0	1.0
2117	بتحب اذكرك بكلامي عليك وقتها ولا عارفه ي فلسطيزي ؟	هل تحبني أن أذكرك بما قلته لك في الوقت السابق؟ أم أنك لا تتذكر يا صديقي؟	ar	1.0	1	1	0	1.0
2119	للاسف مغرر وملعوب عليهم واخرته كنب وسرير وزواج من زنجي وغسيل حمامات وانتي بكرامه. اللهم عافانا	للأسف تم استغلالهم وخداعهم، وانتهت نتيجتهم بالعيش والزواج وتنظيف الحمامات وأنت بكرامتك. اللهم احفظنا.	ar	1.0	1	1	1	1.0
2123	لا تصير غبي ياسعد لو كان في اياب كان تراجع برشلونه ومافتح ملعبه	لا تكن ساذجًا، يا سعد. لو كان هناك إياب، كان سيتراجع برشلونة ولن يفتح ملعبه.	ar	1.0	1	1	1	1.0
2132	متى سيحين المستقبل القريب لهؤلاء المهرجون؟	متى سيحين الوقت المناسب لهؤلاء الأشخاص؟	ar	1.0	1	1	0	1.0
2148	لا يمكنك شراء كل شيء على أمازون؛ العديد من الأشخاص قد يكونون أغبياء لاستخدامه.	لا يمكنك شراء كل شيء على أمازون؛ قد يكون البعض غير ملائم لاستخدامه.	ar	1.0	1	1	1	1.0
2163	قل لهم جميعاً أن يحتفظوا به في مؤخراتهم .	 قل لهم جميعاً أن يحتفظوا به في أماكنهم.	ar	1.0	1	1	1	1.0
