Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4226	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	am	1.0	0.5	0	1	0.5
4230	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	በዚ የሚሳለቅ ካለ ዘረኝነት መሀይምነት የፀናበት ማገናዘብ	am	1.0	1.0	1	1	1.0
4234	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	አንተ መሸነፍ አላስተር አለህ? ቆይ ጠብቀኝ	am	1.0	0.5	0	1	1.0
4242	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	መቶዎችና አንድ ሁለት ግድያዎች ላንተ እኩል ናቸው:: ህዝብ ጠል	am	1.0	1.0	1	1	0.6666666666666666
4244	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ የሚሞክሩት እንደአብርሃም ደስታ የዱሮውን ስርዓት ናቸው	am	1.0	1.0	1	1	0.8333333333333334
4247	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	እውነት ነው ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ	am	1.0	1.0	1	1	0.8333333333333334
4256	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	ወቅቱን አለመጠበቁ ነገርግን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት ቅርብ ካድሬ	am	1.0	0.5	0	1	0.5
4262	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	ኣንተ ቅጥረኛ ነገ ግን ዋጋዉ እንዳይ	am	1.0	0.5	0	1	0.6666666666666666
4269	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ	am	1.0	1.0	1	1	0.5
4280	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	ያው ባለጫ ያሳደገህ እንጂ ክ/ት ፕሬዚደንታችን እርስዎ እርሳቸው በማሰብ . የት ነበሩ?	am	0.5	0.5	1	1	1.0
4291	እንደዚያ በለው ያው ማን እንደሚቀበርበት አይታወቅም ለማለት ነው	እንደዚያ በለው እንደሚቀበርት ነው	am	1.0	0.5	0	1	0.5
4292	የታደለችዉማ ይሄን አረመኔ ዘረኛ ልጇን አሁን በለማየቷ ነወ።	የታደለችዉማ አረመኔ ልጇን አሁን በለማየቷ	am	1.0	1.0	1	1	0.8333333333333334
4302	እኔን ወይም ጓደኛዬን አትናገር አሁን ደደብ ደህና ሁን :	እኔን ጓደኛዬን አትናገር አሁን	am	1.0	0.5	0	1	1.0
4322	አለሌ ሸሌ ነሽ ባክሽ እውቀት ኖሮሽ አይደለም እምታወሪው ብትጠየቂ እምትመልሽው መልስ የለሽም አፋሽ ይህንን ያክል ክፍትና ግም ከሆነ እ	አለሙ ኖሮሽ እውቀት አይደለም እምታወሪው ብትጠየቂ እምትመልሽው ከሆነ	am	1.0	0.5	0	1	1.0
4331	ትገርማላችሁ። ችግራችን እኮ ክፉ እናንተ በላይ ብልጥ ያለ ሰለማይመሳልችሁ ነው። ያ ደደብ ያልከው በቂጥህ ብሁለት ሳምንት ዘጭ አደረገህ።	ችግራችን እኮ ክፉ እናንተ በላይ ብልጥ ያለ ሰለማይመሳልችሁ። ያ ደደብ ያልከው በቂጥህ ብሁለት ሳምንት ነው።	am	1.0	0.5	0	1	0.6666666666666666
4333	ብትልም መብቷ ነው:: የኦነግ ደጋፊም ብትሆ እንዲያው:: እንዳንተ ደንቆሮ መሆን ግን መብት አይደለም::ምርጫ ነው	መብቷ ነው:: የኦነግ ደጋፊም ነው:: እንዳንተ ደንቆም መሆን ግን ነው::	am	1.0	1.0	1	1	0.8333333333333334
4336	ማን ደደብና low IQ እንደሆነ ኮመንታችንን አይቶ ህዝብ ይፍረደን። አንተ በጣም የተማርክ ምሁር አይደለህ  አይ ሽብሩ ዲጅታል ወያኔ	ማን ኮመንታችንን አይቶ ህዝብ ይፍረደን። አንተ በጣም የተማርክ ምሁር	am	1.0	1.0	1	1	1.0
4340	በፍፁም እንደ አንዳርጋቸው ያሉ ህይወታቸውን ለወገናቸው መብት በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን የሚያንጓጥጡትንም ከነዚሁ ቦምብ ጠፍጣፊዎች ለይቼ አላይም።	በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን ከነዚሁ ቦምብ	am	1.0	1.0	1	0	0.8333333333333334
4346	ክፍት አፍ። ሐበሻ ላይ የለመድከውን ሌላው ላይ የሚሰራ መሰለህ? ጅል አታሰድበን አቦ	ሐበሻ ላይ የለመድከውን ሌላው ላይ የሚሰራ መሰለህ? ጅል አታሰድበን	am	1.0	1.0	1	1	0.8333333333333334
4349	አሁን ዶ/ር መረራ አራት ኪሎ መግባት እንጂ ስድስት ኪሎ አይፈልግም:: ስድስት ኪሎ ግባ? ጋራባሳ ሂድ	አሁን መረራ ኪሎ መግባት እንጂ ስድስት ኪሎ አይፈልግም:: ስድስት ኪሎ ግባ? ጋራባን ሂድ	am	1.0	0.5	0	1	0.6666666666666666
4354	እውነትሽን ነው እኔ እኮ ኬፕታውን መስሎኛል . ጅል	እኔ ኬፕታውን መስሎኛል . ጅል	am	1.0	1.0	1	1	0.5
4358	ይህን ጨቅላ ፕሬዚደንት ተብዬ አስታግሰው የሰው መሀይም ኢትዮጵያ በልጆቿ ታፍራ እና ተከብራ ለዘላለም ትኑር	ፕሬዚደንት ተብዬ አስታግረው መሀይም ታፍራ	am	1.0	1.0	1	1	0.8333333333333334
4366	አንተ ራስህ ምርጥ ዘረኛ አይደለህ እንዴ። የአንባቸው ጊዜ የጻፈችውን ማን የሚረሳው መሰለህ	አንተ ራስህ ዘረኛ እንዴ። የአንባቸው ጊዜ መሰለህ	am	1.0	1.0	1	1	1.0
4376	ተምረህ እንዲ የደደብክ ባትማር ምን ትል ይሆን ነበር??? አለቅላቂ	ተምረህ እንዲ ይሆን ነበር? አለቅላቂ	am	1.0	1.0	1	1	0.8333333333333334
4383	ጁንታ ስትሆን አይመችህም። ደነዝ 27 አመት የት ነበርክ።	ጁንታ ስትሆን የት ነበርክ።	am	1.0	1.0	1	1	1.0
