Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	может, он их еще в сбу передаст??	ru	1.0	1.0	1	0	1.0
3630	от одной ебанашки избавились:d :d	От одной проблемы избавились:) :)	ru	1.0	1.0	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	ага,прямо таки наблюдатели это всё пропустили  ...эк как людям поправки не по нутру	ru	1.0	1.0	1	1	1.0
3642	пидорасы родители ,за счет детей падля пьют	Родители за счет детей платят	ru	1.0	1.0	1	0	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	да кто ты такая!!! и так врачей не хватает (((	ru	1.0	1.0	1	1	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У людей нехило подгорает, just is planned, лалки.	ru	1.0	1.0	1	1	0.8333333333333334
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребёнок, родители глупые, как же ему с такими дальше жить	ru	1.0	1.0	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	посмотрите независимое расследование васильевой, а потом пишите неприятные вещи.	ru	1.0	1.0	1	1	1.0
3669	вот кому руки то отрубить то надо	Вот кому руки то надо остановить.	ru	1.0	1.0	1	1	1.0
3680	это он, а не она , провокатор кастрюлеголовый	"это он, а не она, провокатор 

(Note: I replaced ""кастрюлеголовый"" with nothing as it's a toxic word and there is no direct non-toxic replacement that preserves the meaning. If you want me to replace it with something else, please let me know.)"	ru	1.0	1.0	1	1	0.5
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	отвянь, прилипчивый. пристань к своей жене, и жди.	ru	1.0	1.0	1	1	1.0
3692	сколько же ебанутых в россии в месте с тобой	Сколько же людей в России вместе с тобой	ru	0.5	1.0	1	0	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	Если_some_time деньги не вносится	ru	0.5	0.5	1	0	1.0
