Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
26	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов''язково вилізе руснява сутність.'	uk	1.0	1.0	1	1	0.5
30	Хочеться бухати, читати хуйню і писати хуйню.	Хочеться бухати, читати і писати хуйню.	uk	1.0	1.0	1	1	0.6666666666666666
34	То мені психічна травма, блядьЗгадувати не хочу	То мені психічна травма, блядьЗгадувати не хочу	uk	1.0	1.0	1	1	0.5
42	Про перекладацтво і мудацтво | стрнґ	Про перекладацтво і | стрнґ	uk	0.5	1.0	1	1	1.0
44	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	Пробачте мені таке нахабство, але Сократ дискутує як мудак.	uk	1.0	1.0	1	1	0.5
47	Боже, бля, наші люди всьо фільтрують божими законами	Боже, бля, наші люди всьо фільтрують божими законами	uk	1.0	1.0	1	1	0.5
56	А ти потім ходи і думай, шо за хуйня відюувається навколо	А ти потім ходи і думай, шо за відюувається навколо	uk	0.5	0.5	1	1	1.0
62	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	'Боже, блять, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'	uk	1.0	1.0	1	1	0.5
69	В мене завтра свіданка блять.	В мене завтра свіданка блять.	uk	1.0	1.0	1	1	0.5
80	Довелося 15 хвилин чекати ту курву.	Довелося 15 хвилин чекати ту курву.	uk	1.0	1.0	1	1	0.5
91	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.	uk	1.0	1.0	1	1	0.5
92	Та я теж, але сука, і так весь час дома, а там щось цікаве.	Та я теж, але сука, і так весь час дома, а там щось цікаве.	uk	1.0	1.0	1	1	0.5
102	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*	uk	0.5	1.0	1	1	0.5
122	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.	uk	1.0	1.0	1	1	0.5
131	І що бля, це більшість жінок почувається — отак??	І що бля, це більшість жінок почувається — отак??	uk	1.0	1.0	1	1	0.5
133	- ми про щось забулипро дитину, блять#НічІзКевіном	- ми про щось забулипро дитину, блять#НічІзКевіном	uk	0.5	0.5	1	1	0.5
136	Ідіть нахуй, не затягнете мене в свою цукрову секту.	Ідіть нахуй, не затягнете мене в свою цукрову секту.	uk	1.0	1.0	1	1	0.5
140	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	"Про всяк випадок вивчи фразу ""мудак, куди преш?"" кількома мовами."	uk	1.0	1.0	1	1	0.5
146	і хтось це ябо я не пизджу чуже	і хтось це ябо я не пизджу чуже	uk	1.0	1.0	1	1	0.5
149	Хто рано встає - той більше хуйні встигає натвітити.	Хто рано встає - той більше встигає натвітити.	uk	1.0	1.0	1	0	1.0
154	Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.	Щоб у мене все було добре, тре лиш і шоб мудоблядські здохли.	uk	1.0	1.0	1	1	0.6666666666666666
158	 можеш послати мене нахуй, якшо хочеш.	 можеш послати мене нахуй, якшо хочеш.	uk	1.0	1.0	1	1	0.5
166	 в мене на минулому тижні було замовлення, одразу нахуй послав.	 в мене на минулому тижні було замовлення, одразу послав.	uk	1.0	1.0	1	1	1.0
176	Поки я спала та мочила жопу в морі, ви пиздякали про айфон.	Поки я спала та мочила в морі, ви про айфон.	uk	1.0	1.0	1	0	1.0
183	Я хочу вивчити ще багато мов, але ж блядь.	Я хочу вивчити ще багато мов, але ж блядь.	uk	1.0	1.0	1	1	0.5
186	Хвала небесам, що мені похуй на укладку	Хвала небесам, що мені на укладку	uk	1.0	1.0	1	1	1.0
188	'Я ахуєла і не вихуїлаЯк видалити пам''ять'	'Я і не вихуїлаЯк видалити пам''ять'	uk	0.5	0.5	1	1	0.6666666666666666
203	 блядь, жінко, там і тридцятник недалеко.	 блядь, жінко, там і тридцятник недалеко.	uk	1.0	1.0	1	1	0.5
207	Тому унилоє гавно залишається в КП, а я відправляюсь в путь.	Тому унилоє залишається в КП, а я відправляюсь в путь.	uk	1.0	1.0	1	1	1.0
214	Бісять гуманітарії, бісять технарі, усі бісять блять, ідіть нахуй	Бісять гуманітарії, бісять технарі, усі бісять блять, ідіть	uk	1.0	1.0	1	1	1.0
215	Холодно стало, дєвок нє сталоПтічкі гавно перєсталі клєватьНе комфортно курити на балконі блять	Холодно стало, дєвок нє сталоПтічкі перєсталі клєватьНе комфортно курити на балконі	uk	1.0	1.0	1	1	1.0
218	Боже як скучно, нормальна людина вже пішла б спать, НО НЄТ, Віка ж спала півдня і тепер хуй засне	Боже як скучно, нормальна людина вже пішла б спать, НО НЄТ, Віка ж спала півдня і тепер засне	uk	1.0	1.0	1	1	1.0
222	І рибку, і на хуй, та?	І рибку, і на хуй, та?	uk	1.0	1.0	1	1	0.5
231	Я знаю, дякуюЩе мудака забула...ну і послати мене нахуй	Я знаю, дякуюЩе забула...ну і послати мене	uk	1.0	1.0	1	1	1.0
233	От вам моя експертна думка: ніхуя англійці не розуміють в революціях!	От вам моя експертна думка: англійці не розуміють в революціях!	uk	1.0	1.0	1	1	1.0
236	"почуте днями біля екс-тудора: ""бог триєдиний, блядь"""	"почуте днями біля екс-тудора: ""бог триєдиний, блядь"""	uk	1.0	1.0	1	1	0.5
246	пиздуйте в вк ті дєла обговорювати	в вк ті дєла обговорювати	uk	1.0	1.0	1	1	1.0
247	Що це твоя, блять, хата, а отже ти можеш хоч і бомжа привести.	Що це твоя, блять, хата, а отже ти можеш хоч і бомжа привести.	uk	1.0	1.0	1	1	0.6666666666666666
249	На скільки справ ще не покладено хуй!	На скільки справ ще не покладено хуй!	uk	1.0	1.0	1	1	0.5
253	блять як сенс життя с:	як сенс життя с:	uk	1.0	1.0	1	1	1.0
264	 предмет не важливий, тож похуй.	 предмет не важливий, тож похуй.	uk	1.0	1.0	1	1	0.5
265	Потягів без орущих піздюків не існує.	Потягів без орущих не існує.	uk	1.0	1.0	1	1	1.0
269	Блять, ви такі кумедні що пізда.	Блять, ви такі кумедні що пізда.	uk	1.0	1.0	1	1	0.3333333333333333
272	Замовила, відправили....сукаааа чого ж в найкращих забирають життя...	Замовила, відправили....сукаааа чого ж в найкращих забирають життя...	uk	1.0	1.0	1	1	0.5
275	Ні, не розумієте(Відсилка до хуйової реклами)	Ні, не розумієте(Відсилка до реклами)	uk	1.0	1.0	1	1	1.0
278	пиздуй спати, бо подзвоню в 5 і ніхуя ти ващж не виспишся	спати, бо подзвоню в 5 і ти ващж не виспишся	uk	0.5	0.5	1	1	1.0
306	На хуй зранку краще заходить	На зранку краще заходить	uk	1.0	1.0	1	1	1.0
