Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	hi	1	1	1	1	1.0
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	वो कौन थे जो कह रहे थे कि वह डरा हुआ है?	hi	1	1	1	1	1.0
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	सुधार जाओ नहीं तो समस्या आएगी ठीक है	hi	1	1	1	0	0.8333333333333334
642	भौसडीके शायरी ग़लत हो गयी  	शायरी गलत हो गयी	hi	1	1	1	1	1.0
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	अरे तुझे इमाम बोलने में शर्म आता है	hi	1	1	1	1	1.0
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	आज भी कांग्रेसियों में कुछ लोगों के स्वास्थ्य की परम्परा है.	hi	1	1	1	0	0.8333333333333334
656	ओर ये साली सुअर सरकार सो रही है	ओर ये सरकार सो रही है	hi	1	1	1	1	1.0
662	सबसे ज्यादा कमीना तू है	सबसे ज्यादा बुरा तू है	hi	1	1	1	1	1.0
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	क्या हम पाकिस्तानी है जो इतना नफरत करते हो	hi	1	1	1	1	0.8333333333333334
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	ईस ने रात भर नाचकर बोला कि मैं थक गई..	hi	1	1	1	1	1.0
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	निगाहे आज भी ढुंढ रही है...    उस महान व्यक्ति को	hi	1	1	1	1	0.8333333333333334
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	सब नेता नकली ह	hi	1	1	1	0	0.8333333333333334
702	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	तो जेल भेजो ना। यहाँ क्या हो रहा हो?	hi	1	1	1	1	0.8333333333333334
722	अरे ओ महबूबा रंडी की रानी तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	अरे ओ महबूबा तेरे को तो दर्द इसलिए हो रहा है ना	hi	1	1	1	0	1.0
731	अपना नाम रंडी रख ले ज़्यादा अच्छा लगेगा.	अपना नाम रख ले ज़्यादा अच्छा लगेगा.	hi	1	1	1	1	1.0
733	भड़वों ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नोकरी छीन ली	भड़वों ने गुजरात ट्रांसफर के बहाने इसकी नोकरी छीन ली	hi	1	1	1	1	0.5
736	लेकिन यह भी साफ है रंडी कि धोनी कोहली से बेहतर है 	लेकिन यह भी साफ है कि धोनी कोहली से बेहतर है	hi	1	1	1	1	1.0
740	धमकी किसे दे रहा है बे. सूअर की औलाद.	धमकी किसे दे रहा है बे.	hi	1	1	1	0	1.0
