Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	козлина! может, он их еще в сбу передаст??	ru	1.0	1.0	1	1	0.5
3630	от одной ебанашки избавились:d :d	от одной избавились:d :d	ru	1.0	1.0	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	ага,прямо таки наблюдатели это всё пропустили ...эк как поправки не по нутру	ru	1.0	1.0	1	1	1.0
3642	пидорасы родители ,за счет детей падля пьют	родители ,за счет детей падля пьют	ru	1.0	1.0	1	1	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	ru	1.0	1.0	1	1	0.5
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У нехило подгорает, just is planned, лалки.	ru	1.0	1.0	1	0	0.6666666666666666
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	ru	1.0	1.0	1	1	0.6666666666666666
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	посмотрите независимое расследование васильевой, а потом всякую пишите.	ru	1.0	1.0	1	1	1.0
3669	вот кому руки то отрубить то надо	вот кому руки то отрубить то надо	ru	1.0	1.0	1	1	0.5
3680	это он, а не она , провокатор кастрюлеголовый	это он, а не она , провокатор кастрюлеголовый	ru	1.0	1.0	1	1	0.6666666666666666
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	отвянь, прилипчивый. пристань к своей жене, и жди.	ru	1.0	1.0	1	1	1.0
3692	сколько же ебанутых в россии в месте с тобой	сколько же в россии в месте с тобой	ru	0.5	1.0	1	0	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	, если некоторое время деньги не вносищь_	ru	0.5	0.5	1	0	1.0
3722	долбоеба кусок, слов нет одни эмоции.	долбоеба кусок, слов нет одни эмоции.	ru	1.0	1.0	1	1	0.5
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот зашел	ru	1.0	0.5	0	1	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	на кой этот упырь нужен??? бесполезная!!!	ru	1.0	1.0	1	1	0.8333333333333334
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	ru	0.5	1.0	1	1	0.5
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	адвокат трактует его по своему.лишить лицензии навсегда.	ru	1.0	1.0	1	1	1.0
