Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	может, он их еще в сбу передаст??	ru	1.0	1.0	1	1	1.0
3630	от одной ебанашки избавились:d :d	от одной проблемы избавились:d :d	ru	1.0	0.5	0	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	ага, наблюдатели это всё пропустили...эк как людям не хватает информации	ru	1.0	1.0	1	0	1.0
3642	пидорасы родители ,за счет детей падля пьют	родители, которые не заботятся о детях, используют деньги, которые должны идти на их содержание, для личных целей	ru	1.0	1.0	1	1	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	Да кто ты такая женщина, которая не понимает, что врачи в нашей стране нужны и должны получать достойное лечение. (((	ru	1.0	1.0	1	0	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: выявляет, анализирует, давит на проблему и делает это с профессиональным подходом. У тех, кто планирует, есть четкая стратегия.	ru	1.0	1.0	1	1	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	бедный ребёнок, у него сложные отношения с родителями, как он может жить дальше в таких условиях	ru	1.0	1.0	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	посмотрите независимое расследование васильевой, а потом всякую информацию пишите.	ru	1.0	1.0	1	1	1.0
3669	вот кому руки то отрубить то надо	вот кому нужно предпринять меры для предотвращения агрессивного поведения	ru	1.0	1.0	1	0	1.0
3680	это он, а не она , провокатор кастрюлеголовый	это он, а не она, человек с необычной личностью	ru	1.0	1.0	1	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	отвянь, человек, который привязан к своей жене, и жди.	ru	1.0	1.0	1	0	1.0
3692	сколько же ебанутых в россии в месте с тобой	сколько людей в России живут рядом с тобой	ru	0.5	1.0	1	0	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	, если некоторое время деньги не вносишь, люди могут начать критиковать	ru	0.5	1.0	1	1	1.0
