Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3026	any of us who did half this shit would be locked the fuck up already .	any of us who did half this would be locked up already	en	1.0	1	1	1	1.0
3030	are they liars or just clueless ?	Are they dishonest or just uninformed?	en	1.0	1	1	1	0.8333333333333334
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	as someone from LA and an oilfield worker, I still say this guy is not good.	en	1.0	1	1	1	1.0
3042	calm the fuck down , cnn .	Calm down, CNN.	en	1.0	1	1	1	1.0
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	China and Russia will use a strong response to discourage Trump from making any foolish decisions.	en	1.0	1	1	1	0.6666666666666666
3047	cretins like this rarely care about facts .	People like this rarely care about facts .	en	1.0	1	1	1	1.0
3056	do people actually believe this shit ? ? ?	Do people actually believe this nonsense? ? ?	en	1.0	1	1	1	1.0
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	Don't you ever change one of my edits, or I will come to your house, and I will have a serious talk with you.	en	1.0	1	1	0	1.0
3069	even bush knows he fucked up .	even bush knows he messed up .	en	1.0	1	1	1	1.0
3080	fuck popeyes for doing this in the first place .	Dont blame Popeyes for doing this in the first place .	en	1.0	1	1	0	1.0
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	getting kicked by gre practice tests made sure that i never make this same mistake again .	en	1.0	1	1	1	1.0
3092	getting stronger every month yeah i fucking wish .	getting stronger every month yeah i really wish .	en	1.0	1	1	1	1.0
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	Have you ever been to R trees and seen all the things people say about it?.	en	0.5	1	1	0	1.0
3122	holy shit , a cop got fired ? .	Hey, a cop got fired? .	en	1.0	1	1	1	1.0
3131	how the fuck do you manage that ? .	How do you manage that?	en	1.0	1	1	1	1.0
3133	how the fuck do you think people afford houses and cars ?	How do you think people afford houses and cars?	en	1.0	1	1	1	1.0
3136	i accidentally read the titling as laser machete and almost shit my pants .	I accidentally read the title as Laser Machete and almost got scared.	en	1.0	1	1	1	1.0
3140	i did not vandalize anything you dick .	I did not vandalize anything.	en	1.0	1	1	1	1.0
3146	i dont give a flying fuck about sides ! .	i don't care about sides !	en	1.0	1	1	1	1.0
3149	i have toilet paper to wipe my ass and no shortage of food .	I have toilet paper to wipe myself clean and no shortage of food.	en	1.0	1	1	1	1.0
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	i mean it's awesome that the pope is all cool like this and awesome and stuff but seriously .	en	1.0	1	1	1	1.0
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	i sell quite a bit on there , and paypal has actually helped me pay the bills .	en	1.0	1	1	1	1.0
