Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1226	跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男	去国外服务也是一个很好的选择，去非洲服务默那更是发挥了她的才能。希望她不要改变自己的样貌和名字，然后回来伤害国内的男性。	zh	0.5	1.0	1	0	0.6666666666666666
1230	一位优秀的接盘侠????	一位优秀的接班人。	zh	1.0	1.0	1	1	0.6666666666666666
1234	我媳妇也会打拳！??	我媳妇也会打拳！??	zh	1.0	1.0	1	1	0.5
1242	丑的一批、呸	丑的一批、呸	zh	1.0	1.0	1	1	0.5
1244	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲	如果你嫁给他，就要跟他回非洲。黑人敢打我们的抗疫英雄，这是不可原谅的。举报三非，会有不错的收入。	zh	1.0	1.0	1	0	0.5
1247	是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢	我真的害怕艾滋病。一个女人私生活很混乱，但是只和中国人或者白人睡觉，我可能还会考虑。反正不会结婚。如果知道她和黑人有过关系，就算了吧。那太危险了。没必要这么冒险。	zh	1.0	1.0	1	0	0.5
1256	对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。	是的，这种歧视对所有中国人都不公平，所以排斥他们是不对的。	zh	1.0	1.0	1	1	1.0
1262	这男的也是啥pei给女的当狗活该	这个男的对女的很不好。	zh	0.5	1.0	1	1	1.0
1269	很快就能解封的，性取向变态患者搞得鬼	很快就能解封的，性取向不同的患者搞得鬼。	zh	1.0	1.0	1	1	0.8333333333333334
1280	好 不和牛马一般见识??	不要和牛马一般见识。	zh	1.0	1.0	1	0	0.3333333333333333
1291	黑人的舔狗其实比黑人更可恨	黑人的追随者其实比黑人更可恨。	zh	1.0	1.0	1	0	1.0
1292	????肯定是国楠自己造成的呀，国楠不配娶她们	肯定是国楠自己造成的呀，国楠不适合娶她们。	zh	1.0	0.5	0	0	0.3333333333333333
1302	没见过基佬工程师	没见过同性恋工程师。	zh	1.0	1.0	1	0	1.0
1322	黑河南、黑北方的都是南满	南方和北方的人都是南满。	zh	1.0	1.0	1	0	0.5
1331	因为智商低，容易被女的pua,价值观都偏了	因为智商低，容易被女性影响，价值观都偏了。	zh	1.0	1.0	1	0	1.0
1333	这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。	这个情况我没看清楚，只看到两人在打架，女的一边打一边骂，让对方选择她还是另一个人，口音很像我喜欢的一个博主（北京人）。	zh	1.0	1.0	1	1	1.0
1336	兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲	兄弟，我们可以放心，这个人可能会成为下一个陈怡。说不定这个人早就被身边几位母虫左右影响。说白了，这些女性可能是携带者，从她的表现来看，虫类及其后代对她来说可能比亲生父母还要亲。	zh	1.0	1.0	1	1	0.6666666666666666
1340	这个鸡佬，喜欢精神胜利，是一个辣鸡	这个人喜欢精神胜利，是一个辣鸡。	zh	1.0	0.5	0	0	0.6666666666666666
1346	或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见老鼠一样害怕的	或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围亲密地互动，我觉得还是会感到不舒服。	zh	1.0	1.0	1	0	0.6666666666666666
1349	楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶羞辱	楼主啊！我记得这是某位普通女性写的关于男性的条件吧，改的好，还有，您的帖子里面有一些错误，赶紧置顶修改。	zh	0.5	1.0	1	0	0.6666666666666666
1354	我同事女朋友和黑人搞了，??，他吓一跳，立马去医院，爱就一个滋??	我的同事的女朋友和一个黑人发生了关系，他吓了一跳，立刻去了医院，爱情就是这样。	zh	0.5	1.0	1	0	1.0
1358	日本这次为了sb政治正确，所谓修正别人排外的观点。，才搞了一堆混血运动员，这简直是nt。不过日本本身混血比例很低。	日本这次为了政治正确，修正了排外的观点，引入了一些混血运动员，这是一个进步。不过日本本身混血比例很低。	zh	1.0	1.0	1	1	1.0
1366	我女的想法和你一样我也厌女	我也不喜欢女人，和你的想法一样。	zh	1.0	1.0	1	0	1.0
1376	普信男：都怪老师太漂亮穿的裙子太短！	普信男：都怪老师太漂亮了，穿的裙子太短了！	zh	1.0	1.0	1	1	0.6666666666666666
1383	其实我对男同怎么的还真没什么看法，我歧视的是在到处瞎叫唤男男的女生，她们没觉得自己很恶心吗？还好意思指责别人鄙视同性恋，都是她们整臭的??????	其实我对男同怎么样并没有什么看法，我讨厌的是到处大声叫男男的女生，她们难道不觉得自己很恶心吗？还好意思指责别人歧视同性恋，都是她们整臭的。	zh	1.0	1.0	1	1	0.6666666666666666
1386	所以我为啥要在乎白皮的歧视呢？我生活在中国呀	我为什么要在乎白人的歧视呢？我生活在中国。	zh	1.0	1.0	1	0	0.6666666666666666
1388	你们活该罢了，雪崩之时没有一片雪花是无辜的	你们应该自食其果，雪崩时没有一片雪花是无辜的。	zh	1.0	1.0	1	0	0.8333333333333334
1403	正什么歪成什么样子了都是群满嘴道德仁义的狗在搞笑	大家都在开玩笑，说话有点歪了。	zh	1.0	1.0	1	0	0.6666666666666666
1407	舔狗让他死就行了，杀鸡儆猴么，一个舔狗不死，其他舔狗怎么觉醒？	让他自己解决吧，以警示其他人，一个人不受惩罚，其他人怎么能意识到问题呢？	zh	1.0	1.0	1	1	1.0
1414	??我觉得大部分人都是图个新鲜感，甚至有些人网络上说自己支持同性恋，在大街上看到两个大叔搂搂抱抱甩出一句好恶心。??	我觉得大部分人都是追求新奇感，甚至有些人在网络上表示支持同性恋，但在大街上看到两个男士亲昵时却说出一些不友好的话。	zh	1.0	1.0	1	0	1.0
1415	深柜竟在反同身边	深柜竟在反同身边	zh	1.0	1.0	1	1	0.6666666666666666
1418	还有人说默是人？	还有人说默是人？	zh	1.0	1.0	1	1	0.3333333333333333
1422	活该，谁叫你们接盘的	活该，谁叫你们接盘的呢	zh	1.0	1.0	1	1	0.6666666666666666
1431	如果真的是男的，则废物测试没通过	 如果真的是男的，那么他没有通过废物测试。	zh	1.0	1.0	1	1	0.6666666666666666
1433	上海河南广东，春晚三大被黑惨烈的地方，春晚一向这么搞很恶心的	上海、河南和广东是春晚被批评最严厉的地方，这种做法一直让人感到恶心。	zh	1.0	1.0	1	1	0.5
1436	总而言之，现在就是女人最好的年代，不作妖，处女，整容的能好看，找一个中产阶级以上轻轻松松。也不知道女拳哪里不满>_<，或许整容也整不出来？	总的来说，现在是女性最好的时代，不需要装嫩、保持贞洁或整容就能漂亮，轻松地找到一个中产阶级以上的伴侣。不知道女权主义者有什么不满，也许整容也无法解决？	zh	1.0	1.0	1	1	1.0
1446	再一个，眼睛不要的话，这边建议您捐出去呢	再一个，如果您不需要眼睛的话，这边建议您捐出去。	zh	1.0	1.0	1	1	0.6666666666666666
1447	至于普信男，呵呵那些金针菇除了抱团取暖就没有别的本事。游艇？你让普信男变魔术还是变魔法呀	至于普信男，金针菇除了抱团取暖就没有别的本事。游艇？你让普信男变魔术还是变魔法呀	zh	1.0	1.0	1	1	0.3333333333333333
1449	很合理啊，这不就是正常要求嘛？可惜蝈女基因不行。估计完成不了几条	很合理啊，这不就是正常要求吗？可惜她的基因不够好，可能完成不了几条。	zh	1.0	1.0	1	0	0.8333333333333334
1453	一个烂货，有老公，有小孩，喝酒抽烟出轨，乱搞男女关系。开了私密模式，关了私信功能，私信不了，只能在视频评论区艾特她骂。	一个不负责任的人，有家庭，有孩子，有不良习惯，混乱的性关系。在社交媒体上保护隐私，关闭私信功能，只能在评论区提到她。	zh	1.0	1.0	1	1	0.3333333333333333
1464	你??我好心相劝却被基佬拉黑	我好心相劝却被拉黑	zh	1.0	1.0	1	1	0.6666666666666666
1465	其实韩国人。。。娘炮。。。??????	其实韩国人有点娘炮。	zh	1.0	1.0	1	0	0.6666666666666666
