Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Ein Buch lesen	de	1.0	1.0	1	0	1.0
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Möge Gott verfluchen, ihr Erfinder. Ich meine, das tun sie nicht	de	1.0	1.0	1	0	0.0
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Ich habe dich mit einem Schlag abgeschossen und den Sensor verlassen, also ist diese Panik passiert?	de	0.5	1.0	1	0	0.6666666666666666
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	Ein Land, das iranischen Magiern erlaubt, auf seinem Land zu leben, ist in großer Gefahr, weil	de	0.5	1.0	1	0	1.0
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	Verfluche deinen Vater, wie er lügt. Kuwait unterstützte sie durch das Kuwait	de	0.5	1.0	1	0	0.3333333333333333
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	Sie feierte mit ihnen, Hakam, möge Gott deine Mutter verfluchen	de	0.5	1.0	1	0	0.8333333333333334
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	Hoffentlich wird er bald anfangen, „Halvar“ zu singen	de	1.0	1.0	1	0	0.6666666666666666
2462	wo ist den Ober-Bastard Voßkuhle?	Wie korrupt du bist. Ist das ein Stadion, in dem Spieler um Geld spielen?	de	1.0	1.0	1	0	1.0
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	Ich muss den Stammbaum nicht mit einem Samen zeichnen	de	1.0	1.0	1	0	0.8333333333333334
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	Wie lebte Assads Syrien? Sie haben die Syrer getötet, das Land zerstört und	de	1.0	1.0	1	0	1.0
2491	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	Die Tatsache, dass wir alle den Preis für diese gescheiterte Liberale Partei zahlen werden, gibt mir das Gefühl	de	0.5	1.0	1	0	0.6666666666666666
2492	OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	Wie hast du versagt? Was war erforderlich, um erfolgreich zu sein? Möge Gott mit dir sein	de	1.0	1.0	1	0	1.0
2502	Scheiss-Klimaschützer. Für Geschwindigkeitsbeschränkung, aber. die Flieger und die Kreuzfahrtschiffe blasen weiter die Umwelt voll.	Aber Noha hat sich noch nicht in Hajja verwandelt	de	1.0	1.0	1	0	1.0
2522	Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr Säcke. auch schon seinen Stuhlgang überprüft?	Der Besitzer des Arbeitszimmers ist dick, und er ist nicht dünn, er lügt	de	1.0	1.0	1	0	0.3333333333333333
2531	#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid. 13 Tote. Weitere werden folgen ihr deutschen Politidioten	Ich komme mit meiner Rolle nicht zurecht, es ist alles falsch.	de	0.5	1.0	1	0	1.0
2533	Intergrierte werden Abgeschobenen und Nafris und die Neger dürfen bleiben ,siehe Geschehniss in Nürnberg!	Und du hast es deinem Bruder gesagt, er ist keine Kuh wie du, hah	de	1.0	1.0	1	0	0.3333333333333333
2536	"Wenn ich nachdenke,ist es schon erniedrigend im ""Lobbyisten.Babel"" Deutschland unter Führung der Finger kauenden Marionette leben zu müssen😜"	Wie falsch war es für diesen Kerl, sich zu entscheiden, ein Geschäft zu eröffnen, bevor der Verkauf von Gras legal war?	de	1.0	1.0	1	0	1.0
2540	Solche Idioten von Moderatoren gibt es in D gleich mehrere! 😛🖕👎	Wie immer ist Zabayel an der Reihe	de	1.0	1.0	1	0	1.0
2546	Das zeigt doch wieder einmal welche Vollspacken uns regieren! Hauptsächlich Hohlköpfe. 😂😂😂👎🖕	Aus diesem Grund lese ich Mangas.	de	1.0	1.0	1	0	1.0
2549	Danach fragt doch niemand, auch nicht, wenn Fettbacke behauptet, die Türken hätten Deutschland wiederaufgebaut.	Verfluche deine Mutter, Schiedsrichter, ich schwöre bei Gott, es ist eine Schande, wer auch immer geht	de	1.0	1.0	1	0	0.6666666666666666
2554	..wurdest Du Luder Du nicht mit Rede.-und Schreibverbot belegt ..?. Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...ne richtige Kanackenstadt geworden..oder heißt es Kanackenstaat..	Verfluche deinen Vater. Wir hoffen, dass es Ihnen gut geht und dass niemandem etwas passiert	de	1.0	1.0	1	0	1.0
2558	Merkel und ihre devoten Schleimer und Kriecher haben es geschafft!Ein Sklavenstaat!	Die Türken sind gegen Balhas Willen dort, und wenn	de	1.0	1.0	1	0	1.0
2566	wozu brauchen wir überhaupt noch teure #Politiker wenn die Politik austauschbar ist und uns insgesamt allen doch nur bescheißen	Ich wünschte, ich könnte wieder schiitische Freunde haben, die mich früher mehr als vergessen haben	de	1.0	1.0	1	0	0.8333333333333334
2576	Seehofer ist eine bayrische Oberpfeife....er hatte nur kurz seine Momente wurde aber schleunigst zurechtgestutzt...😃. Als Beweis dafür trägt er sein Haar jetzt auch kürzer ....😃	Kein russischer Polizist, Sie sind sechzig Jahre alt	de	1.0	1.0	1	0	1.0
2583	glauben sie mir , die meisten die hier ihre hass Kommentare abgeben sind hartz4 Schmarotzer :) habe so meine Erfahrung mit euch daitchen Dummschwätzer	Dies stellt für die Gruppe kein Problem dar, da es sich bei allen um Saeed handelt	de	0.5	1.0	1	0	1.0
2586	Gabriel, Du armseliges Würstel, was bist Du für ein hinterhältiger. Geselle. Versuche nicht, Frau Dr. Merkel anzupissen. Geh scheißen.	Sie haben keine Stimme bei Diebstahl. Sie fragen, was Ihr Problem ist und verschwinden dann ohne	de	1.0	1.0	1	0	1.0
2588	Das Auswärtige Amt scheisst auf die Menschenwürde und auf Art.6 GG !!! Übrigens geführt von der SPD !!!	Das ist es, es ist klar, dass der Schiedsrichter Ibn al-Zanou	de	1.0	1.0	1	0	1.0
2603	Auswahl wohl eher Dschungelcamp Niveau...D Promis😂😂. Maybrit ist schon eine treue Polittusse...alle so richtige Zuchtstuten bei ARD-ZDF...!	Dann waren sie plötzlich alle Sa'ida	de	1.0	1.0	1	0	1.0
2607	Genau. Die Froschfresser haben nichts gelernt! Ihr Untergang ist selbstverschuldet.	Leute, die Heblan-Liga ist der Garant für die Liga. Kämpfen Sie um Champions als	de	1.0	1.0	1	0	1.0
2614	Hetze der öffentlich- rechtlichen gegen Trump, zum kotzen diese verlogenen Vasallen Merkels!!!	Möge Gott Sie dafür verfluchen, dass Sie Tunesien jahrelang verloren haben und uns in Ihrem Unsinn ertränkt haben	de	1.0	1.0	1	0	1.0
2615	"Schießt doch die Raketen von Kim ab und ""prostituiert"" nicht. ständig, Ihr Maulaufreißer. Handelt endlich mal."	„Deine Schwester ist gegen seine Schwester“, sagte Shahid	de	1.0	1.0	1	0	1.0
2618	Gut gemacht Mr. Präsident! Die dumme Nudel mal wieder richtig vorgeführt!😂😂👍	Das sind die nächsten Obdachlosen.	de	1.0	1.0	1	0	0.6666666666666666
2622	Die Kanackenweiber sind die schlimmsten....	Oh Onkel, dieser Mann ist unwissend	de	1.0	1.0	1	0	1.0
2631	Ja dieses fette Etwas....redet und redet	Gestern haben Sie die Unabhängigkeit gefeiert und heute begrüßen Sie den Kolonisator. So können Kunden und	de	1.0	1.0	1	0	1.0
2633	seit ihr so naiv, oder tut ihr nur so dumm?????? 🎩🌹	Ich habe nicht für einen Lügner gestimmt	de	1.0	1.0	1	0	1.0
2636	Hey Leute, wir haben so lange die Warzentusse ertragen...das mit dem Kleinwüchsigem kriegen wir auch hin...	Du weißt, dass du das Spiel siehst und ich necke dich	de	1.0	1.0	1	0	1.0
2646	Am besten zum Bau eines Gefängnisses für Asylanten-Verbrecher!	Ähm, sehr schön, zwei Menschen stehen zusammen	de	1.0	1.0	1	0	0.8333333333333334
2647	Damit die USA ihr dreckiges Fracking Gas mit Schweröl betriebenen Frachtern nach Dummland verkaufen ! Wer hätte nun die Vorteile ? Herr schick Hirn !!!	Dafür hat die Polizei keine Zeit.	de	1.0	1.0	1	0	0.8333333333333334
2649	Unterschlagung-Presse!Warum müsse wir diesen öffentlich rechtlichen Vollpfosten-Sender Zwangsabgaben zahlen.Freiheit in der Senderwahl!!!!!!!‘	* Ich habe nicht die Energie, mit irgendjemandem zu streiten * - Du hast Recht -	de	1.0	1.0	1	0	0.8333333333333334
2653	Alle diejenigen die nicht politisch korrekt sind, sind Verbrecher. So sehen das heutzutage Medien, Politiker, Toleranz Fanatiker sowie bahnhofsklatscher. Verblödetes Deutschland.	Hillary ist frei, seine Anordnungen sind gescheitert und ihre Ernennungen sind problematisch	de	1.0	1.0	1	0	0.8333333333333334
2664	Für den zensierten Scheiss auch noch mehr bezahlen? So eine Unverschämtheit.Freie Senderwahl ich bezahl nur die Sender die ich sehen will.	Einer von uns, der zu spät zur Arbeit kam, hatte Kontakt zu einem Verdachtsfall	de	1.0	1.0	1	0	0.8333333333333334
2665	Schwachköpfe lassen keine Gelegenheit aus, um sich in die Öffentlichkeit zu drängen. 0 zw. den Ohren😜	Wie wollen Sie es durch mehr Normalisierung mit dem Zionismus und Segen dafür befreien?	de	0.5	1.0	1	0	0.6666666666666666
2669	"Solange Stasi-Merkel geduldet wird, wird in ganz Deutschland NIE etwas ""klappen""!"	Wow, reden wir über einen ignoranten Kommentar.	de	1.0	1.0	1	0	1.0
2672	Freue mich wenn solche Abschaum von Grünen Idioten im Herbst verschwinde!	Sie werden ihn als kindisch betrachten, der mit Vorsicht behandelt werden sollte.	de	1.0	1.0	1	0	1.0
2675	Also auch alle AFDler und Neonazis und Mörder und Pädophile und....was für eine dumme Aussage dieser Frau	Ich schwöre bei Gott, ein Team ohne Persönlichkeit, möge Gott Sie verfluchen	de	1.0	1.0	1	0	1.0
2678	Das geschieht wenn Aussagen gemacht werden die Merkel nicht passen!! ARD,ZDF und wie sie heißen sind Vasallen Merkels!!	Wo bleibt Ägyptens Hilfe für die Opfer des Bombenanschlags in Beirut? Oder tun wir das nur	de	1.0	1.0	1	0	0.8333333333333334
2706	Dieses heuchlerische Weib ! Angela Merkel ist für mich die personifizierte Straftat ! Aber Islamkritiker gehen in den Knast !	Das Argument, das ich hier lese, lässt mich den Kopf schütteln	de	1.0	1.0	1	0	1.0
2711	#maischberger Fratscher:Geld für Migranten als Investition.Bis dahin weiterhin #rapefugees , #Islamisierung und #IS Terroristen. #abmerkeln	Verfluche deine Mutter, Conti, schon beim ersten Download	de	1.0	1.0	1	0	0.3333333333333333
2713	Man sollte grundsätzlich nur Schweinefleisch an das Migrantenpack ausgeben. Sollten diese das zurückweisen, könnten sie ja in den zahlreichen Kanalisationen Ratten fangen und verzehren.	Deshalb nennt man es Intelligenz	de	0.5	1.0	1	0	1.0
2717	"bei so vielen verschwulten Entscheidungen, fragt man sich doch ""wer hat den Verfassungsrichtern ins Hinr geschissen?"" #voßkuhleScheisskule"	Möchten Sie, dass ich Sie an das erinnere, was ich damals zu Ihnen gesagt habe?	de	1.0	1.0	1	0	1.0
2719	"Der Weg zum Erfolg führt in der CDU durch Merkels Ar***, Hirn braucht man nicht, Bsp. Altmaiers letzte ""Wahl-Äußerung"" > dieser Vollpfosten😜"	Leider ist er unehrlich und spielt mit ihnen, und sein Leben nach dem Tod ist ein Sofa	de	0.5	1.0	1	0	1.0
2723	WO SOLL DAS ENDEN ??? WENN MAN SO VIEL HASS UND WUT ERZEUGT WIE DIESES FRETTCHEN VON DER SED-STASI-SEKTE CDU/CSU/LINKE/ROTE/GRÜNE ????	Sei nicht naiv, Saad. Wenn es im Rückspiel wäre, Barcelona	de	1.0	1.0	1	0	0.8333333333333334
2732	"In allen Medien Merkels ""Flüchtlingspropaganda"", zum kot***, nichts über  unsere BILDdung, Kinderarmut usw. also ""Dreck vor d. eigenen Tür""😜"	Wann kommt für diese Menschen die nahe Zukunft?	de	0.5	1.0	1	0	1.0
2748	sofort abk.......n!. Oder Spanien gibt das von Marokko beanspruchte Land zurück und Ruhe ist!	Bei Amazon kann man nicht alles kaufen; Viele Menschen würden es nicht nutzen.	de	0.5	1.0	1	0	0.8333333333333334
2763	SPD - SCHANDMÄULER, PÄDOPHILE UND DUMMKÖPFE. oder eben. SCHEINHEILGSTE PARTEI DEUTSCHLANDS !!!. Aus welcher Partei stammt Steinmeier ???	Sag ihnen allen, sie sollen es im Kopf behalten.	de	1.0	1.0	1	0	1.0
2772	Frau Barley war mit ihrem dummdreisten überheblichen Grinsen wirklich nicht zu ertragen.	Möge Gott deinen Vater verfluchen, Team. Ein Spieler erhält vom Flügel, nimmt den	de	1.0	1.0	1	0	1.0
2773	Jänicke möchte keine Windräder im Wald aber ohne genügend Abstand vor den Häusern der Landbewohner und das nur, damit er seine scheiß E-Karre laden kann. 🙄	Okay, okay, ich werde dich nicht drängen.	de	1.0	1.0	1	0	1.0
2777	60 % sind geklaut von uns ich hasse dieses Bauern auch	Du willst die Bewohner ausplündern, Gottes Fluch ruhe auf dir	de	1.0	1.0	1	0	0.6666666666666666
2779	ist mit Sicherheit keine besonders helle Leuchte auf Deutschlands Talk-Show-Torte aber seine stümperhafte Zusammenstellung der Gäste wurde dann noch durch seine dillettantische Moderation übertroffen. Au weia war das schlecht.	Friede sei mit dir und wünsche dir einen gesegneten Freitag.	de	1.0	1.0	1	0	1.0
2780	Ist es noch ein Verfassungsgericht oder ist es schon ein Verarschungsgericht? #DrittesGeschlecht	Ich muss nicht jedes Wort erwähnen	de	1.0	1.0	1	0	1.0
