Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3026	any of us who did half this shit would be locked the fuck up already .	any of us who did half this would be held accountable already.	en	1.0	1.0	1	1	1.0
3030	are they liars or just clueless ?	are they uninformed or just unaware?	en	1.0	1.0	1	1	1.0
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	as someone from la and an oilfield worker, i still say this person is not impressive.	en	1.0	0.5	0	1	1.0
3042	calm the fuck down , cnn .	calm down, cnn.	en	1.0	1.0	1	1	1.0
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	China and Russia will use diplomatic pressure to address any concerns if those ships take any provocative actions.	en	1.0	1.0	1	1	1.0
3047	cretins like this rarely care about facts .	cretins rarely care about facts.	en	1.0	1.0	1	1	0.5
3056	do people actually believe this shit ? ? ?	do people actually believe this??	en	1.0	1.0	1	1	1.0
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	Don't you ever change one of my edits, or I will be very upset.	en	1.0	1.0	1	1	1.0
3069	even bush knows he fucked up .	even bush knows he made a mistake.	en	1.0	1.0	1	1	1.0
3080	fuck popeyes for doing this in the first place .	Popeyes for doing this in the first place.	en	1.0	1.0	1	0	1.0
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	getting my ass kicked by practice tests made sure that I learned from my mistakes again.	en	1.0	1.0	1	1	0.3333333333333333
3092	getting stronger every month yeah i fucking wish .	getting stronger every month yeah I wish.	en	1.0	1.0	1	1	1.0
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	have you ever been to r trees and seen all the misinformation about weed?	en	0.5	0.5	1	1	0.6666666666666666
3122	holy shit , a cop got fired ? .	holy shit, a cop got let go?.	en	1.0	1.0	1	1	0.6666666666666666
3131	how the fuck do you manage that ? .	how do you manage that?	en	1.0	1.0	1	1	1.0
3133	how the fuck do you think people afford houses and cars ?	how do you think people afford houses and cars?	en	1.0	1.0	1	1	1.0
3136	i accidentally read the titling as laser machete and almost shit my pants .	I accidentally read the title as laser machete and almost had a shock.	en	1.0	1.0	1	1	1.0
3140	i did not vandalize anything you dick .	I did not vandalize anything.	en	1.0	1.0	1	1	1.0
3146	i dont give a flying fuck about sides ! .	I don't care about sides!	en	1.0	1.0	1	1	1.0
3149	i have toilet paper to wipe my ass and no shortage of food .	I have toilet paper to wipe my bottom and no shortage of food.	en	1.0	1.0	1	1	1.0
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	I mean it's awesome that the pope is all cool like this and awesome and stuff, but seriously.	en	1.0	1.0	1	1	1.0
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	i sell quite a bit of products on there, and paypal has actually helped me pay the bills.	en	1.0	1.0	1	1	1.0
3166	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	if he's found to have acted in cold blood, the authorities will take severe action against him.	en	1.0	1.0	1	1	1.0
3176	it s a big deal because the school didn t give a shit until she was being bullied .	it's a big deal because the school didn't take action until she was being bullied.	en	1.0	1.0	1	1	1.0
3183	judging by the shit i ve seen in my number years , number of those spent with george w .	judging by the experiences I've had in my number years, number of those spent with George W.	en	1.0	1.0	1	1	1.0
3186	last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up	last warning, it takes minutes to resolve a page so it's important to work together.	en	1.0	1.0	1	0	1.0
3188	liar , liar pants on fire justin .	liar, liar pants on fire	en	1.0	1.0	1	0	0.6666666666666666
3203	my thoughts are that our new guy might be an even bigger dirt bag .	my thoughts are that our new guy might be a disappointment.	en	1.0	1.0	1	1	1.0
3207	no fucking way number bricks fits in a car , this is bs .	no way, number bricks don't fit in a car, this is unbelievable.	en	1.0	1.0	1	1	1.0
3214	noones asking you to invade shit .	noones asking you to invade anything.	en	0.5	0.5	1	1	1.0
3215	not fucking around in foreign matters that we cannot do anything about .	not getting involved in foreign matters that we cannot influence.	en	1.0	1.0	1	1	1.0
3218	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady as fuck .	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look suspicious.	en	1.0	1.0	1	1	1.0
3222	number will solve alot of fucking problems if it comes down to it .	number will solve a lot of problems if it comes down to it.	en	0.5	1.0	1	1	1.0
3231	org there s wikipedia articles for all sorts of random shit like this .	there are Wikipedia articles for all sorts of random things like this.	en	1.0	1.0	1	1	1.0
3233	ouch man , them swedes were dicks to norway =\	ouch man, them Swedes were unfair to Norway =\	en	0.5	0.5	1	1	1.0
3236	people are idiots for wasting emergency call time on crap like this .	people are wasting emergency call time on unnecessary issues.	en	1.0	1.0	1	1	1.0
3246	quite a few saints are canonized because they opposed some idiot hierarch , even unto being killed , like st .	quite a few saints are canonized because they opposed some authority figure, even unto being killed, like St.	en	1.0	1.0	1	1	1.0
3247	read your own fucking link .	read your own link.	en	1.0	1.0	1	1	1.0
3249	same crap going on in the pnw too .	same issues going on in the PNW too.	en	0.5	1.0	1	1	1.0
3253	shit , i d love an number pm sunset .	I'd love a number pm sunset.	en	0.5	1.0	1	1	0.6666666666666666
3264	some poor guy robs a liquor store for $400 and goes to prison to get raped in the ass .	some poor guy robs a liquor store for $400 and goes to prison.	en	1.0	1.0	1	1	1.0
3265	someone says no , and they say fuck off we need vets only for free housing ? .	someone says no, and they say we need vets only for free housing?	en	1.0	1.0	1	1	0.6666666666666666
3269	still standing up for your lying crazy leader who loves himself and nobody else .	still standing up for your leader who loves themselves and others.	en	1.0	1.0	1	1	1.0
