Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Die Menschen, die das für richtig halten, sollten sofort strafrechtlich verfolgt werden.	de	1.0	1.0	1	0	1.0
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Und warum wurde dieses Ding nicht in eine Ehe gezwungen?	de	1.0	1.0	1	1	0.5
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Was bedeutet eine Ziege in Deutschland, besonders in der Politik?	de	0.5	1.0	1	0	1.0
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	Diese Göhring-Eckhardt kann nach Hause gehen.	de	0.5	1.0	1	0	1.0
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	Hier ist noch eine Person, die kommentiert, politisch völlig ungebildet und intellektuell unterversorgt.	de	0.5	1.0	1	1	0.6666666666666666
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	#Barcelona &amp; wo sind die #MSM-Artikel gegen politische Leute, die	de	0.5	0.5	1	1	1.0
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	so dass die diesjährige #Fastennacht in die Geschichte eingehen wird - so viele #R	de	1.0	1.0	1	0	1.0
2462	wo ist den Ober-Bastard Voßkuhle?	Wo ist der Top-Bastard-Fußball?	de	1.0	1.0	1	1	0.8333333333333334
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	Die EU und Polen mischen sich mit Versprechungen erneut in die polnische Innenpolitik ein > Das GEBT	de	1.0	1.0	1	0	0.8333333333333334
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	Ja, sie fressen dich.	de	1.0	1.0	1	0	1.0
