Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
626	भोंसड़ी के धर्म है तो धंधा है!  मेरा मतलब  धर्म है तो सत्ता है!!  सत्ता ही धंधा बना दिया है!!!	यदि यह धर्म है तो यह व्यवसाय है! मेरा मतलब है कि अगर धर्म है	hi	1	1.0	1	1	1.0
630	वो कौन मादरचोद थे जो कह रहे थे कि वह डरा हुआ है?	वे कौन लोग थे जिन्होंने कहा कि वह डरा हुआ है?	hi	1	1.0	1	1	1.0
634	भोसडीके सुधार जाओ नहीं तो जलजला आएगा ठीक है	भोसड़ीके सुधर जाओ नहीं तो मुसीबत हो जाएगी, ठीक है?	hi	1	1.0	1	1	0.5
642	भौसडीके शायरी ग़लत हो गयी  	भौसदिके शायरी गलत हो गई	hi	1	1.0	1	1	0.5
644	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल	अरे, तुम्हें मुझे इमाम कहने में शर्म आती है, दलाल।	hi	1	1.0	1	1	0.8333333333333334
647	आज भी कांग्रेसियों मे टंच माल के सेवन की परम्परा है. टंचमाल 	आज भी कांग्रेसियों में टंच माल खाने की परंपरा है। तुच	hi	1	1.0	1	1	0.8333333333333334
656	ओर ये साली सुअर सरकार सो रही है	और ये सरकार सो रही है	hi	1	1.0	1	1	1.0
662	सबसे ज्यादा कमीना तू है	आप अच्छे नहीं हो	hi	1	1.0	1	1	1.0
669	क्या कमीनो क्या हम पाकिस्तानी है जो इतनी नफरत करते हो	पाकिस्तानी बहुत नफरत करते हैं	hi	1	1.0	1	0	1.0
680	ईस रंडी ने रात भर नाचकर बोला कि मैं थक गई ..	इस वेश्या का कहना था कि वह पूरी रात नाचने के बाद थक गई थी।	hi	1	1.0	1	0	0.8333333333333334
691	निगाहे  आज भी ढुंढ रही है...    उस महान कमीने को    	निगाहें आज भी उस महान शख्स को तलाश रही हैं.	hi	1	1.0	1	1	0.6666666666666666
692	साले सब नपुंसक ह, ये सरकारें नेता सब साले नक़ली ह	तुम सब नपुंसक हो, ये सरकारी नेता सब नकली हैं	hi	1	1.0	1	1	0.5
702	तो जेल भेजो ना। यहाँ क्या रंडी रोना रो रहे हो?	इसलिए उसे जेल भेजो.	hi	1	1.0	1	0	1.0
722	अरे ओ महबूबा रंडी की रानी तेरे को तो दर्द इसलिए हो रहा है ना कि तेरा यार पाकिस्तान वर्ल्ड कप से बाहर हो गया	अरे महबूबा, तुम्हें दर्द इसलिए हो रहा है क्योंकि तुम्हारा दोस्त पाकिस्तान बाहर हो गया है	hi	1	1.0	1	1	1.0
731	अपना नाम रंडी रख ले ज़्यादा अच्छा लगेगा.	बेहतर होगा कि आप अपना नाम रंडी ही रखें.	hi	1	1.0	1	0	0.3333333333333333
733	भड़वों ने गुजरात ट्रांसफर के बहाने दो इंच की जगह के लिए इसकी नोकरी छीन ली	उन्होंने गुजरात ट्रांसफर के नाम पर दो इंच जगह के लिए उसकी नौकरी छीन ली।	hi	1	1.0	1	1	1.0
736	लेकिन यह भी साफ है रंडी कि धोनी कोहली से बेहतर है 	लेकिन ये भी साफ है कि धोनी कोहली से बेहतर हैं.	hi	1	1.0	1	1	1.0
740	धमकी किसे दे रहा है बे. सूअर की औलाद.	आप किसे धमकी दे रहे हैं?	hi	1	1.0	1	0	1.0
746	इन भोसडी वालों को कोई बताओ कितने अकाउंट हैं	इन लोगों को कोई बताए कि इनके पास कितने खाते हैं।	hi	1	1.0	1	1	1.0
749	कमीने, दुश्मन से गले मिल गये?	हरामी, दुश्मन को गले लगा लिया?	hi	1	1.0	1	1	0.3333333333333333
754	धोनी के लास्ट बाल पे सिक्स मारते ही  भोसडीके पागलों की तरह चिल्ला रहे थे || देखो सालों भेनचोद को	आखिरी गेंद पर धोनी ने जैसे ही छक्का जड़ा भोसडीके	hi	1	1.0	1	0	0.8333333333333334
758	भोसडीके ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा	भोसडीके, जो एक जानवर से भी कितना प्यार करता है	hi	1	1.0	1	1	0.5
766	भोसडीके थोड़ा सा तो शर्म कर	भोसड़ीके, कुछ तो शर्म करो	hi	1	1.0	1	1	0.5
776	अबे कटे लंड के औलाद, रंडी  सुन, अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्पणी करो।	सुनो, अगर तुम गलत को डब्लू मानते होरोंग फिर मर्यादित भाषा में टिप्पणी करें।	hi	1	0.5	0	1	0.6666666666666666
783	भैनचोद आत्महत्या की तैयारी कर रहा है ?	आत्महत्या की तैयारी कर रहा है भैनचोद?	hi	1	1.0	1	1	0.8333333333333334
786	भेनचोद झोपड़ियाँ वालो को IPhone और विमान की टिकट कौन देता है |	झुग्गीवासियों को आईफोन और हवाई जहाज का टिकट कौन देता है?	hi	1	1.0	1	1	1.0
788	भोसड़ीके अपनी टीम को खेलना नही आता और हमे गुरु ज्ञान दे रहा है।	भोसदिके उनकी टीम को खेलना नहीं आता और गुरु हैं	hi	1	1.0	1	0	0.8333333333333334
803	दलाल मीडिया पालतू कुत्तो की तरह भोंकना स्टार्ट कर देती है?	दलाल मीडिया भौंकने लगता है	hi	1	1.0	1	1	0.6666666666666666
807	भडवे सूअर कभी तो गलत का विरोध करा करो 	कभी गलत बात का विरोध भी कराओ.	hi	1	1.0	1	1	1.0
814	मोदी क्या तेरा फूफा है भेनचोद ?	मोदी, क्या वह आपके चाचा हैं?	hi	1	1.0	1	0	1.0
815	गुजरात के ग़द्दार निष्काशित क़ातिल IPS संजीव भट्ट को उम्र केद...!!	गुजरात के गद्दार और निष्कासित हत्यारे आईपीएस संजीव भट्ट को उम्रकैद की सज़ा	hi	1	1.0	1	1	0.5
818	अपनी ट्रेनों को भी कभी चेक कर लिया करो ।।ट्रेनों के ऊपर सुअर के लिये गाली लिखते है |	कभी-कभी अपनी ट्रेनें भी जांच लें. ट्रेनों पर सूअरों के लिए गालियां लिखी होती हैं.	hi	1	1.0	1	0	0.6666666666666666
822	अब वो कटु भड़वा सुअर ओवेसी कहाँ चला गया।	अब कहां गए औवेसी?	hi	1	1.0	1	1	1.0
831	भोसडीके अगली बार CD बना तो लाइटिंग अच्छी लगाना !	भोस्डके, अगली बार जब आप सीडी बनाएं तो अच्छी रोशनी का इस्तेमाल करें!	hi	1	1.0	1	0	0.3333333333333333
833	भेनचोद इंग्लिश फैन्स सिर्फ ताली मारने को बैठै रहते हैं।	अंग्रेज प्रशंसक बस ताली बजाते बैठे रहते हैं।	hi	1	1.0	1	1	0.6666666666666666
836	भोसडीके अच्छे से बोल रहा हूँ तो तुम्हारा मूड खराब हो रहा है	भोसड़ीके, मैं तो अच्छा बोल रहा हूं लेकिन तेरा मूड खराब हो रहा है.	hi	1	1.0	1	1	0.5
846	नहीं खा रहा है तो मरने दो भेनचोद को..	अगर वह खाना नहीं खा रहा है तो उसे जाने दें.	hi	1	1.0	1	0	1.0
847	ये कुकूर मुत्ते की औलाद है, जो  बच्चे ,महिला ,ओर बुजुर्ग पर हाथ चलता है वो भड्वा, दलाल, हैं	ये कुकुर मुट्टे के बच्चे हैं, जो बच्चों, महिलाओं को छूते हैं	hi	1	1.0	1	1	1.0
849	शोएब चरसी अख्तर एक उभरती टीम का मजाक उड़ाते हुए	एक उभरती हुई टीम का मजाक उड़ाते हुए शोएब चरसी अख्तर	hi	1	1.0	1	0	0.5
853	ये हरामी वही है जिसने उसको जीते जी मार डाला ||	यह वही व्यक्ति है जिसने उसके जीवित रहते ही उसकी हत्या कर दी थी।	hi	1	1.0	1	1	0.8333333333333334
864	अबे हरामी, कमीने, चोर , बेईमान तुझे डिटेल्स पता ही नही है	अरे आदमी, तुम्हें विवरण भी नहीं मालूम	hi	1	1.0	1	0	1.0
865	कौन बना रहा है भेनचोद ऐसे मीम. आधे घंटे से हँस रहा हूँ.	ऐसे मीम कौन बना रहा है? मैं आधे घंटे से हंस रहा हूं.	hi	1	1.0	1	1	1.0
869	दोनों भड़वे  हो और दलाल तू पैसों का है 	तुम दोनों बुरे हो और पैसे के दलाल हो।	hi	1	1.0	1	1	1.0
872	अब पत्रकार के ऊपर पेशाब कर दिया जा रहा है।	अब पत्रकार पर पेशाब किया जा रहा है	hi	1	1.0	1	1	0.6666666666666666
875	हो गया न्याय? यही होता है जब एक एक्टर नेता बनकर लोगों का चुतिया काटता है |	क्या न्याय हुआ? ऐसा ही होता है जब कोई अभिनेता नेता बन जाता है और काटता है	hi	1	1.0	1	1	1.0
878	चुप कर भोसडीके, कौन सा दूध का धुला है तू	आप कौन सा दूध पी रहे हैं?	hi	1	1.0	1	0	1.0
906	रंडी की नाजायज औलाद  इस्तीफा दो	कृपया, पीपट्टा, इस्तीफा दे दिया	hi	1	1.0	1	1	1.0
911	तू कौन है भैनचोद.... चल निकल यहाँ से	आप कौन हैं? यहाँ से चले जाओ	hi	1	1.0	1	0	1.0
913	भोसडीके जिसने भी इसे इडिट किया है उसे भारत रत्न मिलना चाहिए...	जिसने भी इसका संपादन किया उसे भारत रत्न मिलना चाहिए.'	hi	1	1.0	1	0	1.0
917	जिसका बाप ही हरामी उसका बेटा क्या बनेगा हरामी की औलाद हरामी ही होंगी।	जिसके पिता अच्छे नहीं हैं उसके बेटे का क्या होगा? उसके पिता के बच्चे	hi	1	1.0	1	0	1.0
