Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Leute, die so etwas tun, sollten zur Rechenschaft gezogen werden. Unsere Jugend muss vor solchen Leuten geschützt werden.	de	1.0	1	1	1	1.0
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Und warum wurde dieses etwas nicht verheiratet...?	de	1.0	1	1	1	0.6666666666666666
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Gauland hat recht !! Was hat eine Ziegenrasse in Deutschland, insbesondere in der deutschen Politik zu suchen? Nichts! Fakt!	de	0.5	1	1	1	0.3333333333333333
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	Diese Person Göhring-Eckhardt kann zurück in ihre Heimat, der DDR!	de	0.5	1	1	0	1.0
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	Hier sind mal wieder einige Kommentare von AfD-Anhängern. Sie scheinen politisch ungebildet und intellektuell unterversorgt zu sein.	de	0.5	1	1	0	0.6666666666666666
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	#Barcelona & wo bleiben jetzt die #MSM-Artikel gegen Politiker, die nicht klar benennen, wer für den Terror verantwortlich ist?	de	0.5	1	1	1	1.0
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	Also die Fasnacht in diesem Jahr geht in die Geschichtsbücher ein - so viele Flüchtlinge wie noch nie :( sollten alle kastriert werden.	de	1.0	1	1	1	1.0
2462	wo ist den Ober-Bastard Voßkuhle?	Wo ist denn Ober-Bastard Voßkuhle?	de	1.0	1	1	1	0.6666666666666666
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	EU und Deutschland mischen sich wieder mit unehrlichen Darstellungen in die Innenpolitik Polens ein - das geht sie nichts an.	de	1.0	1	1	1	1.0
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	Ja, viel Glück bei den Frauen! 😅👍	de	1.0	1	1	1	1.0
2491	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	"#Charlottesville Warum hetzt das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	de	0.5	1	1	1	0.5
2492	OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	OMG.....was für eine unattraktive Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	de	1.0	1	1	1	1.0
