Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
4826	Que manera de cagarla wacho 😩👎🏼	La forma en la que fallaste no estuvo bien, amigo 😩👎🏼	es	1.0	1	1.0	1	1
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	Bueno, también será porque molesta mucho a un ultranacionalista que otro nacionalismo intente alterar su integridad territorial.	es	1.0	1	0.6666666666666666	1	1
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	Siempre se retrocede la pelota después de cruzar el medio, es una pena.	es	0.5	1	1.0	1	1
4842	Nunca en mi puta vida me va a pasar	Nunca en mi vida me va a pasar.	es	1.0	1	1.0	1	1
4844	Bueno nojoda que pasa aqui pues?	Bueno ¿qué sucede aquí?	es	1.0	1	0.8333333333333334	1	1
4847	dios podes hablar bien la concha de tu madre	¿Puedes hablar de manera clara?	es	1.0	1	0.8333333333333334	1	1
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	Era para que fueras a comprar mandarinas en Jonathan, no a cantar con la cantante.	es	1.0	1	0.6666666666666666	1	1
4862	Hoy m pongo empedo o ke?💃🏼	Hoy saldré y me divertiré, ¿no?	es	0.5	0	0.8333333333333334	1	1
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No!"	es	1.0	1	1.0	1	1
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Te podés cometer errores, pero te voy a elegir a vos siempre.	es	1.0	1	1.0	1	1
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen de CM al de Mr Wonderful	es	0.5	1	1.0	1	1
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	¿No os resulta frustrante que ciertas personas tengan pareja y vosotros no?	es	1.0	1	1.0	1	1
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	los que no entendéis la ironía y las bromas llevadas al extremo sois geniales hermanos	es	0.5	0	0.6666666666666666	1	1
4922	La Corte y nada la misma huevonada	La Corte y nada más.	es	1.0	0	0.8333333333333334	1	1
4931	soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg	"soy una persona con ganas de ir a las cenas/comidas de Navidad para comer y relajarme""."	es	1.0	1	1.0	1	1
4933	los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano	los más valientes, los mejores, los más preparados vienen a compensarnos las pensiones blandiendo una daga	es	0.5	1	0.6666666666666666	1	1
4936	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un golpista.	Hoy día la ley de memoria histórica considera a esta persona del Frente Popular un simpatizante.	es	1.0	0	0.5	1	1
4940	A nadie puta le importa quien carajos muere por un dragon.	A nadie le importa quién muere por un dragón.	es	1.0	1	1.0	1	1
4946	man soy r autoexigente q hincha pelotas	soy una persona autoexigente y exigente	es	0.5	1	0.8333333333333334	1	1
4949	Uribe tiene huevas de plomo y nadie le da la talla.	Uribe tiene coraje y nadie le iguala.	es	1.0	1	1.0	1	1
4954	Así luego entran en patera, dan otro nombre, y tienen otra paguita	Después ingresan en patera, cambian de identidad y reciben otro subsidio.	es	1.0	1	0.6666666666666666	1	1
4958	Joder que partidazo de los Wolves en Anfield.	Qué partidazo de los Wolves en Anfield.	es	1.0	1	0.8333333333333334	1	1
4966	Oye que mierdas le pasa a Alba en las galas :(((?!?!?!	Oye, ¿qué le pasa a Alba en las galas?	es	1.0	1	1.0	1	1
4976	Jajajajaja que gorda lechera hasta cuando con esos videos	Jajajajaja siempre tan entretenida con esos vídeos.	es	1.0	0	1.0	1	1
4983	Esto hace falta en Paraguay, no la cantaleta amariconada de DDHH de muchos políticos.	Esto hace falta en Paraguay, no la insistencia de muchos políticos en derechos humanos.	es	1.0	1	1.0	1	1
4986	Xq no me contestabas maldita	Por qué no me contestabas.	es	0.5	1	1.0	1	1
4988	Te acordas que existo pendejo de mierda 😡	¿Te acuerdas de mí?	es	1.0	1	1.0	1	1
5003	Por qué les tienen tanta bronca a los q fueron mantenidos y no los mandaron a laburar?	¿Por qué sienten tanto rencor hacia quienes recibieron ayuda y no se los instó a trabajar?	es	1.0	1	0.8333333333333334	1	1
5007	Nico a los 3 años se metió una pila y un PAN en la nariz, desde chiquito es pelotudo 🤣	Nico a los 3 años se metió una pila y un pan en la nariz, desde pequeño es travieso 🤣	es	1.0	1	0.8333333333333334	1	1
5014	Huevones nefastos utilizados por la extrema izquierda anarquista	Personas poco motivadas empleadas por la extrema izquierda anarquista	es	1.0	1	1.0	1	1
5015	Una noche me duró la serie, joder coño	Una noche me duró la serie, vaya	es	1.0	1	0.8333333333333334	1	1
5018	EN SERIO ESTOS PEDAZOS DE MIERDAS PUEDEN SER LLAMADOS POLICÍAS CIVILES?	En serio estos pueden ser llamados policías civiles?	es	1.0	1	0.8333333333333334	1	1
5022	Jajajajaj la Küyén cagando en el depa DESPUÉS DE QUE LA SAQUÉ A PASEAR PARÁ QUE CAGARA AFUERA!!!	La Küyén en el depa después de sacarla a pasear para que haga sus necesidades afuera.	es	1.0	0	0.8333333333333334	1	1
5031	Tengo un problema serio si ya desde esta hora estoy hasta los cojones de la gente	Tengo un problema serio si ya desde esta hora estoy cansado de la gente.	es	1.0	1	1.0	1	1
5033	Lo puto guapa que sale todo el rato??????	¿Qué preciosa que sale todo el rato?	es	1.0	1	0.8333333333333334	1	1
5036	me tienen las pelotas re llenas todos	me tienen cansado todos	es	1.0	1	0.8333333333333334	1	1
5046	Joder que bueno, no voy a picar yo sólo 😉	Qué bueno, no voy a engañar yo solo 😉	es	1.0	1	0.8333333333333334	1	1
5047	No sirven para un culo	No son de utilidad.	es	1.0	1	1.0	1	1
5049	El espíritu de Plasencia siempre será una epopeya de liberación de tensión...Que putos nervios de tanda, pollo.	El espíritu de Plasencia siempre será una epopeya de liberación de tensión...Que nervios de tanda, amigo.	es	1.0	1	1.0	1	1
5053	Cuesta un huevo estar bien con alguien pero solo segundos para que todo se vuelva un caos.	Es complicado llevarse bien con alguien pero solo unos momentos para que todo se convierta en un lío.	es	1.0	1	0.5	1	1
5064	Las cortes corruptas y ahora también con abusos sexuales, de razón la justicia de este país esta vuelta MIERDA.	Las cortes con problemas y ahora también con sucesos inaceptables, de razón la justicia de este país está en una situación muy complicada.	es	1.0	1	1.0	1	1
5065	pero callate — Pero que me dejes 👊	Pero que me dejes tranquilo	es	1.0	1	0.8333333333333334	1	1
5069	¡Vallekanos yonkis y gitanos! Orgullosos de nuestro barrio, no lo podréis entender 💪	Nos sentimos orgullosos de nuestro barrio en Vallecas. Es posible que no lo comprendáis 💪	es	1.0	0	0.8333333333333334	1	1
5072	No sea imbécil la idea es salir con precaución  para reactivar la economía que lleva meses por culpa del COVID-19.	Por favor, recuerda ser cuidadoso al salir para ayudar a la economía que ha sufrido debido al COVID-19.	es	1.0	1	1.0	1	1
5075	Ayer escrachamos al pelotudo del Mono Ramos y hoy al infeliz lo echaron.	Ayer señalamos a la persona del Mono Ramos y hoy lo despidieron.	es	0.5	1	1.0	1	1
5078	Entrar al metro es como bajar al infierno	Entrar al metro es un poco abrumador.	es	1.0	1	0.6666666666666666	1	1
5106	No hay nadie de la oposición con los  cojones suficientes para hacer la denuncia..	Nadie de la oposición ha tenido la valentía suficiente para presentar la denuncia.	es	1.0	1	0.6666666666666666	1	1
5111	Grande comobsiempre y dejando como un culo a la izquierda.	Grande como siempre y dejando a la izquierda.	es	0.5	0	0.8333333333333334	1	1
5113	Uno para pasar los cólicoAY CHAO DE AQUÍ BOBA HIJUEPUTA.	Uno para pasar los cólicos. Adiós de aquí.	es	0.5	1	1.0	1	1
5117	Me falta follar joder para hacer pleno :(	Necesito tener sexo para sentirme completo :(	es	1.0	1	0.8333333333333334	1	1
5119	Que ninguna me mande nudes es otro pedo.	Que ninguna me envíe fotos íntimas es algo diferente.	es	1.0	0	1.0	1	1
5123	Por un 2019 q me chupe todo un huevo, y que todo me duela menos🙏🏻	Por un 2019 que me importe poco, y que todo me duela menos🙏🏻	es	0.5	1	0.8333333333333334	1	1
5132	La verdad le duele a ese mequetrefe	La verdad le afecta a ese individuo	es	1.0	1	0.8333333333333334	1	1
5148	Joder, todo muerto es bueno.	Cada persona fallecida tiene su propósito.	es	1.0	1	1.0	1	1
5163	Le pusiste sueldo de 50k a pateadores cualquiera con primas anuales hasta por si se tiraba un pedo.	Modificaste el sueldo de 50k a pateadores genéricos con incentivos anuales por si ocurría una situación particular.	es	1.0	0	1.0	1	1
5172	Salí de ahí Martínez, es pasar vergüenza al pedo	Salí de allí Martínez, es pasar vergüenza sin razón.	es	1.0	1	0.8333333333333334	1	1
5173	Luego coñazo absoluto lo q movera en torno a ella en redes sociales por ej.	Luego lo que se moverá en torno a ella en redes sociales por ej.	es	0.5	1	0.8333333333333334	1	1
5177	Que caro nos salió la maldita revolución chavomadurista!	La revolución chavomadurista resultó muy cara para nosotros.	es	1.0	1	0.8333333333333334	1	1
5179	Se ganan todo eso y muchos no hacen un culo allá.	Se ganan todo eso y muchos no hacen allá.	es	1.0	1	0.8333333333333334	1	1
5180	Que se puede esperar de un burro más que una patada?	¿Qué se puede esperar de un burro aparte de una patada?	es	1.0	1	0.3333333333333333	1	1
5185	Pero hay veces es las que no podes garchar pero eso si podes crack	A veces hay situaciones en las que no puedes tener relaciones sexuales, pero sí puedes sobresalir.	es	1.0	0	0.1666666666666666	1	1
5199	Puede no ES un engaño, no podemos creer en este dictador comunista. CALLE hasta que se vayan	Puede que no sea cierto, no podemos confiar en este líder político.	es	1.0	1	0.6666666666666666	1	1
