Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	neutral_fluency	fluency_score	toxic_pairwise_score
1226	跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男	逃离国外去服务穷人是不好的,	zh	0.5	0	1.0	1	0.6666666666666666
1230	一位优秀的接盘侠????	很好的球员?	zh	1.0	0	1.0	1	1.0
1234	我媳妇也会打拳！??	我姐姐也会参加战斗!	zh	1.0	1	1.0	1	1.0
1242	丑的一批、呸	这是一群丑的	zh	1.0	0	1.0	1	0.6666666666666666
1244	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲	黑人敢打败我们的	zh	1.0	1	0.0	0	0.5
1247	是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢	我真的害怕艾滋病. 一个女人的私生活是混乱的,	zh	1.0	0	1.0	1	0.6666666666666666
1256	对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。	现在,中国人应该受到歧视,	zh	1.0	0	1.0	1	0.6666666666666666
1262	这男的也是啥pei给女的当狗活该	这个人和那只把女孩送给的狗一样.	zh	0.5	0	0.0	0	0.8333333333333334
1269	很快就能解封的，性取向变态患者搞得鬼	接下来你知道,你会解锁他.	zh	1.0	0	1.0	1	1.0
1280	好 不和牛马一般见识??	我不确定我是否能够得到一个好的视图	zh	1.0	1	1.0	1	0.8333333333333334
1291	黑人的舔狗其实比黑人更可恨	黑狗比黑人更可憎.	zh	1.0	1	1.0	1	0.5
1292	????肯定是国楠自己造成的呀，国楠不配娶她们	政府创造了他们, 政府没有权利与他们结婚.	zh	1.0	0	1.0	1	1.0
1302	没见过基佬工程师	我从来没有见过基尔工程师	zh	1.0	1	1.0	1	0.6666666666666666
1322	黑河南、黑北方的都是南满	黑河南和黑北都在南.	zh	1.0	1	0.0	0	1.0
1331	因为智商低，容易被女的pua,价值观都偏了	由于智商低,	zh	1.0	1	1.0	1	0.8333333333333334
1333	这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。	我没有看到它,我只是看到两个人打架,其中一个	zh	1.0	1	0.0	0	0.6666666666666666
1336	兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲	陈说,我们可以肯定,这次货运将是下一个.	zh	1.0	0	0.0	0	1.0
