Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	neutral_fluency	fluency_score	toxic_pairwise_score
1226	跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男	出国不也很好吗，如果去非洲服务黑人则算是人尽其才，只是担心某些女性出国整容改名后，再回国可能会对国内男性产生不良影响	zh	0.5	1	1	1	1.0
1230	一位优秀的接盘侠????	一个出色的接盘者????	zh	1.0	1	1	1	0.5
1234	我媳妇也会打拳！??	我的妻子也会参与一些激进的性别平等讨论！??	zh	1.0	1	1	1	1.0
1242	丑的一批、呸	外貌并不出众，真是遗憾	zh	1.0	1	1	1	1.0
1244	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲	zh	1.0	1	1	1	0.6666666666666666
1247	是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢	我确实担心艾滋病。如果一位女性的私生活混乱，但她交往的都是中国人或白人，我可能还会考虑与她交往，但我不会考虑结婚。如果她与黑人有过关系，我就会放弃。我认为没有必要冒这样的风险	zh	1.0	1	1	1	1.0
1256	对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。	对，这确实是对所有中国人的不公平对待，因此排斥他们，他们遭受这样的对待是不合理的	zh	1.0	1	1	1	1.0
1262	这男的也是啥pei给女的当狗活该	这个男性选择服从女性，像狗一样，这是他应得的	zh	0.5	1	1	1	0.8333333333333334
1269	很快就能解封的，性取向变态患者搞得鬼	账号很快就能解封，是那些性取向异常的人在作祟	zh	1.0	1	1	1	1.0
1280	好 不和牛马一般见识??	好吧，不与那些粗俗之人争执	zh	1.0	1	1	1	0.6666666666666666
1291	黑人的舔狗其实比黑人更可恨	那些过分讨好黑人的人其实更让人反感	zh	1.0	1	1	1	1.0
1292	????肯定是国楠自己造成的呀，国楠不配娶她们	肯定是国内男性自身的问题，国内男性不配娶她们	zh	1.0	1	1	1	1.0
1302	没见过基佬工程师	我没见过男同性恋工程师	zh	1.0	1	1	1	1.0
1322	黑河南、黑北方的都是南满	批评河南、批评北方的人都是南方人	zh	1.0	1	1	1	1.0
1331	因为智商低，容易被女的pua,价值观都偏了	由于判断力较弱，容易受到女性的精神操控，导致价值观出现偏差	zh	1.0	1	1	1	0.8333333333333334
1333	这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。	这个视频我确实没看清楚，只看到两个人在打架，女性一边打一边骂，要求黑人男性在她和另一个女性之间做出选择，她的口音很像我喜欢的一位博主（北京人）	zh	1.0	0	1	1	1.0
