Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	Que manera de cagarla wacho 😩👎🏼	Que manera de cagarla 😩👎🏼	es	1.0	1.0	1	1	0.8333333333333334
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	Bueno, también será porqué nada cabrea más a un ultranacionalista	es	1.0	1.0	1	0	0.5
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	La mala costumbre de siempre retrocer la pelota pasado ya el medio, que	es	0.5	1.0	1	1	1.0
4842	Nunca en mi puta vida me va a pasar	Nunca en mi vida me va a pasar. Nunca en mi vida me va 	es	1.0	1.0	1	1	1.0
4844	Bueno nojoda que pasa aqui pues?	Bueno no sé que pasa aqui pues?	es	1.0	1.0	1	1	1.0
4847	dios podes hablar bien la concha de tu madre	dios podes hablar bien la concha de tu madre	es	1.0	1.0	1	1	0.6666666666666666
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A	es	1.0	0.5	0	0	0.8333333333333334
4862	Hoy m pongo empedo o ke?💃🏼	Hoy me pongo empedo o ke?💃🏼	es	0.5	1.0	1	1	0.5
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No!"""	es	1.0	1.0	1	1	1.0
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Te podes mandar todas las cosas que quieras pero te voy a e	es	1.0	1.0	1	0	1.0
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen de CM a Mr Wonderful.	es	0.5	1.0	1	1	0.8333333333333334
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	No os da como rabia que gente asquerosa tenga pareja y vosotros	es	1.0	1.0	1	0	1.0
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	Los que no entendéis la ironía y las coñas llevadas al extremo	es	0.5	1.0	1	1	0.5
4922	La Corte y nada la misma huevonada	La Corte y nada la misma cosa	es	1.0	1.0	1	0	1.0
4931	soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg	Soy una gorda y solo quiero ir a las cenas/comidas de	es	1.0	1.0	1	0	0.6666666666666666
4933	los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano	Los más valientes, los mejores, los preparados vienen a pagarnos las	es	0.5	1.0	1	0	0.6666666666666666
4936	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un golpista.	Hoy día la ley de memoria histórica considera a esta víctima del Frente	es	1.0	1.0	1	0	0.5
4940	A nadie puta le importa quien carajos muere por un dragon.	A nadie le importa quien muere por un dragon.	es	1.0	1.0	1	1	1.0
4946	man soy r autoexigente q hincha pelotas	man soy r autoexigente q hincha	es	0.5	0.5	1	0	0.8333333333333334
4949	Uribe tiene huevas de plomo y nadie le da la talla.	Uribe no tiene huevas de plomo y nadie le da la talla.	es	1.0	1.0	1	0	0.3333333333333333
4954	Así luego entran en patera, dan otro nombre, y tienen otra paguita	Así luego entran en patera, dan otro nombre, y tienen otra	es	1.0	1.0	1	0	0.5
4958	Joder que partidazo de los Wolves en Anfield.	Joder que partidazo de los Wolves en Anfield.	es	1.0	1.0	1	1	0.3333333333333333
4966	Oye que mierdas le pasa a Alba en las galas :(((?!?!?!	Oye qué le pasa a Alba en las galas :(((?!?!?!	es	1.0	1.0	1	1	1.0
4976	Jajajajaja que gorda lechera hasta cuando con esos videos	Jajajajaja que gorda hasta cuando con esos videos	es	1.0	1.0	1	1	1.0
4983	Esto hace falta en Paraguay, no la cantaleta amariconada de DDHH de muchos políticos.	Esto hace falta en Paraguay, no la cantaleta de DDHH de muchos político	es	1.0	1.0	1	1	1.0
4986	Xq no me contestabas maldita	Xq no me contestabas maldita	es	0.5	0.5	1	1	0.5
4988	Te acordas que existo pendejo de mierda 😡	Te acordas que existo 😡	es	1.0	1.0	1	1	1.0
5003	Por qué les tienen tanta bronca a los q fueron mantenidos y no los mandaron a laburar?	Por qué les tienen tanta bronca a los que fueron mantenidos y	es	1.0	1.0	1	0	0.5
5007	Nico a los 3 años se metió una pila y un PAN en la nariz, desde chiquito es pelotudo 🤣	Nico a los 3 años se metió una pila y un PAN en la nariz	es	1.0	1.0	1	0	1.0
5014	Huevones nefastos utilizados por la extrema izquierda anarquista	Huevones inapropiados utilizados por la extrema izquierda anarquista	es	1.0	1.0	1	1	0.8333333333333334
5015	Una noche me duró la serie, joder coño	Una noche me duró la serie, joder	es	1.0	1.0	1	1	0.8333333333333334
5018	EN SERIO ESTOS PEDAZOS DE MIERDAS PUEDEN SER LLAMADOS POLICÍAS CIVILES?	En serio estos individuos podrían ser llamados policías civiles?	es	1.0	1.0	1	1	1.0
5022	Jajajajaj la Küyén cagando en el depa DESPUÉS DE QUE LA SAQUÉ A PASEAR PARÁ QUE CAGARA AFUERA!!!	Jajajajaj la Küyén cagando en el depa DESPUÉS DE QUE LA SA	es	1.0	1.0	1	0	0.5
5031	Tengo un problema serio si ya desde esta hora estoy hasta los cojones de la gente	Tengo un problema serio si ya desde esta hora estoy hasta los cojones de la	es	1.0	1.0	1	0	0.6666666666666666
5033	Lo puto guapa que sale todo el rato??????	Lo guapa que sale todo el rato??????	es	1.0	1.0	1	1	1.0
5036	me tienen las pelotas re llenas todos	me tienen las pelotas re llenas todos	es	1.0	1.0	1	1	0.6666666666666666
5046	Joder que bueno, no voy a picar yo sólo 😉	No voy a picar yo solo 😉	es	1.0	1.0	1	1	1.0
5047	No sirven para un culo	<extra_id_0>. No sirven para nada. No sirven para nada.	es	1.0	0.5	0	1	1.0
5049	El espíritu de Plasencia siempre será una epopeya de liberación de tensión...Que putos nervios de tanda, pollo.	El espíritu de Plasencia siempre será una epopeya de liberación de	es	1.0	1.0	1	0	1.0
5053	Cuesta un huevo estar bien con alguien pero solo segundos para que todo se vuelva un caos.	Cuesta estar bien con alguien pero solo segundos para que todo se vuelva	es	1.0	1.0	1	0	0.8333333333333334
