Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Leute die so etwas einfädeln sollten sofort belangt werden,	de	1.0	1.0	1	0	0.8333333333333334
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	de	1.0	1.0	1	1	0.3333333333333333
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Gauland hat recht!! Was hat eine aus der Ziegenrasse in Deutschland,im 	de	0.5	1.0	1	1	0.8333333333333334
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	Göhring-Eckhardt kann zurück in ihre Heimat, der ⚠ #DDR 	de	0.5	1.0	1	0	1.0
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politi	de	0.5	0.5	1	0	1.0
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	#Barcelona & wo bleiben jetzt die #MSM-Artikel gegen Politiker, die N	de	0.5	1.0	1	0	1.0
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein	de	1.0	1.0	1	0	1.0
2462	wo ist den Ober-Bastard Voßkuhle?	wo ist der Ober-Schlaue Voßkuhle?	de	1.0	1.0	1	1	1.0
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN	de	1.0	1.0	1	1	0.8333333333333334
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	ja man 😅 viel glück bei den Frauen 👍	de	1.0	1.0	1	1	1.0
2491	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	Wieso das #Establishment & sein #MSM-#Fake gegen #Trump hetzen?	de	0.5	1.0	1	0	1.0
2492	OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	OMG.....was für eine ekelhaft unschöne Frau..dieses Gesicht nur	de	1.0	1.0	1	0	1.0
2502	Scheiss-Klimaschützer. Für Geschwindigkeitsbeschränkung, aber. die Flieger und die Kreuzfahrtschiffe blasen weiter die Umwelt voll.	Für Geschwindigkeitsbeschränkung, aber. die Flieger und die Kreuzfahrtschiffe	de	1.0	1.0	1	0	1.0
2522	Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr Säcke. auch schon seinen Stuhlgang überprüft?	Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird.	de	1.0	1.0	1	1	1.0
2531	#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid. 13 Tote. Weitere werden folgen ihr deutschen Politidioten	#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid.	de	0.5	1.0	1	1	1.0
2533	Intergrierte werden Abgeschobenen und Nafris und die Neger dürfen bleiben ,siehe Geschehniss in Nürnberg!	Migranten und Intergrierte werden Abgeschobenen und Nafris und die Neger 	de	1.0	1.0	1	0	0.3333333333333333
2536	"Wenn ich nachdenke,ist es schon erniedrigend im ""Lobbyisten.Babel"" Deutschland unter Führung der Finger kauenden Marionette leben zu müssen😜"	"Wenn ich nachdenke,ist es schon erniedrigend im ""Lobbyisten."	de	1.0	0.5	0	1	1.0
2540	Solche Idioten von Moderatoren gibt es in D gleich mehrere! 😛🖕👎	Solche Moderatoren gibt es in D gleich mehrere! 😛🖕👎	de	1.0	1.0	1	1	1.0
2546	Das zeigt doch wieder einmal welche Vollspacken uns regieren! Hauptsächlich Hohlköpfe. 😂😂😂👎🖕	Das zeigt doch wieder einmal welche Leute uns regieren! Hauptsächlich	de	1.0	1.0	1	1	1.0
2549	Danach fragt doch niemand, auch nicht, wenn Fettbacke behauptet, die Türken hätten Deutschland wiederaufgebaut.	Danach fragt doch niemand, auch nicht, wenn die Türken hätten	de	1.0	1.0	1	1	1.0
2554	..wurdest Du Luder Du nicht mit Rede.-und Schreibverbot belegt ..?. Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...ne richtige Kanackenstadt geworden..oder heißt es Kanackenstaat..	Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...ne richtige	de	1.0	1.0	1	0	1.0
2558	Merkel und ihre devoten Schleimer und Kriecher haben es geschafft!Ein Sklavenstaat!	Merkel und ihre devoten Anhänger haben es geschafft!Ein Sklavenstaat	de	1.0	1.0	1	1	1.0
