Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4826	Que manera de cagarla wacho 😩👎🏼	Que manera de fallar 👎🏼	es	1.0	1	1	1	1.0
4830	bueno, también será porqué nada cabrea más a un ultranacionalista que otro nacionalismo intente violar su integridad territorial.	Bueno, también será porque nada preocupa más a un nacionalista que otro nacionalismo intente violar su integridad territorial.	es	1.0	1	1	1	1.0
4834	La cagada de siempre retrocer la pelota pasado ya el medio, que puta crj	La situación de siempre retroceder la pelota pasado ya el medio, que cosa rara.	es	0.5	1	1	1	1.0
4842	Nunca en mi puta vida me va a pasar	Nunca en mi vida me va a pasar	es	1.0	1	1	1	1.0
4844	Bueno nojoda que pasa aqui pues?	Bueno, ¿qué pasa aquí pues?	es	1.0	1	1	1	1.0
4847	dios podes hablar bien la concha de tu madre	puedes hablar bien	es	1.0	1	1	1	1.0
4856	ERA PARA QUE VAYAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA CAZZU.	ERA PARA QUE FUERAS A COMPRAR MANDARINAS EN JONATHAN, NO A CANTAR CON LA MUJER.	es	1.0	1	1	1	0.8333333333333334
4862	Hoy m pongo empedo o ke?💃🏼	Hoy me pongo empedernido ¿Qué?	es	0.5	1	1	0	0.5
4869	"Me acabo de acordar de que el otro día le dije ""No boludo!"""	"Me acabo de acordar de que el otro día le dije ""No!"""	es	1.0	1	1	1	1.0
4880	Te podes mandar todas las cagadas del mundo pero te voy a elegir a vos siempre	Te puedes mandar todas las cosas del mundo, pero te voy a elegir a vos siempre.	es	1.0	1	1	1	1.0
4891	Tienen de CM al hioputa de Mr Wonderful	Tienen que hablar con Mr Wonderful.	es	0.5	1	1	0	0.8333333333333334
4892	no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?	No os da como rabia que gente tenga pareja y vosotros no?	es	1.0	1	1	1	1.0
4902	los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus	los que no entendéis la ironía y las bromas llevadas al extremo molan 0 hermanos	es	0.5	1	1	1	0.8333333333333334
4922	La Corte y nada la misma huevonada	La Corte y nada la misma cosa.	es	1.0	1	1	1	1.0
4931	soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg	"""Soy una persona que solo quiere ir a las cenas/comidas de Navidad para disfrutar de la comida."""	es	1.0	1	1	0	0.6666666666666666
4933	los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano	los más valientes, los mejores, los más preparados vienen a pagar nuestras pensiones de manera justa	es	0.5	1	1	0	0.8333333333333334
4936	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un golpista.	Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un opositor político.	es	1.0	1	1	0	0.8333333333333334
4940	A nadie puta le importa quien carajos muere por un dragon.	'A nadie le importa quien muere por un dragón.'	es	1.0	1	1	1	1.0
4946	man soy r autoexigente q hincha pelotas	 Soy muy autéxico que hincha pelotas	es	0.5	1	1	1	0.5
4949	Uribe tiene huevas de plomo y nadie le da la talla.	Uribe tiene huevos y nadie le da la talla.	es	1.0	1	1	1	0.6666666666666666
4954	Así luego entran en patera, dan otro nombre, y tienen otra paguita	Luego entran, dan otro nombre, y tienen otra página	es	1.0	1	1	1	0.5
4958	Joder que partidazo de los Wolves en Anfield.	Qué partido emocionante de los Wolves en Anfield.	es	1.0	1	1	1	0.8333333333333334
