Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	neutral_fluency	fluency_score	toxic_pairwise_score
1226	跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男	有人选择出国可能是为了寻找更多的机会或进行个人发展。希望那些出国的人能够在海外有所收获，并且当他们选择回国时，能够带来正面的影响。	zh	0.5	1	1.0	1	1.0
1230	一位优秀的接盘侠????	多管闲事？	zh	1.0	1	1.0	1	1.0
1234	我媳妇也会打拳！??	我老婆也懂得极端主义！！？	zh	1.0	1	1.0	1	1.0
1242	丑的一批、呸	丑陋的一群	zh	1.0	1	1.0	1	0.8333333333333334
1244	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲	婚后随他回到非洲生活也不错啊。如果黑人伤害了我们的抗疫英雄，那是不能容忍的。向相关部门举报违法行为，获得一定的报酬	zh	1.0	1	1.0	1	0.8333333333333334
1247	是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢	人们对艾滋病的恐惧是真实存在的。对于一个生活方式颇为放荡的女性，如果她只与中国人或白人有过关系，有些人可能还可以接受一段短暂的交往。但是如果她曾经与黑人有过性关系，这些人可能会认为这样的风险太大，因为他们担心感染艾滋病。因此，他们会选择不继续与这样的女性交往，以免自己受到不必要的风险。	zh	1.0	0	1.0	1	1.0
1256	对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。	对，这种言论确实是对所有中国人的不公，因此应该予以反对，大家都应受到平等对待。	zh	1.0	1	1.0	1	1.0
1262	这男的也是啥pei给女的当狗活该	这位男士可能在某种程度上承担了不平等的责任或角色。每个人都应该得到尊重和平等对待。	zh	0.5	0	1.0	1	1.0
1269	很快就能解封的，性取向变态患者搞得鬼	封锁很快就会解除。 一些不适合的患者要对此负责。	zh	1.0	1	1.0	1	0.8333333333333334
1280	好 不和牛马一般见识??	确实，有时候选择不与那些言行不当的人争执是明智的做法。保持自己的心态平和对自己更有益。	zh	1.0	0	1.0	1	0.8333333333333334
1291	黑人的舔狗其实比黑人更可恨	黑人的舔狗其实比黑人更可恨	zh	1.0	1	1.0	1	0.5
1292	????肯定是国楠自己造成的呀，国楠不配娶她们	这一定是郭楠自己造成的，郭楠不配	zh	1.0	1	1.0	1	0.5
1302	没见过基佬工程师	从没见过同性恋工程师	zh	1.0	1	1.0	1	1.0
1322	黑河南、黑北方的都是南满	河南、河北的，都是南满洲人。	zh	1.0	0	1.0	1	0.5
1331	因为智商低，容易被女的pua,价值观都偏了	因为缺乏相关的认识和了解，有时人们可能会在人际关系中感到困惑，这可能会影响他们的价值观。在这种情况下，增强个人的自我意识和情感教育是很重要的。	zh	1.0	1	1.0	1	0.8333333333333334
1333	这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。	我看到的情况不太清楚，只看到两个人在争执，其中一位女士在争吵中让对方做出选择。她的口音让我想起了我喜欢的一个博主，听起来像是北京口音。	zh	1.0	1	1.0	1	1.0
1336	兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲	这种情况下，我们可以更加理性和客观地讨论每个人的行为和影响。批评他人时，尽量避免使用侮辱性语言或未经证实的指控。我们应该基于事实和尊重，进行公平和建设性的讨论。	zh	1.0	1	1.0	1	1.0
1340	这个鸡佬，喜欢精神胜利，是一个辣鸡	这个人似乎很喜欢精神上的胜利，有时候他的行为可能会让人感觉不太理想。	zh	1.0	1	1.0	1	1.0
1346	或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见老鼠一样害怕的	也许你可以接受身边有一个同性恋者，但如果你接受一对同性恋伴侣	zh	1.0	1	0.0	0	1.0
1349	楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶羞辱	楼主，我记得这是某位女性写的关于男性条件的帖子吧，改得不错。另外，您的帖子里有一条很有趣的内容，推荐置顶让大家看看。	zh	0.5	1	1.0	1	1.0
1354	我同事女朋友和黑人搞了，??，他吓一跳，立马去医院，爱就一个滋??	我同事的女朋友和一个黑人发生性关系，??，他很震惊，	zh	0.5	0	1.0	1	1.0
1358	日本这次为了sb政治正确，所谓修正别人排外的观点。，才搞了一堆混血运动员，这简直是nt。不过日本本身混血比例很低。	日本最近在推动包容性政策，鼓励多元化，包括选用一些混血运动员参与国际比赛。这是为了展示更加开放和多元的社会形象。确实，日本的混血人口比例相对较低。	zh	1.0	1	1.0	1	1.0
