Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
4226	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	Мать, как вы смотрите?	am	1.0	0.0	0	0	0.6666666666666666
4230	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	2 ችка, анализы очень великая	am	1.0	0.0	0	0	1.0
4234	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደ	am	1.0	1.0	1	1	1.0
4242	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	Мне надоела. Потрывать и сдавать	am	1.0	0.0	0	0	1.0
4244	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	хорошие, а не нет	am	1.0	0.0	0	0	1.0
4247	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰ�	am	1.0	1.0	1	1	1.0
4256	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	Зачем я изголову заебался?	am	1.0	0.0	0	0	1.0
4262	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን እንዳይከብድህ	am	1.0	1.0	1	1	0.6666666666666666
4269	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	Now we’ve got the problem.	am	1.0	1.0	1	0	0.8333333333333334
4280	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	Вы заебали, а вы не нужны	am	0.5	0.0	0	0	1.0
4291	እንደዚያ በለው ያው ማን እንደሚቀበርበት አይታወቅም ለማለት ነው	እንደዚያ በለው ያው ማን እንደሚቀበርበት አይታወቅም ለማለት ነ�	am	1.0	1.0	1	1	0.5
4292	የታደለችዉማ ይሄን አረመኔ ዘረኛ ልጇን አሁን በለማየቷ ነወ።	የታደለችዉማ ይሄን አረመኔ ዘረኛ ልጇን አሁን በለማየቷ ነወ።	am	1.0	1.0	1	1	0.5
4302	እኔን ወይም ጓደኛዬን አትናገር አሁን ደደብ ደህና ሁን :	Ай, не пойду на концерты, я хочу.	am	1.0	0.0	0	0	1.0
4322	አለሌ ሸሌ ነሽ ባክሽ እውቀት ኖሮሽ አይደለም እምታወሪው ብትጠየቂ እምትመልሽው መልስ የለሽም አፋሽ ይህንን ያክል ክፍትና ግም ከሆነ እ	Нет нужны мандарина.	am	1.0	0.0	0	0	1.0
4331	ትገርማላችሁ። ችግራችን እኮ ክፉ እናንተ በላይ ብልጥ ያለ ሰለማይመሳልችሁ ነው። ያ ደደብ ያልከው በቂጥህ ብሁለት ሳምንት ዘጭ አደረገህ።	Вы так любите мне?	am	1.0	0.0	0	0	1.0
4333	ብትልም መብቷ ነው:: የኦነግ ደጋፊም ብትሆ እንዲያው:: እንዳንተ ደንቆሮ መሆን ግን መብት አይደለም::ምርጫ ነው	Почему я не могу, я тут к тебе отвечаю	am	1.0	0.0	0	0	1.0
4336	ማን ደደብና low IQ እንደሆነ ኮመንታችንን አይቶ ህዝብ ይፍረደን። አንተ በጣም የተማርክ ምሁር አይደለህ  አይ ሽብሩ ዲጅታል ወያኔ	Сумасшедший человек, ты не умный	am	1.0	0.0	0	0	1.0
4340	በፍፁም እንደ አንዳርጋቸው ያሉ ህይወታቸውን ለወገናቸው መብት በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን የሚያንጓጥጡትንም ከነዚሁ ቦምብ ጠፍጣፊዎች ለይቼ አላይም።	Ремит, блядь. Ребятки насели и проибывают в сносилые мусты.	am	1.0	0.0	0	0	1.0
4346	ክፍት አፍ። ሐበሻ ላይ የለመድከውን ሌላው ላይ የሚሰራ መሰለህ? ጅል አታሰድበን አቦ	ክፍት አፍ። ሐበሻ ላይ የለመድከውን ሌላው ላይ የሚሰራ መሰለህ? ጅል	am	1.0	1.0	1	1	0.6666666666666666
4349	አሁን ዶ/ር መረራ አራት ኪሎ መግባት እንጂ ስድስት ኪሎ አይፈልግም:: ስድስት ኪሎ ግባ? ጋራባሳ ሂድ	У меня есть такая фигня, как плохо получается.	am	1.0	0.0	0	0	0.6666666666666666
4354	እውነትሽን ነው እኔ እኮ ኬፕታውን መስሎኛል . ጅል	እውነትሽን ነው እኔ እኮ ኬፕታውን መስሎኛል. ጅል አንተ አንተ አን�	am	1.0	1.0	1	1	0.3333333333333333
4358	ይህን ጨቅላ ፕሬዚደንት ተብዬ አስታግሰው የሰው መሀይም ኢትዮጵያ በልጆቿ ታፍራ እና ተከብራ ለዘላለም ትኑር	Убегает от лоли ендель	am	1.0	0.0	0	0	1.0
4366	አንተ ራስህ ምርጥ ዘረኛ አይደለህ እንዴ። የአንባቸው ጊዜ የጻፈችውን ማን የሚረሳው መሰለህ	Я обогдеваю тебя.	am	1.0	0.0	0	0	0.8333333333333334
