Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
2426	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden	Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor Missbrauch geschützt werden.	de	1.0	1	1	1	0.8333333333333334
2430	Und wieso wurde dieses etwas nicht Zwangsverheiratet...?	Und wieso wurde dieses Paar nicht unterstützt...?	de	1.0	1	1	1	0.6666666666666666
2434	Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !	Gauland hat recht!! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen, zu suchen? Nichts! Fakt!	de	0.5	1	1	1	0.6666666666666666
2442	diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠	diese Person kann zurück in ihre Heimat!	de	0.5	1	1	0	1.0
2444	Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.	Hier ist ja mal wieder ein Kommentar, der politisch unklar ist und intellektuell mangelhaft.	de	0.5	1	1	0	1.0
2447	#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?	#Barcelona &amp; wo bleiben jetzt die Artikel gegen Politiker, die NICHT den Terrorismus klar benennen?	de	0.5	1	1	1	1.0
2456	also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert	auch die #Faschung in diesem #Jahr wird in die Geschichtsbücher eingeht - so viele #Flüchtlinge wie noch nie :(	de	1.0	1	1	0	1.0
2462	wo ist den Ober-Bastard Voßkuhle?	wo ist Voßkuhle?	de	1.0	1	1	1	1.0
2469	EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN	EU und Schland mischen sich wieder in die Innenpolitik Polens ein > Das ist unangemessen.	de	1.0	1	1	1	1.0
2480	ja man deine fresse 😅 viel glück bei den Frauen 👍	ja man deine Freunde 😅 viel Glück 👍	de	1.0	1	1	1	1.0
2491	"#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	"#Charlottesville Wieso das #Establishment & sein #MSM-#Kritiker gegen #Trump hetzen? Er hat die Wahrheit gesagt: ""Gewalt von BEIDEN Seiten"""	de	0.5	1	1	1	1.0
2492	OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!	OMG.....was für eine unangenehme Frau..dieses Gesicht nicht schön zu finden...!	de	1.0	1	1	1	1.0
2502	Scheiss-Klimaschützer. Für Geschwindigkeitsbeschränkung, aber. die Flieger und die Kreuzfahrtschiffe blasen weiter die Umwelt voll.	Scheiss-Klimaschützer. Für Geschwindigkeitsbeschränkung, aber. Die Flieger und die Kreuzfahrtschiffe sollten ihre Auswirkungen auf die Umwelt reduzieren.	de	1.0	1	1	1	0.6666666666666666
2522	Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr Säcke. auch schon seinen Stuhlgang überprüft?	Im Grunde ist es fast unangemessen, wie Trump ständig überprüft wird.	de	1.0	1	1	1	1.0
2531	#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid. 13 Tote. Weitere werden folgen ihr deutschen Politidioten	#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid. 13 Tote. Weitere werden folgen.	de	0.5	1	1	0	1.0
2533	Intergrierte werden Abgeschobenen und Nafris und die Neger dürfen bleiben ,siehe Geschehniss in Nürnberg!	Intergrierte werden Abgeschobenen und Menschen mit anderen Herkunftsnationen und die Menschen mit anderen Hautfarben dürfen bleiben,siehe Geschehniss in Nürnberg!	de	1.0	1	1	1	1.0
2536	"Wenn ich nachdenke,ist es schon erniedrigend im ""Lobbyisten.Babel"" Deutschland unter Führung der Finger kauenden Marionette leben zu müssen😜"	"Wenn ich nachdenke, ist es schon schwierig im ""Lobbyisten.Babel"" Deutschland unter Führung zu leben zu müssen😜"	de	1.0	1	1	1	0.8333333333333334
2540	Solche Idioten von Moderatoren gibt es in D gleich mehrere! 😛🖕👎	Solche Moderatoren gibt es in D gleich mehrere! 😛👎	de	1.0	1	1	1	1.0
2546	Das zeigt doch wieder einmal welche Vollspacken uns regieren! Hauptsächlich Hohlköpfe. 😂😂😂👎🖕	Das zeigt doch wieder einmal welche Führungskräfte uns regieren! Hauptsächlich Unzulänglichkeiten. 😂👎	de	1.0	1	1	1	1.0
2549	Danach fragt doch niemand, auch nicht, wenn Fettbacke behauptet, die Türken hätten Deutschland wiederaufgebaut.	Danach fragt doch niemand, auch nicht, wenn bestimmte Behauptungen getätigt werden.	de	1.0	1	1	0	0.8333333333333334
2554	..wurdest Du Luder Du nicht mit Rede.-und Schreibverbot belegt ..?. Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...ne richtige Kanackenstadt geworden..oder heißt es Kanackenstaat..	..wurdest Du mit Rede.-und Schreibverbot belegt..?. Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...eine Stadt mit Vielfalt.	de	1.0	1	1	0	1.0
2558	Merkel und ihre devoten Schleimer und Kriecher haben es geschafft!Ein Sklavenstaat!	Merkel und ihre Anhänger haben es geschafft! Ein politischer Konflikt!	de	1.0	1	1	1	1.0
2566	wozu brauchen wir überhaupt noch teure #Politiker wenn die Politik austauschbar ist und uns insgesamt allen doch nur bescheißen	wozu brauchen wir überhaupt noch teure Politiker wenn die Politik austauschbar ist und uns insgesamt allen doch nur schadet	de	1.0	1	1	1	0.8333333333333334
2576	Seehofer ist eine bayrische Oberpfeife....er hatte nur kurz seine Momente wurde aber schleunigst zurechtgestutzt...😃. Als Beweis dafür trägt er sein Haar jetzt auch kürzer ....😃	Seehofer ist ein bayrischer Politiker....er hatte nur kurz seine Momente wurde aber schleunigst zurechtgestutzt... Als Beweis dafür trägt er sein Haar jetzt auch kürzer....😃	de	1.0	1	1	1	0.8333333333333334
2583	glauben sie mir , die meisten die hier ihre hass Kommentare abgeben sind hartz4 Schmarotzer :) habe so meine Erfahrung mit euch daitchen Dummschwätzer	glauben Sie mir, die meisten die hier ihre Kommentare abgeben sind nicht sehr freundlich.	de	0.5	1	1	1	1.0
2586	Gabriel, Du armseliges Würstel, was bist Du für ein hinterhältiger. Geselle. Versuche nicht, Frau Dr. Merkel anzupissen. Geh scheißen.	Gabriel, Du bist ein unangemessener Geselle. Versuche nicht, Frau Dr. Merkel zu beleidigen.	de	1.0	1	1	1	1.0
2588	Das Auswärtige Amt scheisst auf die Menschenwürde und auf Art.6 GG !!! Übrigens geführt von der SPD !!!	Das Auswärtige Amt ignoriert die Menschenwürde und Art.6 GG!!! Übrigens geführt von der SPD!!!	de	1.0	1	1	1	0.8333333333333334
2603	Auswahl wohl eher Dschungelcamp Niveau...D Promis😂😂. Maybrit ist schon eine treue Polittusse...alle so richtige Zuchtstuten bei ARD-ZDF...!	Auswahl wohl eher Dschungelcamp Niveau...D Promis😂. Maybrit ist eine treue Kollegin...alle so richtige Kollegen bei ARD-ZDF...!	de	1.0	1	1	1	1.0
2607	Genau. Die Froschfresser haben nichts gelernt! Ihr Untergang ist selbstverschuldet.	Genau. Die Froschfresser haben nichts gelernt! Ihr Fehler ist selbstverschuldet.	de	1.0	1	1	1	0.6666666666666666
2614	Hetze der öffentlich- rechtlichen gegen Trump, zum kotzen diese verlogenen Vasallen Merkels!!!	Hetze der öffentlich-rechtlichen gegen Trump, zum Kotzen diese Vasallen!	de	1.0	1	1	1	1.0
2615	"Schießt doch die Raketen von Kim ab und ""prostituiert"" nicht. ständig, Ihr Maulaufreißer. Handelt endlich mal."	Schießt doch die Raketen von Kim ab und handelt endlich mal.	de	1.0	1	1	1	1.0
2618	Gut gemacht Mr. Präsident! Die dumme Nudel mal wieder richtig vorgeführt!😂😂👍	Gut gemacht Mr. Präsident! Die Nudel mal wieder richtig vorgeführt!😂👍	de	1.0	1	1	1	1.0
2622	Die Kanackenweiber sind die schlimmsten....	Die Menschen in bestimmten Regionen können sehr unterschiedlich sein.	de	1.0	1	1	1	1.0
2631	Ja dieses fette Etwas....redet und redet	Ja, dieses Etwas....redet und redet	de	1.0	1	1	1	1.0
2633	seit ihr so naiv, oder tut ihr nur so dumm?????? 🎩🌹	seit ihr so naiv, oder tut ihr nur so dumm??????	de	1.0	1	1	1	0.8333333333333334
