Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
1826	إقرأ كتاباً أيها المعادي للسامية !	إقرأ كتاباً أيها المعادي للسامية!	ar	1.0	1.0	1	1	0.5
1830	لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد…	يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات ال	ar	1.0	1.0	1	1	1.0
1834	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههه	ar	0.5	0.5	1	1	1.0
1842	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا	بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر	ar	1.0	1.0	1	0	0.8333333333333334
1844	يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي	ar	1.0	1.0	1	1	1.0
1847	كانت احتفلت معهم يا حكم الله يلعن امك	كانت احتفلت معهم يا حكم	ar	1.0	1.0	1	1	1.0
1856	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة	انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي	ar	1.0	1.0	1	1	1.0
1862	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع	يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقام	ar	1.0	1.0	1	0	1.0
1869	ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط	ما الي جلادة ارسم شجرة العيلة 😂	ar	1.0	1.0	1	1	1.0
1880	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم	كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسر	ar	1.0	1.0	1	0	1.0
1891	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان	حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل تجعلني أشعر بالغ	ar	1.0	1.0	1	0	0.6666666666666666
1892	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟ لعنة الله عليكم ياسفلة	كيف فشلت؟ ايش كان المطلوب لكي تكون ناجحة؟	ar	1.0	1.0	1	1	1.0
1902	بس نهى للحين ماتغيرت لحجية	بس نهى للحين ماتغيرت لحجية	ar	1.0	1.0	1	1	0.5
1922	صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم	صاحب الدراسه مايبي ينحف دراسه كذبيه لايلعب عليكم	ar	1.0	1.0	1	1	1.0
1931	مو قادرين على دوري كله هبايل خخخخخ	مو قادرين على دوري كله هبايل خخخخخ	ar	1.0	1.0	1	1	0.5
1933	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه	وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههه	ar	1.0	1.0	1	1	0.5
1936	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟	كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا	ar	1.0	1.0	1	1	0.5
1940	دوري زبايل زيك كعادتك دايما	دوري زيك كعادتك دايما	ar	1.0	1.0	1	1	1.0
