Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	Может, он передаст их ФБР?	ru	1.0	1.0	1	0	1.0
3630	от одной ебанашки избавились:d :d	Мы избавились от одного плохого человека:	ru	1.0	1.0	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	Да, но наблюдатели не заметили, что им не нравятся поправки.	ru	1.0	1.0	1	1	1.0
3642	пидорасы родители ,за счет детей падля пьют	Родители, пьющие за счет своих детей.	ru	1.0	1.0	1	0	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	- Врачи не нужны.	ru	1.0	1.0	1	0	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный аноним: разоблачает, следы, давит на больных и делает это с вкусом	ru	1.0	1.0	1	0	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	Бедный мальчик, родители плохие, как он может жить с ними?	ru	1.0	1.0	1	0	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	Смотрите независимое расследование Васильевой и потом напишите что-нибудь.	ru	1.0	1.0	1	1	1.0
3669	вот кому руки то отрубить то надо	Я отрублю руки тому, у кого она есть.	ru	1.0	1.0	1	0	0.5
3680	это он, а не она , провокатор кастрюлеголовый	Это он, а не она.	ru	1.0	1.0	1	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	Оставайся с женой и жди.	ru	1.0	1.0	1	0	1.0
3692	сколько же ебанутых в россии в месте с тобой	Сколько русских в том же месте, что и вы?	ru	0.5	1.0	1	0	1.0
3702	, если некоторое время деньги не вносищь_ хуярят	Если ты не зарабатывал деньги какое-то время, уходи.	ru	0.5	1.0	1	0	1.0
3722	долбоеба кусок, слов нет одни эмоции.	Никаких слов, только эмоции.	ru	1.0	1.0	1	1	1.0
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	Перед мной стояла девочка, ребенок, они вошли в зал, и я увидел, что она не может говорить.	ru	1.0	1.0	1	0	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	Зачем эта упаковка?	ru	1.0	1.0	1	0	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	И Саранча перестал водить, тоже, с эхинацеей, и	ru	0.5	1.0	1	0	0.8333333333333334
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	Потому что адвокат интерпретирует это по-своему.	ru	1.0	1.0	1	0	1.0
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	Ты будешь здесь долгое время, никто тебе больше не верит.	ru	1.0	1.0	1	0	1.0
3749	дай бог, если очередному дебилу это будет уроком-не срать соседу.	Не дай Бог, чтобы кто-то другой научился не приставать к соседу.	ru	1.0	1.0	1	0	1.0
3754	нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска	Слава Богу, он был на камне.	ru	0.5	1.0	1	0	1.0
3758	потому что жизнь долбоёбов ничему не учит	Потому что жизнь невежественного человека ничему не учит.	ru	1.0	1.0	1	1	1.0
3766	ты то блядь, ещё та)) иностранная))) японская- шлюха ты тупая)) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?	Вы иностранка, японец, вам задают вопрос: что плохого в мусульманах?	ru	1.0	1.0	1	1	1.0
3776	Австралийские твари доберутся до всех материков!	Австралийские существа достигнут всех континентов!	ru	1.0	1.0	1	0	1.0
3783	а щас эти пидары забрали то каторе строили нашы деды.и снашают этим нас	И теперь эти люди взяли эту лодку, которую построили наши деды, и они отдают ее	ru	0.5	1.0	1	0	1.0
3786	пиздец ,мягко сказано,конца не виднои россии нет,всю почти продали,твари........	Если говорить мягко, конец не в виду, и Россия не, почти все	ru	0.5	1.0	1	0	1.0
3788	дело даже не в iq - просто хуесосам там не место	Это даже не IQ, это просто не для них.	ru	1.0	1.0	1	1	1.0
3803	сука! беззащитное животное избить, которое не может себя защитить	Беззащитное животное бьет животное, которое не может защититься.	ru	1.0	1.0	1	0	1.0
3807	ты чудо если ты думаешь что я от фото шопа,стану хуже то ты точно лох	Если ты думаешь, что мне станет хуже из-за фотолаборатории,	ru	1.0	1.0	1	0	1.0
3814	нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?	Нормальные люди смеются над этой шуткой, а ты даешь мне неконтролируемую диарею!	ru	1.0	1.0	1	0	0.8333333333333334
3815	как же я люблю свою родину!!! ибать её конём!!!	Я так люблю свою страну.	ru	1.0	1.0	1	0	1.0
3818	жопу как раз ты свою рвешь	Ты просто себя разрываешь.	ru	1.0	1.0	1	0	1.0
3822	полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.	Я полностью сочувствую.	ru	1.0	1.0	1	0	0.8333333333333334
3831	готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.	Не проецируйте, не нарушайте контракт, русский платит.	ru	1.0	1.0	1	0	1.0
3833	вы бы ещё сделали узнайте актера по жопе! вы совсем еб.нулись	Ты все равно узнаешь актера по имени.	ru	1.0	1.0	1	0	1.0
3836	твой ельцын алкаш гребанный всю страну развалил гореть ему в аду пидору	Твой пьяный лось разрушил всю страну.	ru	1.0	1.0	1	0	0.8333333333333334
3846	долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а долбоебы на своих....	Умные люди учатся на чужих ошибках, но они учатся на своих собственных.	ru	1.0	1.0	1	0	1.0
3847	придурок. как он надоел уже. когда посадят за решетку. придурки все.	Хет устал быть плохим парнем.	ru	1.0	1.0	1	0	1.0
3849	мало их в войсках чмырили и пиздили.	Многие из них в армии были в беде.	ru	1.0	1.0	1	0	1.0
3853	если мы сами этим пидорам не скажем нет то так ибудет.	"Если мы не скажем им ""нет"", это случится."	ru	0.5	1.0	1	0	1.0
3864	значит у этого дяди есть что терять? наворовал со школы у детишек.....ублюдок	Значит, этому дяде есть что терять?	ru	1.0	1.0	1	0	1.0
3865	ну может тебя вместо лукашенко, пиз бол?!	Почему бы тебе не взять лук вместо этого	ru	1.0	1.0	1	0	1.0
3869	для дебилов, которые ходят в масках и перчатках. пускай тогда скафандры покупают, дебилы:d	Для тех, кто носит перчатки и маски, пусть покупают костюмы.	ru	1.0	1.0	1	1	1.0
3872	развалили суки такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат	Я помню, как пришел сюда в 2005 году с началом SMS, а затем 4	ru	1.0	0.5	0	0	1.0
3875	бабло надо отрабатывать..... а судь бы миллионов белорусов этих тварей-упырей не интерес уют	Мы должны работать на свои деньги, и если бы были миллионы белорусов, эти	ru	1.0	1.0	1	0	1.0
3878	Всей толпой в церковь и свечки за его здравие. Или успокоится или вам похер станет	Все вы, идите в церковь и зажгите свечи для его здоровья, или он	ru	1.0	1.0	1	0	1.0
3906	Среди умных людей -безусловно. Но стреляют то в в основном идиоты.	Большинство умных людей стреляют в него с неправильных углов.	ru	1.0	1.0	1	0	1.0
