Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3626	козлина! может, он их еще в сбу передаст??	Может он их ещё в сбу передаст??	ru	1.0	1.0	1	1	1.0
3630	от одной ебанашки избавились:d :d	От одной девушки избавились	ru	1.0	1.0	1	1	1.0
3634	ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру	Ага, прямо таки наблюдатели это все пропустили. Как будто им поправки не по	ru	1.0	1.0	1	0	1.0
3642	пидорасы родители ,за счет детей падля пьют	Родители, за счёт детей пьют	ru	1.0	1.0	1	1	1.0
3644	да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((	да кто ты такая!!! и так врачей не хватает (((	ru	1.0	1.0	1	1	1.0
3647	Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.	Идеальный анонимус: изобличает, тралит, давит на больное	ru	1.0	1.0	1	1	1.0
3656	бедный ребёнок, родители долбаебы,как же ему с такими дальше жить	Бедный ребенок, родители плохие, как же ему с такими дальше жить	ru	1.0	1.0	1	1	1.0
3662	посмотрите независимое расследование васильевой, а потом всякую херню пишите.	посмотрите независимое расследование васильевой, а потом всякую чушь пишите.	ru	1.0	1.0	1	1	1.0
3669	вот кому руки то отрубить то надо	Вот кому надо наказать	ru	1.0	1.0	1	1	0.8333333333333334
3680	это он, а не она , провокатор кастрюлеголовый	Это он, а не она. Провокатор	ru	1.0	1.0	1	1	1.0
3691	отвянь, пидорас прилипчивый. пристань к своей жене, и жди.	Отстань, пристань к своей жене и жди	ru	1.0	1.0	1	1	1.0
3692	сколько же ебанутых в россии в месте с тобой	сколько же глупых в россии в месте с тобой	ru	0.5	0.5	1	1	0.8333333333333334
3702	, если некоторое время деньги не вносищь_ хуярят	Если некоторое время деньги не вносишь, плохо будет	ru	0.5	1.0	1	1	1.0
3722	долбоеба кусок, слов нет одни эмоции.	слов нет одни эмоции	ru	1.0	1.0	1	1	1.0
3731	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел	впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот человек зашел	ru	1.0	1.0	1	1	1.0
3733	на кой черт этот упырь нужен??? хуета бесполезная!!!	Зачем он нужен?	ru	1.0	1.0	1	1	1.0
3736	Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.	Еще и Живчик возить перестали, с эхинацеей, и Бiле	ru	0.5	0.5	1	1	1.0
3740	чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.	Адвокат трактует его по своему. Лишить лицензии навсегда.	ru	1.0	1.0	1	1	1.0
3746	пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь	лука сколько изворачиваться будешь никто уже не верит твоей болтовне	ru	1.0	1.0	1	1	1.0
3749	дай бог, если очередному дебилу это будет уроком-не срать соседу.	дай бог, если очередному человеку это будет уроком-не срать соседу.	ru	1.0	1.0	1	1	1.0
3754	нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска	Пусть благодарит бога что ноги не зажувала	ru	0.5	1.0	1	0	1.0
3758	потому что жизнь долбоёбов ничему не учит	Потому что жизнь людей ничему не учит	ru	1.0	1.0	1	1	1.0
3766	ты то блядь, ещё та)) иностранная))) японская- шлюха ты тупая)) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?	Ты то ещё та)) иностранная))) японская- глупая)) тебе за	ru	1.0	1.0	1	0	1.0
3776	Австралийские твари доберутся до всех материков!	Австралийские люди доберутся до всех материков!	ru	1.0	1.0	1	1	1.0
3783	а щас эти пидары забрали то каторе строили нашы деды.и снашают этим нас	А щас они забрали то каторе строили нашиы деды. И	ru	0.5	0.5	1	0	1.0
3786	пиздец ,мягко сказано,конца не виднои россии нет,всю почти продали,твари........	Жестко сказано, конца не видно и россии нет, всю почти продали	ru	0.5	1.0	1	1	1.0
3788	дело даже не в iq - просто хуесосам там не место	Дело даже не в iq - просто нехорошим людям там не место	ru	1.0	1.0	1	1	1.0
3803	сука! беззащитное животное избить, которое не может себя защитить	Беззащитное животное избить, которое не может себя защитить	ru	1.0	1.0	1	1	1.0
3807	ты чудо если ты думаешь что я от фото шопа,стану хуже то ты точно лох	Ты чудо если ты думаешь что я от фотошопа стану хуже то ты точно не прав	ru	1.0	1.0	1	1	1.0
3814	нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?	нормальные люди от юмора смеются, а ты тут разводишь неукротимую диа	ru	1.0	0.5	0	0	0.6666666666666666
3815	как же я люблю свою родину!!! ибать её конём!!!	Как же я люблю свою родину!!!	ru	1.0	1.0	1	1	1.0
3818	жопу как раз ты свою рвешь	Как раз ты свою рвешь	ru	1.0	1.0	1	0	1.0
3822	полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.	Полностью солидарен. Все уважение к карелину как к великому спортсмену пропало после	ru	1.0	1.0	1	0	1.0
3831	готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.	готовься к санкциям Не проецируй. Разрыва контракта не будет,	ru	1.0	1.0	1	0	1.0
3833	вы бы ещё сделали узнайте актера по жопе! вы совсем еб.нулись	Вы бы ещё сделали узнайте актера	ru	1.0	1.0	1	0	1.0
3836	твой ельцын алкаш гребанный всю страну развалил гореть ему в аду пидору	твой Ельцын всю страну развалил	ru	1.0	1.0	1	1	1.0
3846	долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а долбоебы на своих....	Чем народ кормить собирается. Умные люди учатся на чужих ошибках, а глупые	ru	1.0	1.0	1	1	1.0
3847	придурок. как он надоел уже. когда посадят за решетку. придурки все.	Как он надоел уже. Когда посадят за решетку.	ru	1.0	1.0	1	0	1.0
3849	мало их в войсках чмырили и пиздили.	мало их в войсках чмырили и вяли	ru	1.0	1.0	1	1	1.0
3853	если мы сами этим пидорам не скажем нет то так ибудет.	Если мы сами им не скажем нет то так и будет	ru	0.5	1.0	1	1	1.0
3864	значит у этого дяди есть что терять? наворовал со школы у детишек.....ублюдок	Значит у этого дяди есть что терять? Наворовал со школы у детейшек...	ru	1.0	0.5	0	1	1.0
3865	ну может тебя вместо лукашенко, пиз бол?!	ну может тебя вместо лукашенко,бол?!	ru	1.0	0.5	0	1	1.0
3869	для дебилов, которые ходят в масках и перчатках. пускай тогда скафандры покупают, дебилы:d	Для людей, которые ходят в масках и перчатках. Пусть тогда скафандры покупают.	ru	1.0	1.0	1	1	1.0
3872	развалили суки такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат	развалили такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4	ru	1.0	0.5	0	1	0.6666666666666666
3875	бабло надо отрабатывать..... а судь бы миллионов белорусов этих тварей-упырей не интерес уют	Бабло надо отрабатывать, а судь бы миллионов белорусов им не интерес уют	ru	1.0	0.5	0	1	1.0
3878	Всей толпой в церковь и свечки за его здравие. Или успокоится или вам похер станет	Всей толпой в церковь и свечки за его здравие. Или успокоится или вам все	ru	1.0	1.0	1	1	0.8333333333333334
3906	Среди умных людей -безусловно. Но стреляют то в в основном идиоты.	Среди умных людей -безусловно. Но стреляют то в основном глупые люди	ru	1.0	1.0	1	1	1.0
3911	вот если бы обрубал руки своим подчененым за воровство, цены бы ему не было	Вот если бы наказал своих подчененых за воровство, цены бы ему не было	ru	1.0	1.0	1	1	0.8333333333333334
3913	пи-доры придёт время отвечать придётся перед народом	Придёт время отвечать придётся перед народом	ru	1.0	1.0	1	1	1.0
3917	так ты просто обманываешь гаденыш людей	Так ты просто обманываешь людей	ru	1.0	1.0	1	1	1.0
3919	урода посадить без суда и следствия. алкаш	посадить без суда и следствия.	ru	1.0	1.0	1	1	1.0
3923	русня снимает видосики и бугуртит. Русский бунт. Рашковане as is.	русня снимает видосики и бугуртит. Русский бунт. Рашковане as	ru	0.5	0.5	1	1	0.6666666666666666
3932	ебал я всех в рот кто тут старается себя превознести. непути знайте это флаг казахстана.	Я не люблю тех кто тут старается себя превознести. Непути знайте это	ru	0.5	1.0	1	0	1.0
3948	у кого нибудь есть домашний адрес этого дебила? опубликуйте...	у кого нибудь есть домашний адрес этого человека? опубликуйте...	ru	1.0	1.0	1	1	1.0
3963	о рабочих профессиях надо фильмы снимать и везде агитировать, а не о пидорасах и предателях по всем программам	о рабочих профессиях надо фильмы снимать и везде агитировать, а не о предателях	ru	1.0	1.0	1	0	0.6666666666666666
3972	а вот при нынешнеем образовании молодежь тупая.	А вот при нынешнем образовании молодежь глупая.	ru	1.0	1.0	1	1	1.0
3973	откуда у алкашей-свиней оружие? ведь даже не рабам спидоранам оружие не дают :(	откуда у алкашей-свиней оружие? ведь даже не рабам оружие не дают	ru	1.0	1.0	1	1	1.0
3977	С квадратиками на морде тяжело жить.	С квадратиками на морде тяжело жить	ru	1.0	1.0	1	1	0.5
3979	а вы упрямые бараны, не хочу, не буду	А вы упрямые, не хочу, не буду	ru	1.0	1.0	1	1	1.0
