Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score
3026	any of us who did half this shit would be locked the fuck up already .	Any of us who did half this would be locked up already .	en	1.0	1.0	1	1	1.0
3030	are they liars or just clueless ?	Are they lies or just clueless?	en	1.0	1.0	1	1	0.6666666666666666
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	As someone from la and an oilfield worker , i still say this guy is not good.	en	1.0	1.0	1	1	1.0
3042	calm the fuck down , cnn .	calm down , cnn .	en	1.0	1.0	1	1	1.0
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	china and russia will use a big stick to trump around if those ships do anything	en	1.0	1.0	1	0	1.0
3047	cretins like this rarely care about facts .	These people rarely care about facts.	en	1.0	1.0	1	1	0.8333333333333334
3056	do people actually believe this shit ? ? ?	Do people actually believe this?	en	1.0	1.0	1	1	1.0
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	dont you ever change one of my edits , or i will come to your house , and i will cut you .	en	1.0	1.0	1	1	0.5
3069	even bush knows he fucked up .	Even Bush knows he was wrong.	en	1.0	1.0	1	1	1.0
3080	fuck popeyes for doing this in the first place .	Popeyes for doing this in the first place.	en	1.0	1.0	1	1	1.0
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	Getting my kicked by gre practice tests made sure that i never make this same mistake again .	en	1.0	1.0	1	0	1.0
3092	getting stronger every month yeah i fucking wish .	getting stronger every month yeah i wish .	en	1.0	1.0	1	1	1.0
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	Have you ever been to r trees and seen all the things people say weed can do ? .	en	0.5	1.0	1	1	1.0
3122	holy shit , a cop got fired ? .	Why a cop got fired?	en	1.0	1.0	1	1	1.0
3131	how the fuck do you manage that ? .	How do you manage that?	en	1.0	1.0	1	1	1.0
3133	how the fuck do you think people afford houses and cars ?	How do you think people afford houses and cars?	en	1.0	1.0	1	1	1.0
3136	i accidentally read the titling as laser machete and almost shit my pants .	I accidentally read the titling as laser machete and almost annoyed.	en	1.0	1.0	1	0	1.0
3140	i did not vandalize anything you dick .	I did not vandalize anything.	en	1.0	1.0	1	1	1.0
3146	i dont give a flying fuck about sides ! .	I dont care about sides !	en	1.0	1.0	1	1	1.0
3149	i have toilet paper to wipe my ass and no shortage of food .	I have toilet paper to wipe my and no shortage of food.	en	1.0	1.0	1	0	1.0
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	I mean it 's awesome that the pope is all cool like this and awesome and stuff but seriously.	en	1.0	1.0	1	1	1.0
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	I sell quite a bit of stuff on there , and paypal has actually helped me pay the bills .	en	1.0	1.0	1	1	0.8333333333333334
3166	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	If hes found to have acted in cold blood , the feds are going to persecute him.	en	1.0	1.0	1	1	1.0
3176	it s a big deal because the school didn t give a shit until she was being bullied .	it s a big deal because the school didn't care until she was bullied.	en	1.0	1.0	1	1	1.0
3183	judging by the shit i ve seen in my number years , number of those spent with george w .	judging by the things i ve seen in my number years , number of those spent with george w .	en	1.0	0.5	0	1	1.0
3186	last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up	Last warning, it takes meminutes to resolve a page so you can wikipedia up	en	1.0	0.5	0	0	1.0
3188	liar , liar pants on fire justin .	Liar, liar on fire justin.	en	1.0	1.0	1	0	0.6666666666666666
3203	my thoughts are that our new guy might be an even bigger dirt bag .	My thoughts are that our new guy might be an even bigger person.	en	1.0	1.0	1	0	1.0
3207	no fucking way number bricks fits in a car , this is bs .	No way number bricks fits in a car, this is bs.	en	1.0	1.0	1	1	1.0
3214	noones asking you to invade shit .	No one asks you to invade.	en	0.5	1.0	1	1	1.0
3215	not fucking around in foreign matters that we cannot do anything about .	not around in foreign matters that we cannot do anything about .	en	1.0	1.0	1	1	1.0
3218	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady as fuck .	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady	en	1.0	1.0	1	1	1.0
3222	number will solve alot of fucking problems if it comes down to it .	number will solve alot of problems if it comes down to it.	en	0.5	1.0	1	1	1.0
3231	org there s wikipedia articles for all sorts of random shit like this .	org there s wikipedia articles for all sorts of things like this .	en	1.0	0.5	0	1	1.0
3233	ouch man , them swedes were dicks to norway =\	They were not good to Norway =\	en	0.5	0.5	1	1	1.0
3236	people are idiots for wasting emergency call time on crap like this .	people are rude for wasting emergency call time on things like this.	en	1.0	1.0	1	0	1.0
3246	quite a few saints are canonized because they opposed some idiot hierarch , even unto being killed , like st .	quite a few saints are canonized because they opposed some hierarch , even unto being killed , like st .	en	1.0	1.0	1	1	1.0
3247	read your own fucking link .	read your own link.	en	1.0	1.0	1	1	1.0
