Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	neutral_fluency	fluency_score	toxic_pairwise_score
1226	跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男	跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来为国服务	zh	0.5	1	0.5	1	0.3333333333333333
1230	一位优秀的接盘侠????	Один заместительные сексы?	zh	1.0	1	0.0	0	0.6666666666666666
1234	我媳妇也会打拳！??	我媳妇也会参与拳击运动！??	zh	1.0	1	1.0	1	0.5
1242	丑的一批、呸	不良的一批、错误	zh	1.0	1	0.5	0	1.0
1244	嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲	嫁给他，就跟他回非洲啊。我们应该尊重和支持抗疫英雄，反对歧视和偏见。举报三非，收入不菲	zh	1.0	1	1.0	1	0.6666666666666666
1247	是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢	是真的担忧艾滋感染。一个女人私生活很混乱，但是她睡的对象主要是中国人或白人，我还能保持一定的距离。反正我不想结婚。要是知道她睡过黑人，我会感到尴尬。那我认为保持距离是必要的。	zh	1.0	0	1.0	1	0.6666666666666666
1256	对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。	对，这洽洽是对所有中国人的歧视，所以我们应该尊重他们的差异。	zh	1.0	1	1.0	1	1.0
1262	这男的也是啥pei给女的当狗活该	这男的也是对女的做出不道德行为活该	zh	0.5	1	1.0	1	1.0
1269	很快就能解封的，性取向变态患者搞得鬼	很快就能解封的，性取向不同的人们的行为会引起混乱	zh	1.0	1	1.0	1	1.0
1280	好 不和牛马一般见识??	good, and about to see me generally!!	zh	1.0	0	0.0	0	0.6666666666666666
1291	黑人的舔狗其实比黑人更可恨	黑人的支持者实际上比黑人更需要反思	zh	1.0	1	1.0	1	1.0
1292	????肯定是国楠自己造成的呀，国楠不配娶她们	????肯定是国�ун自己造成.	zh	1.0	1	0.0	0	0.8333333333333334
1302	没见过基佬工程师	没见过专业的工程师	zh	1.0	1	1.0	1	1.0
1322	黑河南、黑北方的都是南满	Black Heasr of South Africa, South and North.	zh	1.0	0	0.0	0	0.8333333333333334
1331	因为智商低，容易被女的pua,价值观都偏了	因为智商较低，容易受到女生的影响，价值观也会受到影响	zh	1.0	1	1.0	1	0.8333333333333334
1333	这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。	какой так не видно мысами женки в том что не нравится одному человека, я обидаюсь заебала, ей же нужны неудачи	zh	1.0	0	0.0	0	0.6666666666666666
1336	兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲	兄弟我们完全可以放心这人可能会是下一个陈怡说不定这人早就被虫类身边几大母虫左右互博说白这些女早已是SPID携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲	zh	1.0	1	0.5	0	0.6666666666666666
1340	这个鸡佬，喜欢精神胜利，是一个辣鸡	这个人，喜欢精神胜利，是一个有问题的人	zh	1.0	1	1.0	1	1.0
1346	或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见老鼠一样害怕的	或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围进行亲密接触，我觉得还是感到不适像看见陌生场景一样感到困惑。	zh	1.0	1	1.0	1	0.8333333333333334
1349	楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶羞辱	楼主啊！我记得这是某位作者写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，请注意并置顶	zh	0.5	1	1.0	1	1.0
1354	我同事女朋友和黑人搞了，??，他吓一跳，立马去医院，爱就一个滋??	我同事女朋友和黑人发生了冲突，??，他受到了惊吓，随即去医院，爱就一个受伤的结果？	zh	0.5	1	0.5	1	1.0
1358	日本这次为了sb政治正确，所谓修正别人排外的观点。，才搞了一堆混血运动员，这简直是nt。不过日本本身混血比例很低。	日本为了政治正确，推动了一些混血运动员的活动，这些活动的目的是为了改善社会观点。然而，日本本身的混血比例仍然很低。	zh	1.0	1	1.0	1	1.0
1366	我女的想法和你一样我也厌女	我女的想法和你有相似之处我也不同意女的想法	zh	1.0	1	0.5	0	0.8333333333333334
1376	普信男：都怪老师太漂亮穿的裙子太短！	普信男：都怪老师穿的裙子太短！	zh	1.0	1	1.0	1	0.3333333333333333
1383	其实我对男同怎么的还真没什么看法，我歧视的是在到处瞎叫唤男男的女生，她们没觉得自己很恶心吗？还好意思指责别人鄙视同性恋，都是她们整臭的??????	其实我对男同性恋的看法不太重要，我反感的是一些女生在公共场合随意叫骂男同性恋，她们是否感到自己很尴尬？还好意思指责别人歧视同性恋，都是她们的不良行为??????	zh	1.0	1	1.0	1	1.0
1386	所以我为啥要在乎白皮的歧视呢？我生活在中国呀	所以我为啥要在乎歧视呢？我生活在中国	zh	1.0	1	1.0	1	1.0
1388	你们活该罢了，雪崩之时没有一片雪花是无辜的	你们活该罢了，雪崩之时没有一片雪花是无辜的	zh	1.0	1	1.0	1	0.5
1403	正什么歪成什么样子了都是群满嘴道德仁义的狗在搞笑	正什么歪成什么样子了都是群人在搞笑	zh	1.0	1	1.0	1	1.0
1407	舔狗让他死就行了，杀鸡儆猴么，一个舔狗不死，其他舔狗怎么觉醒？	对舔狗的教育和约束是必要的，以免其他舔狗受到不良影响。	zh	1.0	0	1.0	1	0.5
1414	??我觉得大部分人都是图个新鲜感，甚至有些人网络上说自己支持同性恋，在大街上看到两个大叔搂搂抱抱甩出一句好恶心。??	?? я не надоела, даже some people, networks, etc. support same-sex marriage, and some of them say this is not good.	zh	1.0	0	0.0	0	0.8333333333333334
1415	深柜竟在反同身边	DeepVault will be on the verge of bursting into an abyss.	zh	1.0	0	0.0	0	0.8333333333333334
1418	还有人说默是人？	还有人认为默是一个人？	zh	1.0	1	1.0	1	0.6666666666666666
1422	活该，谁叫你们接盘的	对于这种情况，人们为什么会选择参与	zh	1.0	1	1.0	1	1.0
1431	如果真的是男的，则废物测试没通过	如果是一个男性的测试结果未通过	zh	1.0	1	0.0	0	0.6666666666666666
1433	上海河南广东，春晚三大被黑惨烈的地方，春晚一向这么搞很恶心的	上海河南广东，春晚三大地区的表演经常引发争议的地方，春晚一向这么搞很让人感到不适	zh	1.0	1	0.5	0	1.0
1436	总而言之，现在就是女人最好的年代，不作妖，处女，整容的能好看，找一个中产阶级以上轻轻松松。也不知道女拳哪里不满>_<，或许整容也整不出来？	总而言之，现在是女性的黄金时代，不需要妖架，保持纯洁，美容的效果可以很好，找到一个中产以上的合适对象轻松。不知道女性为什么会感到不满，可能美容也需要努力。	zh	1.0	0	0.5	0	0.8333333333333334
1446	再一个，眼睛不要的话，这边建议您捐出去呢	再一个，眼睛不要的话，这边建议您考虑捐出去	zh	1.0	1	1.0	1	0.5
1447	至于普信男，呵呵那些金针菇除了抱团取暖就没有别的本事。游艇？你让普信男变魔术还是变魔法呀	至于普信男，人们认为除了团队合作外，他没有其他特别的能力。游艇？你让普信男展示他的团队合作精神还是其他特长	zh	1.0	1	1.0	1	0.6666666666666666
1449	很合理啊，这不就是正常要求嘛？可惜蝈女基因不行。估计完成不了几条	Это нормально, а то, когда кавычки генерал-майорские	zh	1.0	1	0.0	0	0.8333333333333334
1453	一个烂货，有老公，有小孩，喝酒抽烟出轨，乱搞男女关系。开了私密模式，关了私信功能，私信不了，只能在视频评论区艾特她骂。	一个不良行为者，有老公，有小孩，喝酒抽烟出轨，乱搞男女关系。开了私密模式，关了私信功能，私信不了，只能在视频评论区留言。	zh	1.0	1	1.0	1	1.0
1464	你??我好心相劝却被基佬拉黑	我好心相劝却被某人拒绝	zh	1.0	1	1.0	1	0.6666666666666666
1465	其实韩国人。。。娘炮。。。??????	其实韩国人有很多不同的人物特征和文化背景??????	zh	1.0	1	1.0	1	1.0
1469	南满:我们南方才不吃你们北方的粮食，我们吃的都是南方的粮食。北方人:断粮。南满:oh,no!米怎么这么少了，怎么买不来米了，面根本没有卖的。	南满:我们南方主要吃自己的粮食，我们也吃一些北方的粮食。北方人:断粮。南满:oh,no!米真的很少了，我们需要努力生产和购买米。	zh	1.0	1	1.0	1	0.5
1472	混血，眼睛是蓝色，混了白皮猪的血	混血，眼睛是蓝色，拥有白皮猪的血	zh	1.0	1	1.0	1	0.6666666666666666
